group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cpu,extreme contention,std::sync::Mutex,,,1.0,ns,65
cpu,extreme contention,std::sync::Mutex,,,1.0,ns,130
cpu,extreme contention,std::sync::Mutex,,,1.0,ns,195
cpu,extreme contention,std::sync::Mutex,,,1.0,ns,260
cpu,extreme contention,std::sync::Mutex,,,250000000.0,ns,325
cpu,extreme contention,std::sync::Mutex,,,1.0,ns,390
cpu,extreme contention,std::sync::Mutex,,,1.0,ns,455
cpu,extreme contention,std::sync::Mutex,,,1.0,ns,520
cpu,extreme contention,std::sync::Mutex,,,1.0,ns,585
cpu,extreme contention,std::sync::Mutex,,,1.0,ns,650
cpu,extreme contention,std::sync::Mutex,,,1.0,ns,715
cpu,extreme contention,std::sync::Mutex,,,1.0,ns,780
cpu,extreme contention,std::sync::Mutex,,,1.0,ns,845
cpu,extreme contention,std::sync::Mutex,,,1.0,ns,910
cpu,extreme contention,std::sync::Mutex,,,1.0,ns,975
cpu,extreme contention,std::sync::Mutex,,,1.0,ns,1040
cpu,extreme contention,std::sync::Mutex,,,62500000.0,ns,1105
cpu,extreme contention,std::sync::Mutex,,,250000000.0,ns,1170
cpu,extreme contention,std::sync::Mutex,,,250000000.0,ns,1235
cpu,extreme contention,std::sync::Mutex,,,1.0,ns,1300
cpu,extreme contention,std::sync::Mutex,,,218750000.0,ns,1365
cpu,extreme contention,std::sync::Mutex,,,218750000.0,ns,1430
cpu,extreme contention,std::sync::Mutex,,,1.0,ns,1495
cpu,extreme contention,std::sync::Mutex,,,250000000.0,ns,1560
cpu,extreme contention,std::sync::Mutex,,,250000000.0,ns,1625
cpu,extreme contention,std::sync::Mutex,,,234375000.0,ns,1690
cpu,extreme contention,std::sync::Mutex,,,250000000.0,ns,1755
cpu,extreme contention,std::sync::Mutex,,,250000000.0,ns,1820
cpu,extreme contention,std::sync::Mutex,,,250000000.0,ns,1885
cpu,extreme contention,std::sync::Mutex,,,250000000.0,ns,1950
cpu,extreme contention,std::sync::Mutex,,,218750000.0,ns,2015
cpu,extreme contention,std::sync::Mutex,,,234375000.0,ns,2080
cpu,extreme contention,std::sync::Mutex,,,250000000.0,ns,2145
cpu,extreme contention,std::sync::Mutex,,,250000000.0,ns,2210
cpu,extreme contention,std::sync::Mutex,,,250000000.0,ns,2275
cpu,extreme contention,std::sync::Mutex,,,468750000.0,ns,2340
cpu,extreme contention,std::sync::Mutex,,,453125000.0,ns,2405
cpu,extreme contention,std::sync::Mutex,,,421875000.0,ns,2470
cpu,extreme contention,std::sync::Mutex,,,406250000.0,ns,2535
cpu,extreme contention,std::sync::Mutex,,,421875000.0,ns,2600
cpu,extreme contention,std::sync::Mutex,,,468750000.0,ns,2665
cpu,extreme contention,std::sync::Mutex,,,500000000.0,ns,2730
cpu,extreme contention,std::sync::Mutex,,,203125000.0,ns,2795
cpu,extreme contention,std::sync::Mutex,,,234375000.0,ns,2860
cpu,extreme contention,std::sync::Mutex,,,234375000.0,ns,2925
cpu,extreme contention,std::sync::Mutex,,,234375000.0,ns,2990
cpu,extreme contention,std::sync::Mutex,,,437500000.0,ns,3055
cpu,extreme contention,std::sync::Mutex,,,234375000.0,ns,3120
cpu,extreme contention,std::sync::Mutex,,,250000000.0,ns,3185
cpu,extreme contention,std::sync::Mutex,,,500000000.0,ns,3250
cpu,extreme contention,std::sync::Mutex,,,234375000.0,ns,3315
cpu,extreme contention,std::sync::Mutex,,,421875000.0,ns,3380
cpu,extreme contention,std::sync::Mutex,,,500000000.0,ns,3445
cpu,extreme contention,std::sync::Mutex,,,390625000.0,ns,3510
cpu,extreme contention,std::sync::Mutex,,,500000000.0,ns,3575
cpu,extreme contention,std::sync::Mutex,,,281250000.0,ns,3640
cpu,extreme contention,std::sync::Mutex,,,468750000.0,ns,3705
cpu,extreme contention,std::sync::Mutex,,,500000000.0,ns,3770
cpu,extreme contention,std::sync::Mutex,,,437500000.0,ns,3835
cpu,extreme contention,std::sync::Mutex,,,437500000.0,ns,3900
cpu,extreme contention,std::sync::Mutex,,,484375000.0,ns,3965
cpu,extreme contention,std::sync::Mutex,,,625000000.0,ns,4030
cpu,extreme contention,std::sync::Mutex,,,500000000.0,ns,4095
cpu,extreme contention,std::sync::Mutex,,,453125000.0,ns,4160
cpu,extreme contention,std::sync::Mutex,,,437500000.0,ns,4225
cpu,extreme contention,std::sync::Mutex,,,484375000.0,ns,4290
cpu,extreme contention,std::sync::Mutex,,,500000000.0,ns,4355
cpu,extreme contention,std::sync::Mutex,,,500000000.0,ns,4420
cpu,extreme contention,std::sync::Mutex,,,671875000.0,ns,4485
cpu,extreme contention,std::sync::Mutex,,,500000000.0,ns,4550
cpu,extreme contention,std::sync::Mutex,,,468750000.0,ns,4615
cpu,extreme contention,std::sync::Mutex,,,500000000.0,ns,4680
cpu,extreme contention,std::sync::Mutex,,,468750000.0,ns,4745
cpu,extreme contention,std::sync::Mutex,,,468750000.0,ns,4810
cpu,extreme contention,std::sync::Mutex,,,421875000.0,ns,4875
cpu,extreme contention,std::sync::Mutex,,,640625000.0,ns,4940
cpu,extreme contention,std::sync::Mutex,,,734375000.0,ns,5005
cpu,extreme contention,std::sync::Mutex,,,484375000.0,ns,5070
cpu,extreme contention,std::sync::Mutex,,,671875000.0,ns,5135
cpu,extreme contention,std::sync::Mutex,,,703125000.0,ns,5200
cpu,extreme contention,std::sync::Mutex,,,500000000.0,ns,5265
cpu,extreme contention,std::sync::Mutex,,,734375000.0,ns,5330
cpu,extreme contention,std::sync::Mutex,,,609375000.0,ns,5395
cpu,extreme contention,std::sync::Mutex,,,656250000.0,ns,5460
cpu,extreme contention,std::sync::Mutex,,,640625000.0,ns,5525
cpu,extreme contention,std::sync::Mutex,,,703125000.0,ns,5590
cpu,extreme contention,std::sync::Mutex,,,718750000.0,ns,5655
cpu,extreme contention,std::sync::Mutex,,,703125000.0,ns,5720
cpu,extreme contention,std::sync::Mutex,,,609375000.0,ns,5785
cpu,extreme contention,std::sync::Mutex,,,609375000.0,ns,5850
cpu,extreme contention,std::sync::Mutex,,,718750000.0,ns,5915
cpu,extreme contention,std::sync::Mutex,,,718750000.0,ns,5980
cpu,extreme contention,std::sync::Mutex,,,671875000.0,ns,6045
cpu,extreme contention,std::sync::Mutex,,,671875000.0,ns,6110
cpu,extreme contention,std::sync::Mutex,,,703125000.0,ns,6175
cpu,extreme contention,std::sync::Mutex,,,906250000.0,ns,6240
cpu,extreme contention,std::sync::Mutex,,,984375000.0,ns,6305
cpu,extreme contention,std::sync::Mutex,,,906250000.0,ns,6370
cpu,extreme contention,std::sync::Mutex,,,875000000.0,ns,6435
cpu,extreme contention,std::sync::Mutex,,,906250000.0,ns,6500
