group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cpu,heavy contention,AmdSpinlock,,,1.0,ns,265
cpu,heavy contention,AmdSpinlock,,,1.0,ns,530
cpu,heavy contention,AmdSpinlock,,,1.0,ns,795
cpu,heavy contention,AmdSpinlock,,,1.0,ns,1060
cpu,heavy contention,AmdSpinlock,,,1.0,ns,1325
cpu,heavy contention,AmdSpinlock,,,1.0,ns,1590
cpu,heavy contention,AmdSpinlock,,,1.0,ns,1855
cpu,heavy contention,AmdSpinlock,,,1.0,ns,2120
cpu,heavy contention,AmdSpinlock,,,234375000.0,ns,2385
cpu,heavy contention,AmdSpinlock,,,1.0,ns,2650
cpu,heavy contention,AmdSpinlock,,,1.0,ns,2915
cpu,heavy contention,AmdSpinlock,,,1.0,ns,3180
cpu,heavy contention,AmdSpinlock,,,1.0,ns,3445
cpu,heavy contention,AmdSpinlock,,,234375000.0,ns,3710
cpu,heavy contention,AmdSpinlock,,,234375000.0,ns,3975
cpu,heavy contention,AmdSpinlock,,,1.0,ns,4240
cpu,heavy contention,AmdSpinlock,,,1.0,ns,4505
cpu,heavy contention,AmdSpinlock,,,1.0,ns,4770
cpu,heavy contention,AmdSpinlock,,,1.0,ns,5035
cpu,heavy contention,AmdSpinlock,,,1.0,ns,5300
cpu,heavy contention,AmdSpinlock,,,1.0,ns,5565
cpu,heavy contention,AmdSpinlock,,,1.0,ns,5830
cpu,heavy contention,AmdSpinlock,,,1.0,ns,6095
cpu,heavy contention,AmdSpinlock,,,1.0,ns,6360
cpu,heavy contention,AmdSpinlock,,,1.0,ns,6625
cpu,heavy contention,AmdSpinlock,,,1.0,ns,6890
cpu,heavy contention,AmdSpinlock,,,1.0,ns,7155
cpu,heavy contention,AmdSpinlock,,,1.0,ns,7420
cpu,heavy contention,AmdSpinlock,,,1.0,ns,7685
cpu,heavy contention,AmdSpinlock,,,1.0,ns,7950
cpu,heavy contention,AmdSpinlock,,,15625000.0,ns,8215
cpu,heavy contention,AmdSpinlock,,,234375000.0,ns,8480
cpu,heavy contention,AmdSpinlock,,,250000000.0,ns,8745
cpu,heavy contention,AmdSpinlock,,,250000000.0,ns,9010
cpu,heavy contention,AmdSpinlock,,,1.0,ns,9275
cpu,heavy contention,AmdSpinlock,,,1.0,ns,9540
cpu,heavy contention,AmdSpinlock,,,15625000.0,ns,9805
cpu,heavy contention,AmdSpinlock,,,218750000.0,ns,10070
cpu,heavy contention,AmdSpinlock,,,234375000.0,ns,10335
cpu,heavy contention,AmdSpinlock,,,1.0,ns,10600
cpu,heavy contention,AmdSpinlock,,,1.0,ns,10865
cpu,heavy contention,AmdSpinlock,,,234375000.0,ns,11130
cpu,heavy contention,AmdSpinlock,,,234375000.0,ns,11395
cpu,heavy contention,AmdSpinlock,,,15625000.0,ns,11660
cpu,heavy contention,AmdSpinlock,,,1.0,ns,11925
cpu,heavy contention,AmdSpinlock,,,234375000.0,ns,12190
cpu,heavy contention,AmdSpinlock,,,250000000.0,ns,12455
cpu,heavy contention,AmdSpinlock,,,15625000.0,ns,12720
cpu,heavy contention,AmdSpinlock,,,218750000.0,ns,12985
cpu,heavy contention,AmdSpinlock,,,31250000.0,ns,13250
cpu,heavy contention,AmdSpinlock,,,218750000.0,ns,13515
cpu,heavy contention,AmdSpinlock,,,78125000.0,ns,13780
cpu,heavy contention,AmdSpinlock,,,203125000.0,ns,14045
cpu,heavy contention,AmdSpinlock,,,15625000.0,ns,14310
cpu,heavy contention,AmdSpinlock,,,218750000.0,ns,14575
cpu,heavy contention,AmdSpinlock,,,15625000.0,ns,14840
cpu,heavy contention,AmdSpinlock,,,234375000.0,ns,15105
cpu,heavy contention,AmdSpinlock,,,109375000.0,ns,15370
cpu,heavy contention,AmdSpinlock,,,203125000.0,ns,15635
cpu,heavy contention,AmdSpinlock,,,218750000.0,ns,15900
cpu,heavy contention,AmdSpinlock,,,234375000.0,ns,16165
cpu,heavy contention,AmdSpinlock,,,250000000.0,ns,16430
cpu,heavy contention,AmdSpinlock,,,234375000.0,ns,16695
cpu,heavy contention,AmdSpinlock,,,15625000.0,ns,16960
cpu,heavy contention,AmdSpinlock,,,250000000.0,ns,17225
cpu,heavy contention,AmdSpinlock,,,250000000.0,ns,17490
cpu,heavy contention,AmdSpinlock,,,218750000.0,ns,17755
cpu,heavy contention,AmdSpinlock,,,218750000.0,ns,18020
cpu,heavy contention,AmdSpinlock,,,234375000.0,ns,18285
cpu,heavy contention,AmdSpinlock,,,250000000.0,ns,18550
cpu,heavy contention,AmdSpinlock,,,250000000.0,ns,18815
cpu,heavy contention,AmdSpinlock,,,234375000.0,ns,19080
cpu,heavy contention,AmdSpinlock,,,109375000.0,ns,19345
cpu,heavy contention,AmdSpinlock,,,250000000.0,ns,19610
cpu,heavy contention,AmdSpinlock,,,234375000.0,ns,19875
cpu,heavy contention,AmdSpinlock,,,250000000.0,ns,20140
cpu,heavy contention,AmdSpinlock,,,218750000.0,ns,20405
cpu,heavy contention,AmdSpinlock,,,171875000.0,ns,20670
cpu,heavy contention,AmdSpinlock,,,250000000.0,ns,20935
cpu,heavy contention,AmdSpinlock,,,234375000.0,ns,21200
cpu,heavy contention,AmdSpinlock,,,234375000.0,ns,21465
cpu,heavy contention,AmdSpinlock,,,234375000.0,ns,21730
cpu,heavy contention,AmdSpinlock,,,218750000.0,ns,21995
cpu,heavy contention,AmdSpinlock,,,234375000.0,ns,22260
