group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cpu,heavy contention,parking_lot::Mutex,,,1.0,ns,336
cpu,heavy contention,parking_lot::Mutex,,,1.0,ns,672
cpu,heavy contention,parking_lot::Mutex,,,1.0,ns,1008
cpu,heavy contention,parking_lot::Mutex,,,1.0,ns,1344
cpu,heavy contention,parking_lot::Mutex,,,31250000.0,ns,1680
cpu,heavy contention,parking_lot::Mutex,,,1.0,ns,2016
cpu,heavy contention,parking_lot::Mutex,,,1.0,ns,2352
cpu,heavy contention,parking_lot::Mutex,,,1.0,ns,2688
cpu,heavy contention,parking_lot::Mutex,,,1.0,ns,3024
cpu,heavy contention,parking_lot::Mutex,,,1.0,ns,3360
cpu,heavy contention,parking_lot::Mutex,,,218750000.0,ns,3696
cpu,heavy contention,parking_lot::Mutex,,,171875000.0,ns,4032
cpu,heavy contention,parking_lot::Mutex,,,218750000.0,ns,4368
cpu,heavy contention,parking_lot::Mutex,,,234375000.0,ns,4704
cpu,heavy contention,parking_lot::Mutex,,,187500000.0,ns,5040
cpu,heavy contention,parking_lot::Mutex,,,234375000.0,ns,5376
cpu,heavy contention,parking_lot::Mutex,,,156250000.0,ns,5712
cpu,heavy contention,parking_lot::Mutex,,,218750000.0,ns,6048
cpu,heavy contention,parking_lot::Mutex,,,1.0,ns,6384
cpu,heavy contention,parking_lot::Mutex,,,1.0,ns,6720
cpu,heavy contention,parking_lot::Mutex,,,234375000.0,ns,7056
cpu,heavy contention,parking_lot::Mutex,,,140625000.0,ns,7392
cpu,heavy contention,parking_lot::Mutex,,,109375000.0,ns,7728
cpu,heavy contention,parking_lot::Mutex,,,1.0,ns,8064
cpu,heavy contention,parking_lot::Mutex,,,15625000.0,ns,8400
cpu,heavy contention,parking_lot::Mutex,,,218750000.0,ns,8736
cpu,heavy contention,parking_lot::Mutex,,,187500000.0,ns,9072
cpu,heavy contention,parking_lot::Mutex,,,1.0,ns,9408
cpu,heavy contention,parking_lot::Mutex,,,250000000.0,ns,9744
cpu,heavy contention,parking_lot::Mutex,,,203125000.0,ns,10080
cpu,heavy contention,parking_lot::Mutex,,,1.0,ns,10416
cpu,heavy contention,parking_lot::Mutex,,,250000000.0,ns,10752
cpu,heavy contention,parking_lot::Mutex,,,234375000.0,ns,11088
cpu,heavy contention,parking_lot::Mutex,,,1.0,ns,11424
cpu,heavy contention,parking_lot::Mutex,,,203125000.0,ns,11760
cpu,heavy contention,parking_lot::Mutex,,,250000000.0,ns,12096
cpu,heavy contention,parking_lot::Mutex,,,171875000.0,ns,12432
cpu,heavy contention,parking_lot::Mutex,,,187500000.0,ns,12768
cpu,heavy contention,parking_lot::Mutex,,,203125000.0,ns,13104
cpu,heavy contention,parking_lot::Mutex,,,171875000.0,ns,13440
cpu,heavy contention,parking_lot::Mutex,,,171875000.0,ns,13776
cpu,heavy contention,parking_lot::Mutex,,,250000000.0,ns,14112
cpu,heavy contention,parking_lot::Mutex,,,218750000.0,ns,14448
cpu,heavy contention,parking_lot::Mutex,,,437500000.0,ns,14784
cpu,heavy contention,parking_lot::Mutex,,,156250000.0,ns,15120
cpu,heavy contention,parking_lot::Mutex,,,250000000.0,ns,15456
cpu,heavy contention,parking_lot::Mutex,,,218750000.0,ns,15792
cpu,heavy contention,parking_lot::Mutex,,,156250000.0,ns,16128
cpu,heavy contention,parking_lot::Mutex,,,250000000.0,ns,16464
cpu,heavy contention,parking_lot::Mutex,,,250000000.0,ns,16800
cpu,heavy contention,parking_lot::Mutex,,,250000000.0,ns,17136
cpu,heavy contention,parking_lot::Mutex,,,250000000.0,ns,17472
cpu,heavy contention,parking_lot::Mutex,,,218750000.0,ns,17808
cpu,heavy contention,parking_lot::Mutex,,,218750000.0,ns,18144
cpu,heavy contention,parking_lot::Mutex,,,234375000.0,ns,18480
cpu,heavy contention,parking_lot::Mutex,,,234375000.0,ns,18816
cpu,heavy contention,parking_lot::Mutex,,,500000000.0,ns,19152
cpu,heavy contention,parking_lot::Mutex,,,234375000.0,ns,19488
cpu,heavy contention,parking_lot::Mutex,,,250000000.0,ns,19824
cpu,heavy contention,parking_lot::Mutex,,,234375000.0,ns,20160
cpu,heavy contention,parking_lot::Mutex,,,250000000.0,ns,20496
cpu,heavy contention,parking_lot::Mutex,,,234375000.0,ns,20832
cpu,heavy contention,parking_lot::Mutex,,,421875000.0,ns,21168
cpu,heavy contention,parking_lot::Mutex,,,203125000.0,ns,21504
cpu,heavy contention,parking_lot::Mutex,,,484375000.0,ns,21840
cpu,heavy contention,parking_lot::Mutex,,,453125000.0,ns,22176
cpu,heavy contention,parking_lot::Mutex,,,218750000.0,ns,22512
cpu,heavy contention,parking_lot::Mutex,,,234375000.0,ns,22848
cpu,heavy contention,parking_lot::Mutex,,,296875000.0,ns,23184
cpu,heavy contention,parking_lot::Mutex,,,453125000.0,ns,23520
cpu,heavy contention,parking_lot::Mutex,,,500000000.0,ns,23856
cpu,heavy contention,parking_lot::Mutex,,,250000000.0,ns,24192
cpu,heavy contention,parking_lot::Mutex,,,296875000.0,ns,24528
cpu,heavy contention,parking_lot::Mutex,,,421875000.0,ns,24864
cpu,heavy contention,parking_lot::Mutex,,,187500000.0,ns,25200
cpu,heavy contention,parking_lot::Mutex,,,437500000.0,ns,25536
cpu,heavy contention,parking_lot::Mutex,,,406250000.0,ns,25872
cpu,heavy contention,parking_lot::Mutex,,,343750000.0,ns,26208
cpu,heavy contention,parking_lot::Mutex,,,203125000.0,ns,26544
cpu,heavy contention,parking_lot::Mutex,,,234375000.0,ns,26880
cpu,heavy contention,parking_lot::Mutex,,,437500000.0,ns,27216
cpu,heavy contention,parking_lot::Mutex,,,484375000.0,ns,27552
cpu,heavy contention,parking_lot::Mutex,,,343750000.0,ns,27888
cpu,heavy contention,parking_lot::Mutex,,,453125000.0,ns,28224
cpu,heavy contention,parking_lot::Mutex,,,250000000.0,ns,28560
cpu,heavy contention,parking_lot::Mutex,,,500000000.0,ns,28896
cpu,heavy contention,parking_lot::Mutex,,,234375000.0,ns,29232
cpu,heavy contention,parking_lot::Mutex,,,343750000.0,ns,29568
cpu,heavy contention,parking_lot::Mutex,,,500000000.0,ns,29904
cpu,heavy contention,parking_lot::Mutex,,,500000000.0,ns,30240
cpu,heavy contention,parking_lot::Mutex,,,453125000.0,ns,30576
cpu,heavy contention,parking_lot::Mutex,,,500000000.0,ns,30912
cpu,heavy contention,parking_lot::Mutex,,,656250000.0,ns,31248
cpu,heavy contention,parking_lot::Mutex,,,500000000.0,ns,31584
cpu,heavy contention,parking_lot::Mutex,,,296875000.0,ns,31920
cpu,heavy contention,parking_lot::Mutex,,,359375000.0,ns,32256
cpu,heavy contention,parking_lot::Mutex,,,484375000.0,ns,32592
cpu,heavy contention,parking_lot::Mutex,,,484375000.0,ns,32928
cpu,heavy contention,parking_lot::Mutex,,,468750000.0,ns,33264
cpu,heavy contention,parking_lot::Mutex,,,359375000.0,ns,33600
