group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cpu,light contention,AmdSpinlock,,,1.0,ns,277
cpu,light contention,AmdSpinlock,,,1.0,ns,554
cpu,light contention,AmdSpinlock,,,1.0,ns,831
cpu,light contention,AmdSpinlock,,,1.0,ns,1108
cpu,light contention,AmdSpinlock,,,1.0,ns,1385
cpu,light contention,AmdSpinlock,,,1.0,ns,1662
cpu,light contention,AmdSpinlock,,,1.0,ns,1939
cpu,light contention,AmdSpinlock,,,1.0,ns,2216
cpu,light contention,AmdSpinlock,,,171875000.0,ns,2493
cpu,light contention,AmdSpinlock,,,1.0,ns,2770
cpu,light contention,AmdSpinlock,,,1.0,ns,3047
cpu,light contention,AmdSpinlock,,,1.0,ns,3324
cpu,light contention,AmdSpinlock,,,1.0,ns,3601
cpu,light contention,AmdSpinlock,,,1.0,ns,3878
cpu,light contention,AmdSpinlock,,,171875000.0,ns,4155
cpu,light contention,AmdSpinlock,,,1.0,ns,4432
cpu,light contention,AmdSpinlock,,,1.0,ns,4709
cpu,light contention,AmdSpinlock,,,1.0,ns,4986
cpu,light contention,AmdSpinlock,,,1.0,ns,5263
cpu,light contention,AmdSpinlock,,,1.0,ns,5540
cpu,light contention,AmdSpinlock,,,1.0,ns,5817
cpu,light contention,AmdSpinlock,,,1.0,ns,6094
cpu,light contention,AmdSpinlock,,,1.0,ns,6371
cpu,light contention,AmdSpinlock,,,1.0,ns,6648
cpu,light contention,AmdSpinlock,,,1.0,ns,6925
cpu,light contention,AmdSpinlock,,,1.0,ns,7202
cpu,light contention,AmdSpinlock,,,1.0,ns,7479
cpu,light contention,AmdSpinlock,,,1.0,ns,7756
cpu,light contention,AmdSpinlock,,,1.0,ns,8033
cpu,light contention,AmdSpinlock,,,1.0,ns,8310
cpu,light contention,AmdSpinlock,,,15625000.0,ns,8587
cpu,light contention,AmdSpinlock,,,250000000.0,ns,8864
cpu,light contention,AmdSpinlock,,,250000000.0,ns,9141
cpu,light contention,AmdSpinlock,,,218750000.0,ns,9418
cpu,light contention,AmdSpinlock,,,1.0,ns,9695
cpu,light contention,AmdSpinlock,,,1.0,ns,9972
cpu,light contention,AmdSpinlock,,,1.0,ns,10249
cpu,light contention,AmdSpinlock,,,234375000.0,ns,10526
cpu,light contention,AmdSpinlock,,,250000000.0,ns,10803
cpu,light contention,AmdSpinlock,,,1.0,ns,11080
cpu,light contention,AmdSpinlock,,,1.0,ns,11357
cpu,light contention,AmdSpinlock,,,46875000.0,ns,11634
cpu,light contention,AmdSpinlock,,,218750000.0,ns,11911
cpu,light contention,AmdSpinlock,,,1.0,ns,12188
cpu,light contention,AmdSpinlock,,,15625000.0,ns,12465
cpu,light contention,AmdSpinlock,,,187500000.0,ns,12742
cpu,light contention,AmdSpinlock,,,234375000.0,ns,13019
cpu,light contention,AmdSpinlock,,,31250000.0,ns,13296
cpu,light contention,AmdSpinlock,,,218750000.0,ns,13573
cpu,light contention,AmdSpinlock,,,234375000.0,ns,13850
cpu,light contention,AmdSpinlock,,,1.0,ns,14127
cpu,light contention,AmdSpinlock,,,62500000.0,ns,14404
cpu,light contention,AmdSpinlock,,,203125000.0,ns,14681
cpu,light contention,AmdSpinlock,,,15625000.0,ns,14958
cpu,light contention,AmdSpinlock,,,234375000.0,ns,15235
cpu,light contention,AmdSpinlock,,,1.0,ns,15512
cpu,light contention,AmdSpinlock,,,234375000.0,ns,15789
