group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cpu,light contention,parking_lot::Mutex,,,1.0,ns,544
cpu,light contention,parking_lot::Mutex,,,1.0,ns,1088
cpu,light contention,parking_lot::Mutex,,,1.0,ns,1632
cpu,light contention,parking_lot::Mutex,,,1.0,ns,2176
cpu,light contention,parking_lot::Mutex,,,1.0,ns,2720
cpu,light contention,parking_lot::Mutex,,,1.0,ns,3264
cpu,light contention,parking_lot::Mutex,,,1.0,ns,3808
cpu,light contention,parking_lot::Mutex,,,1.0,ns,4352
cpu,light contention,parking_lot::Mutex,,,250000000.0,ns,4896
cpu,light contention,parking_lot::Mutex,,,250000000.0,ns,5440
cpu,light contention,parking_lot::Mutex,,,218750000.0,ns,5984
cpu,light contention,parking_lot::Mutex,,,234375000.0,ns,6528
cpu,light contention,parking_lot::Mutex,,,187500000.0,ns,7072
cpu,light contention,parking_lot::Mutex,,,218750000.0,ns,7616
cpu,light contention,parking_lot::Mutex,,,234375000.0,ns,8160
cpu,light contention,parking_lot::Mutex,,,250000000.0,ns,8704
cpu,light contention,parking_lot::Mutex,,,1.0,ns,9248
cpu,light contention,parking_lot::Mutex,,,1.0,ns,9792
cpu,light contention,parking_lot::Mutex,,,1.0,ns,10336
cpu,light contention,parking_lot::Mutex,,,62500000.0,ns,10880
cpu,light contention,parking_lot::Mutex,,,234375000.0,ns,11424
cpu,light contention,parking_lot::Mutex,,,234375000.0,ns,11968
cpu,light contention,parking_lot::Mutex,,,1.0,ns,12512
cpu,light contention,parking_lot::Mutex,,,218750000.0,ns,13056
cpu,light contention,parking_lot::Mutex,,,250000000.0,ns,13600
cpu,light contention,parking_lot::Mutex,,,62500000.0,ns,14144
cpu,light contention,parking_lot::Mutex,,,250000000.0,ns,14688
cpu,light contention,parking_lot::Mutex,,,1.0,ns,15232
cpu,light contention,parking_lot::Mutex,,,250000000.0,ns,15776
cpu,light contention,parking_lot::Mutex,,,234375000.0,ns,16320
cpu,light contention,parking_lot::Mutex,,,234375000.0,ns,16864
cpu,light contention,parking_lot::Mutex,,,250000000.0,ns,17408
cpu,light contention,parking_lot::Mutex,,,203125000.0,ns,17952
cpu,light contention,parking_lot::Mutex,,,62500000.0,ns,18496
cpu,light contention,parking_lot::Mutex,,,125000000.0,ns,19040
cpu,light contention,parking_lot::Mutex,,,234375000.0,ns,19584
cpu,light contention,parking_lot::Mutex,,,31250000.0,ns,20128
cpu,light contention,parking_lot::Mutex,,,234375000.0,ns,20672
cpu,light contention,parking_lot::Mutex,,,234375000.0,ns,21216
cpu,light contention,parking_lot::Mutex,,,234375000.0,ns,21760
cpu,light contention,parking_lot::Mutex,,,125000000.0,ns,22304
cpu,light contention,parking_lot::Mutex,,,218750000.0,ns,22848
cpu,light contention,parking_lot::Mutex,,,234375000.0,ns,23392
cpu,light contention,parking_lot::Mutex,,,234375000.0,ns,23936
cpu,light contention,parking_lot::Mutex,,,234375000.0,ns,24480
cpu,light contention,parking_lot::Mutex,,,234375000.0,ns,25024
cpu,light contention,parking_lot::Mutex,,,234375000.0,ns,25568
cpu,light contention,parking_lot::Mutex,,,250000000.0,ns,26112
cpu,light contention,parking_lot::Mutex,,,234375000.0,ns,26656
cpu,light contention,parking_lot::Mutex,,,250000000.0,ns,27200
cpu,light contention,parking_lot::Mutex,,,218750000.0,ns,27744
cpu,light contention,parking_lot::Mutex,,,250000000.0,ns,28288
cpu,light contention,parking_lot::Mutex,,,234375000.0,ns,28832
cpu,light contention,parking_lot::Mutex,,,312500000.0,ns,29376
cpu,light contention,parking_lot::Mutex,,,453125000.0,ns,29920
cpu,light contention,parking_lot::Mutex,,,500000000.0,ns,30464
cpu,light contention,parking_lot::Mutex,,,234375000.0,ns,31008
cpu,light contention,parking_lot::Mutex,,,250000000.0,ns,31552
cpu,light contention,parking_lot::Mutex,,,406250000.0,ns,32096
cpu,light contention,parking_lot::Mutex,,,203125000.0,ns,32640
cpu,light contention,parking_lot::Mutex,,,343750000.0,ns,33184
cpu,light contention,parking_lot::Mutex,,,234375000.0,ns,33728
cpu,light contention,parking_lot::Mutex,,,437500000.0,ns,34272
cpu,light contention,parking_lot::Mutex,,,453125000.0,ns,34816
cpu,light contention,parking_lot::Mutex,,,250000000.0,ns,35360
cpu,light contention,parking_lot::Mutex,,,421875000.0,ns,35904
cpu,light contention,parking_lot::Mutex,,,453125000.0,ns,36448
cpu,light contention,parking_lot::Mutex,,,437500000.0,ns,36992
cpu,light contention,parking_lot::Mutex,,,500000000.0,ns,37536
cpu,light contention,parking_lot::Mutex,,,203125000.0,ns,38080
cpu,light contention,parking_lot::Mutex,,,500000000.0,ns,38624
