group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cpu,light contention,std::sync::Mutex,,,1.0,ns,344
cpu,light contention,std::sync::Mutex,,,1.0,ns,688
cpu,light contention,std::sync::Mutex,,,1.0,ns,1032
cpu,light contention,std::sync::Mutex,,,1.0,ns,1376
cpu,light contention,std::sync::Mutex,,,1.0,ns,1720
cpu,light contention,std::sync::Mutex,,,1.0,ns,2064
cpu,light contention,std::sync::Mutex,,,1.0,ns,2408
cpu,light contention,std::sync::Mutex,,,1.0,ns,2752
cpu,light contention,std::sync::Mutex,,,1.0,ns,3096
cpu,light contention,std::sync::Mutex,,,187500000.0,ns,3440
cpu,light contention,std::sync::Mutex,,,1.0,ns,3784
cpu,light contention,std::sync::Mutex,,,1.0,ns,4128
cpu,light contention,std::sync::Mutex,,,1.0,ns,4472
cpu,light contention,std::sync::Mutex,,,1.0,ns,4816
cpu,light contention,std::sync::Mutex,,,1.0,ns,5160
cpu,light contention,std::sync::Mutex,,,1.0,ns,5504
cpu,light contention,std::sync::Mutex,,,1.0,ns,5848
cpu,light contention,std::sync::Mutex,,,1.0,ns,6192
cpu,light contention,std::sync::Mutex,,,1.0,ns,6536
cpu,light contention,std::sync::Mutex,,,1.0,ns,6880
cpu,light contention,std::sync::Mutex,,,46875000.0,ns,7224
cpu,light contention,std::sync::Mutex,,,218750000.0,ns,7568
cpu,light contention,std::sync::Mutex,,,250000000.0,ns,7912
cpu,light contention,std::sync::Mutex,,,234375000.0,ns,8256
cpu,light contention,std::sync::Mutex,,,1.0,ns,8600
cpu,light contention,std::sync::Mutex,,,1.0,ns,8944
cpu,light contention,std::sync::Mutex,,,1.0,ns,9288
cpu,light contention,std::sync::Mutex,,,187500000.0,ns,9632
cpu,light contention,std::sync::Mutex,,,234375000.0,ns,9976
cpu,light contention,std::sync::Mutex,,,1.0,ns,10320
cpu,light contention,std::sync::Mutex,,,218750000.0,ns,10664
cpu,light contention,std::sync::Mutex,,,234375000.0,ns,11008
cpu,light contention,std::sync::Mutex,,,1.0,ns,11352
cpu,light contention,std::sync::Mutex,,,218750000.0,ns,11696
cpu,light contention,std::sync::Mutex,,,218750000.0,ns,12040
cpu,light contention,std::sync::Mutex,,,78125000.0,ns,12384
cpu,light contention,std::sync::Mutex,,,234375000.0,ns,12728
cpu,light contention,std::sync::Mutex,,,1.0,ns,13072
cpu,light contention,std::sync::Mutex,,,218750000.0,ns,13416
cpu,light contention,std::sync::Mutex,,,1.0,ns,13760
cpu,light contention,std::sync::Mutex,,,203125000.0,ns,14104
cpu,light contention,std::sync::Mutex,,,125000000.0,ns,14448
cpu,light contention,std::sync::Mutex,,,250000000.0,ns,14792
cpu,light contention,std::sync::Mutex,,,234375000.0,ns,15136
cpu,light contention,std::sync::Mutex,,,250000000.0,ns,15480
cpu,light contention,std::sync::Mutex,,,234375000.0,ns,15824
cpu,light contention,std::sync::Mutex,,,328125000.0,ns,16168
cpu,light contention,std::sync::Mutex,,,234375000.0,ns,16512
cpu,light contention,std::sync::Mutex,,,250000000.0,ns,16856
cpu,light contention,std::sync::Mutex,,,281250000.0,ns,17200
cpu,light contention,std::sync::Mutex,,,250000000.0,ns,17544
cpu,light contention,std::sync::Mutex,,,140625000.0,ns,17888
cpu,light contention,std::sync::Mutex,,,234375000.0,ns,18232
cpu,light contention,std::sync::Mutex,,,171875000.0,ns,18576
cpu,light contention,std::sync::Mutex,,,250000000.0,ns,18920
cpu,light contention,std::sync::Mutex,,,250000000.0,ns,19264
cpu,light contention,std::sync::Mutex,,,250000000.0,ns,19608
cpu,light contention,std::sync::Mutex,,,203125000.0,ns,19952
cpu,light contention,std::sync::Mutex,,,234375000.0,ns,20296
cpu,light contention,std::sync::Mutex,,,203125000.0,ns,20640
cpu,light contention,std::sync::Mutex,,,406250000.0,ns,20984
cpu,light contention,std::sync::Mutex,,,359375000.0,ns,21328
cpu,light contention,std::sync::Mutex,,,296875000.0,ns,21672
cpu,light contention,std::sync::Mutex,,,234375000.0,ns,22016
cpu,light contention,std::sync::Mutex,,,265625000.0,ns,22360
cpu,light contention,std::sync::Mutex,,,250000000.0,ns,22704
cpu,light contention,std::sync::Mutex,,,265625000.0,ns,23048
cpu,light contention,std::sync::Mutex,,,328125000.0,ns,23392
cpu,light contention,std::sync::Mutex,,,390625000.0,ns,23736
cpu,light contention,std::sync::Mutex,,,453125000.0,ns,24080
cpu,light contention,std::sync::Mutex,,,234375000.0,ns,24424
cpu,light contention,std::sync::Mutex,,,218750000.0,ns,24768
cpu,light contention,std::sync::Mutex,,,250000000.0,ns,25112
cpu,light contention,std::sync::Mutex,,,296875000.0,ns,25456
cpu,light contention,std::sync::Mutex,,,421875000.0,ns,25800
cpu,light contention,std::sync::Mutex,,,203125000.0,ns,26144
cpu,light contention,std::sync::Mutex,,,265625000.0,ns,26488
cpu,light contention,std::sync::Mutex,,,390625000.0,ns,26832
cpu,light contention,std::sync::Mutex,,,250000000.0,ns,27176
cpu,light contention,std::sync::Mutex,,,281250000.0,ns,27520
cpu,light contention,std::sync::Mutex,,,437500000.0,ns,27864
cpu,light contention,std::sync::Mutex,,,453125000.0,ns,28208
cpu,light contention,std::sync::Mutex,,,281250000.0,ns,28552
cpu,light contention,std::sync::Mutex,,,421875000.0,ns,28896
cpu,light contention,std::sync::Mutex,,,234375000.0,ns,29240
cpu,light contention,std::sync::Mutex,,,359375000.0,ns,29584
cpu,light contention,std::sync::Mutex,,,484375000.0,ns,29928
cpu,light contention,std::sync::Mutex,,,281250000.0,ns,30272
cpu,light contention,std::sync::Mutex,,,437500000.0,ns,30616
cpu,light contention,std::sync::Mutex,,,296875000.0,ns,30960
cpu,light contention,std::sync::Mutex,,,453125000.0,ns,31304
cpu,light contention,std::sync::Mutex,,,421875000.0,ns,31648
cpu,light contention,std::sync::Mutex,,,281250000.0,ns,31992
cpu,light contention,std::sync::Mutex,,,484375000.0,ns,32336
cpu,light contention,std::sync::Mutex,,,421875000.0,ns,32680
cpu,light contention,std::sync::Mutex,,,453125000.0,ns,33024
cpu,light contention,std::sync::Mutex,,,468750000.0,ns,33368
cpu,light contention,std::sync::Mutex,,,296875000.0,ns,33712
cpu,light contention,std::sync::Mutex,,,468750000.0,ns,34056
cpu,light contention,std::sync::Mutex,,,421875000.0,ns,34400
