group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
duration,extreme contention,AmdSpinlock,,,285600.0,ns,21
duration,extreme contention,AmdSpinlock,,,409600.0,ns,42
duration,extreme contention,AmdSpinlock,,,900400.0,ns,63
duration,extreme contention,AmdSpinlock,,,1213400.0,ns,84
duration,extreme contention,AmdSpinlock,,,1449600.0,ns,105
duration,extreme contention,AmdSpinlock,,,1684200.0,ns,126
duration,extreme contention,AmdSpinlock,,,2181800.0,ns,147
duration,extreme contention,AmdSpinlock,,,2737900.0,ns,168
duration,extreme contention,AmdSpinlock,,,2359700.0,ns,189
duration,extreme contention,AmdSpinlock,,,2639100.0,ns,210
duration,extreme contention,AmdSpinlock,,,3038300.0,ns,231
duration,extreme contention,AmdSpinlock,,,3267000.0,ns,252
duration,extreme contention,AmdSpinlock,,,3641900.0,ns,273
duration,extreme contention,AmdSpinlock,,,4002800.0,ns,294
duration,extreme contention,AmdSpinlock,,,4511500.0,ns,315
duration,extreme contention,AmdSpinlock,,,4514500.0,ns,336
duration,extreme contention,AmdSpinlock,,,5022700.0,ns,357
duration,extreme contention,AmdSpinlock,,,4792700.0,ns,378
duration,extreme contention,AmdSpinlock,,,4835800.0,ns,399
duration,extreme contention,AmdSpinlock,,,5194700.0,ns,420
duration,extreme contention,AmdSpinlock,,,5546900.0,ns,441
duration,extreme contention,AmdSpinlock,,,5804300.0,ns,462
duration,extreme contention,AmdSpinlock,,,6343500.0,ns,483
duration,extreme contention,AmdSpinlock,,,6599100.0,ns,504
duration,extreme contention,AmdSpinlock,,,6684900.0,ns,525
duration,extreme contention,AmdSpinlock,,,7066700.0,ns,546
duration,extreme contention,AmdSpinlock,,,7307800.0,ns,567
duration,extreme contention,AmdSpinlock,,,6974400.0,ns,588
duration,extreme contention,AmdSpinlock,,,7080100.0,ns,609
duration,extreme contention,AmdSpinlock,,,3127900.0,ns,630
duration,extreme contention,AmdSpinlock,,,8282600.0,ns,651
duration,extreme contention,AmdSpinlock,,,8697700.0,ns,672
duration,extreme contention,AmdSpinlock,,,8414400.0,ns,693
duration,extreme contention,AmdSpinlock,,,9125400.0,ns,714
duration,extreme contention,AmdSpinlock,,,4623300.0,ns,735
duration,extreme contention,AmdSpinlock,,,9058500.0,ns,756
duration,extreme contention,AmdSpinlock,,,9480900.0,ns,777
duration,extreme contention,AmdSpinlock,,,10184000.0,ns,798
duration,extreme contention,AmdSpinlock,,,10186000.0,ns,819
duration,extreme contention,AmdSpinlock,,,10549800.0,ns,840
duration,extreme contention,AmdSpinlock,,,11803500.0,ns,861
duration,extreme contention,AmdSpinlock,,,11138600.0,ns,882
duration,extreme contention,AmdSpinlock,,,11606600.0,ns,903
duration,extreme contention,AmdSpinlock,,,11414000.0,ns,924
duration,extreme contention,AmdSpinlock,,,12067500.0,ns,945
duration,extreme contention,AmdSpinlock,,,11783600.0,ns,966
duration,extreme contention,AmdSpinlock,,,11362900.0,ns,987
duration,extreme contention,AmdSpinlock,,,11863900.0,ns,1008
duration,extreme contention,AmdSpinlock,,,12787200.0,ns,1029
duration,extreme contention,AmdSpinlock,,,13317000.0,ns,1050
duration,extreme contention,AmdSpinlock,,,13201700.0,ns,1071
duration,extreme contention,AmdSpinlock,,,13579700.0,ns,1092
duration,extreme contention,AmdSpinlock,,,13649400.0,ns,1113
duration,extreme contention,AmdSpinlock,,,13914100.0,ns,1134
duration,extreme contention,AmdSpinlock,,,13521800.0,ns,1155
duration,extreme contention,AmdSpinlock,,,15100900.0,ns,1176
duration,extreme contention,AmdSpinlock,,,14569900.0,ns,1197
duration,extreme contention,AmdSpinlock,,,2397900.0,ns,1218
duration,extreme contention,AmdSpinlock,,,16259400.0,ns,1239
duration,extreme contention,AmdSpinlock,,,16361100.0,ns,1260
duration,extreme contention,AmdSpinlock,,,16277000.0,ns,1281
duration,extreme contention,AmdSpinlock,,,15684700.0,ns,1302
duration,extreme contention,AmdSpinlock,,,16481400.0,ns,1323
duration,extreme contention,AmdSpinlock,,,16254700.0,ns,1344
duration,extreme contention,AmdSpinlock,,,16271300.0,ns,1365
duration,extreme contention,AmdSpinlock,,,17320400.0,ns,1386
duration,extreme contention,AmdSpinlock,,,17432500.0,ns,1407
duration,extreme contention,AmdSpinlock,,,17768700.0,ns,1428
duration,extreme contention,AmdSpinlock,,,18223700.0,ns,1449
duration,extreme contention,AmdSpinlock,,,18594500.0,ns,1470
duration,extreme contention,AmdSpinlock,,,19105500.0,ns,1491
duration,extreme contention,AmdSpinlock,,,18022200.0,ns,1512
duration,extreme contention,AmdSpinlock,,,9156800.0,ns,1533
duration,extreme contention,AmdSpinlock,,,18877300.0,ns,1554
duration,extreme contention,AmdSpinlock,,,19222300.0,ns,1575
duration,extreme contention,AmdSpinlock,,,19977700.0,ns,1596
duration,extreme contention,AmdSpinlock,,,19983100.0,ns,1617
duration,extreme contention,AmdSpinlock,,,20622700.0,ns,1638
duration,extreme contention,AmdSpinlock,,,9258300.0,ns,1659
duration,extreme contention,AmdSpinlock,,,21346800.0,ns,1680
duration,extreme contention,AmdSpinlock,,,21094700.0,ns,1701
duration,extreme contention,AmdSpinlock,,,20928600.0,ns,1722
duration,extreme contention,AmdSpinlock,,,9648800.0,ns,1743
duration,extreme contention,AmdSpinlock,,,21840700.0,ns,1764
duration,extreme contention,AmdSpinlock,,,22132100.0,ns,1785
duration,extreme contention,AmdSpinlock,,,24041400.0,ns,1806
duration,extreme contention,AmdSpinlock,,,22765200.0,ns,1827
duration,extreme contention,AmdSpinlock,,,22389300.0,ns,1848
duration,extreme contention,AmdSpinlock,,,22627300.0,ns,1869
duration,extreme contention,AmdSpinlock,,,22787800.0,ns,1890
duration,extreme contention,AmdSpinlock,,,20205600.0,ns,1911
duration,extreme contention,AmdSpinlock,,,23394600.0,ns,1932
duration,extreme contention,AmdSpinlock,,,24985700.0,ns,1953
duration,extreme contention,AmdSpinlock,,,24729400.0,ns,1974
duration,extreme contention,AmdSpinlock,,,24830000.0,ns,1995
duration,extreme contention,AmdSpinlock,,,24850800.0,ns,2016
duration,extreme contention,AmdSpinlock,,,24081600.0,ns,2037
duration,extreme contention,AmdSpinlock,,,25836100.0,ns,2058
duration,extreme contention,AmdSpinlock,,,24035100.0,ns,2079
duration,extreme contention,AmdSpinlock,,,25794100.0,ns,2100
