group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
duration,extreme contention,std::sync::Mutex,,,716900.0,ns,65
duration,extreme contention,std::sync::Mutex,,,1263600.0,ns,130
duration,extreme contention,std::sync::Mutex,,,1823900.0,ns,195
duration,extreme contention,std::sync::Mutex,,,2382500.0,ns,260
duration,extreme contention,std::sync::Mutex,,,2900800.0,ns,325
duration,extreme contention,std::sync::Mutex,,,3417600.0,ns,390
duration,extreme contention,std::sync::Mutex,,,4101300.0,ns,455
duration,extreme contention,std::sync::Mutex,,,4365200.0,ns,520
duration,extreme contention,std::sync::Mutex,,,4980200.0,ns,585
duration,extreme contention,std::sync::Mutex,,,6144800.0,ns,650
duration,extreme contention,std::sync::Mutex,,,6347300.0,ns,715
duration,extreme contention,std::sync::Mutex,,,6485700.0,ns,780
duration,extreme contention,std::sync::Mutex,,,7717600.0,ns,845
duration,extreme contention,std::sync::Mutex,,,7410800.0,ns,910
duration,extreme contention,std::sync::Mutex,,,8031800.0,ns,975
duration,extreme contention,std::sync::Mutex,,,8768100.0,ns,1040
duration,extreme contention,std::sync::Mutex,,,9635700.0,ns,1105
duration,extreme contention,std::sync::Mutex,,,9607400.0,ns,1170
duration,extreme contention,std::sync::Mutex,,,10179100.0,ns,1235
duration,extreme contention,std::sync::Mutex,,,10970500.0,ns,1300
duration,extreme contention,std::sync::Mutex,,,11204100.0,ns,1365
duration,extreme contention,std::sync::Mutex,,,11782100.0,ns,1430
duration,extreme contention,std::sync::Mutex,,,12217200.0,ns,1495
duration,extreme contention,std::sync::Mutex,,,12997100.0,ns,1560
duration,extreme contention,std::sync::Mutex,,,13216900.0,ns,1625
duration,extreme contention,std::sync::Mutex,,,13914800.0,ns,1690
duration,extreme contention,std::sync::Mutex,,,14445800.0,ns,1755
duration,extreme contention,std::sync::Mutex,,,15166900.0,ns,1820
duration,extreme contention,std::sync::Mutex,,,15386600.0,ns,1885
duration,extreme contention,std::sync::Mutex,,,16163600.0,ns,1950
duration,extreme contention,std::sync::Mutex,,,16505800.0,ns,2015
duration,extreme contention,std::sync::Mutex,,,16757800.0,ns,2080
duration,extreme contention,std::sync::Mutex,,,17236000.0,ns,2145
duration,extreme contention,std::sync::Mutex,,,18174100.0,ns,2210
duration,extreme contention,std::sync::Mutex,,,19604200.0,ns,2275
duration,extreme contention,std::sync::Mutex,,,19732400.0,ns,2340
duration,extreme contention,std::sync::Mutex,,,23067700.0,ns,2405
duration,extreme contention,std::sync::Mutex,,,20434200.0,ns,2470
duration,extreme contention,std::sync::Mutex,,,22147100.0,ns,2535
duration,extreme contention,std::sync::Mutex,,,21779400.0,ns,2600
duration,extreme contention,std::sync::Mutex,,,25850000.0,ns,2665
duration,extreme contention,std::sync::Mutex,,,22600700.0,ns,2730
duration,extreme contention,std::sync::Mutex,,,25556700.0,ns,2795
duration,extreme contention,std::sync::Mutex,,,24607400.0,ns,2860
duration,extreme contention,std::sync::Mutex,,,28876600.0,ns,2925
duration,extreme contention,std::sync::Mutex,,,25245300.0,ns,2990
duration,extreme contention,std::sync::Mutex,,,25601400.0,ns,3055
duration,extreme contention,std::sync::Mutex,,,25276400.0,ns,3120
duration,extreme contention,std::sync::Mutex,,,26253400.0,ns,3185
duration,extreme contention,std::sync::Mutex,,,26561000.0,ns,3250
duration,extreme contention,std::sync::Mutex,,,31633300.0,ns,3315
duration,extreme contention,std::sync::Mutex,,,28364800.0,ns,3380
duration,extreme contention,std::sync::Mutex,,,32052700.0,ns,3445
duration,extreme contention,std::sync::Mutex,,,29482300.0,ns,3510
duration,extreme contention,std::sync::Mutex,,,32585400.0,ns,3575
duration,extreme contention,std::sync::Mutex,,,30417600.0,ns,3640
duration,extreme contention,std::sync::Mutex,,,30357100.0,ns,3705
duration,extreme contention,std::sync::Mutex,,,31270700.0,ns,3770
duration,extreme contention,std::sync::Mutex,,,34193500.0,ns,3835
duration,extreme contention,std::sync::Mutex,,,40186500.0,ns,3900
duration,extreme contention,std::sync::Mutex,,,33191000.0,ns,3965
duration,extreme contention,std::sync::Mutex,,,33106800.0,ns,4030
duration,extreme contention,std::sync::Mutex,,,33926100.0,ns,4095
duration,extreme contention,std::sync::Mutex,,,33605300.0,ns,4160
duration,extreme contention,std::sync::Mutex,,,35906700.0,ns,4225
duration,extreme contention,std::sync::Mutex,,,36267400.0,ns,4290
duration,extreme contention,std::sync::Mutex,,,43891100.0,ns,4355
duration,extreme contention,std::sync::Mutex,,,37120100.0,ns,4420
duration,extreme contention,std::sync::Mutex,,,36694000.0,ns,4485
duration,extreme contention,std::sync::Mutex,,,37832100.0,ns,4550
duration,extreme contention,std::sync::Mutex,,,36816800.0,ns,4615
duration,extreme contention,std::sync::Mutex,,,38594700.0,ns,4680
duration,extreme contention,std::sync::Mutex,,,39955000.0,ns,4745
duration,extreme contention,std::sync::Mutex,,,46780700.0,ns,4810
duration,extreme contention,std::sync::Mutex,,,41072200.0,ns,4875
duration,extreme contention,std::sync::Mutex,,,41324300.0,ns,4940
duration,extreme contention,std::sync::Mutex,,,40893900.0,ns,5005
duration,extreme contention,std::sync::Mutex,,,42892400.0,ns,5070
duration,extreme contention,std::sync::Mutex,,,41860600.0,ns,5135
duration,extreme contention,std::sync::Mutex,,,43243700.0,ns,5200
duration,extreme contention,std::sync::Mutex,,,51419700.0,ns,5265
duration,extreme contention,std::sync::Mutex,,,46301100.0,ns,5330
duration,extreme contention,std::sync::Mutex,,,44070200.0,ns,5395
duration,extreme contention,std::sync::Mutex,,,51191900.0,ns,5460
duration,extreme contention,std::sync::Mutex,,,45933800.0,ns,5525
duration,extreme contention,std::sync::Mutex,,,47277500.0,ns,5590
duration,extreme contention,std::sync::Mutex,,,48225600.0,ns,5655
duration,extreme contention,std::sync::Mutex,,,48242200.0,ns,5720
duration,extreme contention,std::sync::Mutex,,,50387300.0,ns,5785
duration,extreme contention,std::sync::Mutex,,,49502700.0,ns,5850
duration,extreme contention,std::sync::Mutex,,,48753100.0,ns,5915
duration,extreme contention,std::sync::Mutex,,,50025100.0,ns,5980
duration,extreme contention,std::sync::Mutex,,,50656000.0,ns,6045
duration,extreme contention,std::sync::Mutex,,,58456100.0,ns,6110
duration,extreme contention,std::sync::Mutex,,,52592700.0,ns,6175
duration,extreme contention,std::sync::Mutex,,,54815200.0,ns,6240
duration,extreme contention,std::sync::Mutex,,,52705100.0,ns,6305
duration,extreme contention,std::sync::Mutex,,,53700500.0,ns,6370
duration,extreme contention,std::sync::Mutex,,,54454100.0,ns,6435
duration,extreme contention,std::sync::Mutex,,,54040200.0,ns,6500
