group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
duration,heavy contention,parking_lot::Mutex,,,878700.0,ns,332
duration,heavy contention,parking_lot::Mutex,,,954700.0,ns,664
duration,heavy contention,parking_lot::Mutex,,,1043800.0,ns,996
duration,heavy contention,parking_lot::Mutex,,,2668400.0,ns,1328
duration,heavy contention,parking_lot::Mutex,,,1569100.0,ns,1660
duration,heavy contention,parking_lot::Mutex,,,2102900.0,ns,1992
duration,heavy contention,parking_lot::Mutex,,,2877500.0,ns,2324
duration,heavy contention,parking_lot::Mutex,,,2365000.0,ns,2656
duration,heavy contention,parking_lot::Mutex,,,3807700.0,ns,2988
duration,heavy contention,parking_lot::Mutex,,,3203100.0,ns,3320
duration,heavy contention,parking_lot::Mutex,,,3716800.0,ns,3652
duration,heavy contention,parking_lot::Mutex,,,4092100.0,ns,3984
duration,heavy contention,parking_lot::Mutex,,,5564000.0,ns,4316
duration,heavy contention,parking_lot::Mutex,,,6672800.0,ns,4648
duration,heavy contention,parking_lot::Mutex,,,7773700.0,ns,4980
duration,heavy contention,parking_lot::Mutex,,,5290600.0,ns,5312
duration,heavy contention,parking_lot::Mutex,,,7112300.0,ns,5644
duration,heavy contention,parking_lot::Mutex,,,8024000.0,ns,5976
duration,heavy contention,parking_lot::Mutex,,,7773800.0,ns,6308
duration,heavy contention,parking_lot::Mutex,,,7667000.0,ns,6640
duration,heavy contention,parking_lot::Mutex,,,7504900.0,ns,6972
duration,heavy contention,parking_lot::Mutex,,,8235800.0,ns,7304
duration,heavy contention,parking_lot::Mutex,,,8456400.0,ns,7636
duration,heavy contention,parking_lot::Mutex,,,9414300.0,ns,7968
duration,heavy contention,parking_lot::Mutex,,,8846400.0,ns,8300
duration,heavy contention,parking_lot::Mutex,,,9641500.0,ns,8632
duration,heavy contention,parking_lot::Mutex,,,9713600.0,ns,8964
duration,heavy contention,parking_lot::Mutex,,,10158900.0,ns,9296
duration,heavy contention,parking_lot::Mutex,,,10129700.0,ns,9628
duration,heavy contention,parking_lot::Mutex,,,11375300.0,ns,9960
duration,heavy contention,parking_lot::Mutex,,,11313000.0,ns,10292
duration,heavy contention,parking_lot::Mutex,,,10782000.0,ns,10624
duration,heavy contention,parking_lot::Mutex,,,16259500.0,ns,10956
duration,heavy contention,parking_lot::Mutex,,,11535600.0,ns,11288
duration,heavy contention,parking_lot::Mutex,,,11460900.0,ns,11620
duration,heavy contention,parking_lot::Mutex,,,12356900.0,ns,11952
duration,heavy contention,parking_lot::Mutex,,,12904700.0,ns,12284
duration,heavy contention,parking_lot::Mutex,,,14033800.0,ns,12616
duration,heavy contention,parking_lot::Mutex,,,17392300.0,ns,12948
duration,heavy contention,parking_lot::Mutex,,,13509800.0,ns,13280
duration,heavy contention,parking_lot::Mutex,,,13089200.0,ns,13612
duration,heavy contention,parking_lot::Mutex,,,20249900.0,ns,13944
duration,heavy contention,parking_lot::Mutex,,,14009500.0,ns,14276
duration,heavy contention,parking_lot::Mutex,,,17462800.0,ns,14608
