group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
duration,heavy contention,std::sync::Mutex,,,652800.0,ns,299
duration,heavy contention,std::sync::Mutex,,,1010500.0,ns,598
duration,heavy contention,std::sync::Mutex,,,2081000.0,ns,897
duration,heavy contention,std::sync::Mutex,,,1865200.0,ns,1196
duration,heavy contention,std::sync::Mutex,,,2813500.0,ns,1495
duration,heavy contention,std::sync::Mutex,,,2643300.0,ns,1794
duration,heavy contention,std::sync::Mutex,,,3039400.0,ns,2093
duration,heavy contention,std::sync::Mutex,,,3646800.0,ns,2392
duration,heavy contention,std::sync::Mutex,,,3653900.0,ns,2691
duration,heavy contention,std::sync::Mutex,,,4607600.0,ns,2990
duration,heavy contention,std::sync::Mutex,,,4984100.0,ns,3289
duration,heavy contention,std::sync::Mutex,,,4939500.0,ns,3588
duration,heavy contention,std::sync::Mutex,,,5209600.0,ns,3887
duration,heavy contention,std::sync::Mutex,,,5844900.0,ns,4186
duration,heavy contention,std::sync::Mutex,,,6168200.0,ns,4485
duration,heavy contention,std::sync::Mutex,,,7084000.0,ns,4784
duration,heavy contention,std::sync::Mutex,,,6790400.0,ns,5083
duration,heavy contention,std::sync::Mutex,,,7152700.0,ns,5382
duration,heavy contention,std::sync::Mutex,,,7830900.0,ns,5681
duration,heavy contention,std::sync::Mutex,,,8032800.0,ns,5980
duration,heavy contention,std::sync::Mutex,,,9573000.0,ns,6279
duration,heavy contention,std::sync::Mutex,,,9767700.0,ns,6578
duration,heavy contention,std::sync::Mutex,,,9317000.0,ns,6877
duration,heavy contention,std::sync::Mutex,,,9572300.0,ns,7176
duration,heavy contention,std::sync::Mutex,,,10078600.0,ns,7475
duration,heavy contention,std::sync::Mutex,,,11192300.0,ns,7774
duration,heavy contention,std::sync::Mutex,,,12061500.0,ns,8073
duration,heavy contention,std::sync::Mutex,,,11484800.0,ns,8372
duration,heavy contention,std::sync::Mutex,,,12028500.0,ns,8671
duration,heavy contention,std::sync::Mutex,,,12663300.0,ns,8970
duration,heavy contention,std::sync::Mutex,,,13548800.0,ns,9269
duration,heavy contention,std::sync::Mutex,,,12538400.0,ns,9568
duration,heavy contention,std::sync::Mutex,,,13248900.0,ns,9867
duration,heavy contention,std::sync::Mutex,,,19343100.0,ns,10166
duration,heavy contention,std::sync::Mutex,,,15516300.0,ns,10465
duration,heavy contention,std::sync::Mutex,,,15536900.0,ns,10764
duration,heavy contention,std::sync::Mutex,,,16299300.0,ns,11063
duration,heavy contention,std::sync::Mutex,,,15156900.0,ns,11362
duration,heavy contention,std::sync::Mutex,,,16491900.0,ns,11661
duration,heavy contention,std::sync::Mutex,,,19149400.0,ns,11960
duration,heavy contention,std::sync::Mutex,,,17567000.0,ns,12259
