group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
duration,light contention,parking_lot::Mutex,,,850800.0,ns,553
duration,light contention,parking_lot::Mutex,,,1225600.0,ns,1106
duration,light contention,parking_lot::Mutex,,,1461600.0,ns,1659
duration,light contention,parking_lot::Mutex,,,1842600.0,ns,2212
duration,light contention,parking_lot::Mutex,,,2618900.0,ns,2765
duration,light contention,parking_lot::Mutex,,,2848300.0,ns,3318
duration,light contention,parking_lot::Mutex,,,3222600.0,ns,3871
duration,light contention,parking_lot::Mutex,,,4797100.0,ns,4424
duration,light contention,parking_lot::Mutex,,,4017100.0,ns,4977
duration,light contention,parking_lot::Mutex,,,4466100.0,ns,5530
duration,light contention,parking_lot::Mutex,,,4918400.0,ns,6083
duration,light contention,parking_lot::Mutex,,,5967900.0,ns,6636
duration,light contention,parking_lot::Mutex,,,6195500.0,ns,7189
duration,light contention,parking_lot::Mutex,,,7311000.0,ns,7742
duration,light contention,parking_lot::Mutex,,,6984700.0,ns,8295
duration,light contention,parking_lot::Mutex,,,7397900.0,ns,8848
duration,light contention,parking_lot::Mutex,,,9394100.0,ns,9401
duration,light contention,parking_lot::Mutex,,,8727500.0,ns,9954
duration,light contention,parking_lot::Mutex,,,8564300.0,ns,10507
duration,light contention,parking_lot::Mutex,,,8549900.0,ns,11060
duration,light contention,parking_lot::Mutex,,,9590800.0,ns,11613
duration,light contention,parking_lot::Mutex,,,9649500.0,ns,12166
duration,light contention,parking_lot::Mutex,,,10518900.0,ns,12719
duration,light contention,parking_lot::Mutex,,,10726900.0,ns,13272
duration,light contention,parking_lot::Mutex,,,11163900.0,ns,13825
duration,light contention,parking_lot::Mutex,,,12430400.0,ns,14378
duration,light contention,parking_lot::Mutex,,,11739500.0,ns,14931
duration,light contention,parking_lot::Mutex,,,12435600.0,ns,15484
duration,light contention,parking_lot::Mutex,,,13279300.0,ns,16037
duration,light contention,parking_lot::Mutex,,,13575400.0,ns,16590
duration,light contention,parking_lot::Mutex,,,14989000.0,ns,17143
duration,light contention,parking_lot::Mutex,,,15235000.0,ns,17696
duration,light contention,parking_lot::Mutex,,,15319100.0,ns,18249
duration,light contention,parking_lot::Mutex,,,14463400.0,ns,18802
duration,light contention,parking_lot::Mutex,,,15142000.0,ns,19355
duration,light contention,parking_lot::Mutex,,,16116400.0,ns,19908
duration,light contention,parking_lot::Mutex,,,15919500.0,ns,20461
duration,light contention,parking_lot::Mutex,,,15915700.0,ns,21014
duration,light contention,parking_lot::Mutex,,,17325400.0,ns,21567
duration,light contention,parking_lot::Mutex,,,17369100.0,ns,22120
duration,light contention,parking_lot::Mutex,,,18673100.0,ns,22673
duration,light contention,parking_lot::Mutex,,,19181100.0,ns,23226
duration,light contention,parking_lot::Mutex,,,20364100.0,ns,23779
duration,light contention,parking_lot::Mutex,,,19533600.0,ns,24332
duration,light contention,parking_lot::Mutex,,,20154900.0,ns,24885
duration,light contention,parking_lot::Mutex,,,19833000.0,ns,25438
duration,light contention,parking_lot::Mutex,,,19736600.0,ns,25991
duration,light contention,parking_lot::Mutex,,,20697800.0,ns,26544
duration,light contention,parking_lot::Mutex,,,21577000.0,ns,27097
duration,light contention,parking_lot::Mutex,,,22224500.0,ns,27650
duration,light contention,parking_lot::Mutex,,,23418300.0,ns,28203
duration,light contention,parking_lot::Mutex,,,22208600.0,ns,28756
duration,light contention,parking_lot::Mutex,,,23968200.0,ns,29309
duration,light contention,parking_lot::Mutex,,,25261700.0,ns,29862
duration,light contention,parking_lot::Mutex,,,23210100.0,ns,30415
duration,light contention,parking_lot::Mutex,,,23660700.0,ns,30968
duration,light contention,parking_lot::Mutex,,,24518100.0,ns,31521
duration,light contention,parking_lot::Mutex,,,24256800.0,ns,32074
duration,light contention,parking_lot::Mutex,,,27868200.0,ns,32627
duration,light contention,parking_lot::Mutex,,,26674800.0,ns,33180
duration,light contention,parking_lot::Mutex,,,26261000.0,ns,33733
duration,light contention,parking_lot::Mutex,,,26844100.0,ns,34286
duration,light contention,parking_lot::Mutex,,,27453400.0,ns,34839
duration,light contention,parking_lot::Mutex,,,28647800.0,ns,35392
duration,light contention,parking_lot::Mutex,,,27708600.0,ns,35945
duration,light contention,parking_lot::Mutex,,,27068100.0,ns,36498
duration,light contention,parking_lot::Mutex,,,28693200.0,ns,37051
duration,light contention,parking_lot::Mutex,,,30422300.0,ns,37604
duration,light contention,parking_lot::Mutex,,,31537200.0,ns,38157
duration,light contention,parking_lot::Mutex,,,29019400.0,ns,38710
duration,light contention,parking_lot::Mutex,,,30261200.0,ns,39263
duration,light contention,parking_lot::Mutex,,,33139100.0,ns,39816
duration,light contention,parking_lot::Mutex,,,30649200.0,ns,40369
duration,light contention,parking_lot::Mutex,,,33402000.0,ns,40922
duration,light contention,parking_lot::Mutex,,,31860500.0,ns,41475
duration,light contention,parking_lot::Mutex,,,31680700.0,ns,42028
duration,light contention,parking_lot::Mutex,,,34496100.0,ns,42581
duration,light contention,parking_lot::Mutex,,,35005200.0,ns,43134
duration,light contention,parking_lot::Mutex,,,32601400.0,ns,43687
duration,light contention,parking_lot::Mutex,,,33458300.0,ns,44240
duration,light contention,parking_lot::Mutex,,,35619200.0,ns,44793
duration,light contention,parking_lot::Mutex,,,34348300.0,ns,45346
duration,light contention,parking_lot::Mutex,,,35125200.0,ns,45899
duration,light contention,parking_lot::Mutex,,,34959100.0,ns,46452
duration,light contention,parking_lot::Mutex,,,36874400.0,ns,47005
duration,light contention,parking_lot::Mutex,,,36560900.0,ns,47558
duration,light contention,parking_lot::Mutex,,,36969800.0,ns,48111
