group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
duration,light contention,std::sync::Mutex,,,667500.0,ns,523
duration,light contention,std::sync::Mutex,,,991200.0,ns,1046
duration,light contention,std::sync::Mutex,,,1755600.0,ns,1569
duration,light contention,std::sync::Mutex,,,1933800.0,ns,2092
duration,light contention,std::sync::Mutex,,,2622900.0,ns,2615
duration,light contention,std::sync::Mutex,,,2704900.0,ns,3138
duration,light contention,std::sync::Mutex,,,3714700.0,ns,3661
duration,light contention,std::sync::Mutex,,,3946700.0,ns,4184
duration,light contention,std::sync::Mutex,,,4419700.0,ns,4707
duration,light contention,std::sync::Mutex,,,4897100.0,ns,5230
duration,light contention,std::sync::Mutex,,,5703000.0,ns,5753
duration,light contention,std::sync::Mutex,,,5863600.0,ns,6276
duration,light contention,std::sync::Mutex,,,7166300.0,ns,6799
duration,light contention,std::sync::Mutex,,,6865500.0,ns,7322
duration,light contention,std::sync::Mutex,,,6964900.0,ns,7845
duration,light contention,std::sync::Mutex,,,7697000.0,ns,8368
duration,light contention,std::sync::Mutex,,,8172700.0,ns,8891
duration,light contention,std::sync::Mutex,,,8580300.0,ns,9414
duration,light contention,std::sync::Mutex,,,9094700.0,ns,9937
duration,light contention,std::sync::Mutex,,,9867100.0,ns,10460
duration,light contention,std::sync::Mutex,,,10143500.0,ns,10983
duration,light contention,std::sync::Mutex,,,10764200.0,ns,11506
duration,light contention,std::sync::Mutex,,,10660900.0,ns,12029
duration,light contention,std::sync::Mutex,,,13167500.0,ns,12552
duration,light contention,std::sync::Mutex,,,12591500.0,ns,13075
duration,light contention,std::sync::Mutex,,,12540100.0,ns,13598
duration,light contention,std::sync::Mutex,,,14159800.0,ns,14121
duration,light contention,std::sync::Mutex,,,13099700.0,ns,14644
duration,light contention,std::sync::Mutex,,,14027400.0,ns,15167
duration,light contention,std::sync::Mutex,,,14796000.0,ns,15690
duration,light contention,std::sync::Mutex,,,14547500.0,ns,16213
duration,light contention,std::sync::Mutex,,,15146200.0,ns,16736
duration,light contention,std::sync::Mutex,,,18075500.0,ns,17259
duration,light contention,std::sync::Mutex,,,15786000.0,ns,17782
duration,light contention,std::sync::Mutex,,,16714400.0,ns,18305
duration,light contention,std::sync::Mutex,,,16972700.0,ns,18828
duration,light contention,std::sync::Mutex,,,17709300.0,ns,19351
duration,light contention,std::sync::Mutex,,,19322600.0,ns,19874
duration,light contention,std::sync::Mutex,,,20247100.0,ns,20397
duration,light contention,std::sync::Mutex,,,19354600.0,ns,20920
duration,light contention,std::sync::Mutex,,,19849800.0,ns,21443
duration,light contention,std::sync::Mutex,,,20113300.0,ns,21966
duration,light contention,std::sync::Mutex,,,20406700.0,ns,22489
duration,light contention,std::sync::Mutex,,,22689400.0,ns,23012
duration,light contention,std::sync::Mutex,,,20422000.0,ns,23535
duration,light contention,std::sync::Mutex,,,22054000.0,ns,24058
duration,light contention,std::sync::Mutex,,,22382200.0,ns,24581
duration,light contention,std::sync::Mutex,,,23562900.0,ns,25104
duration,light contention,std::sync::Mutex,,,22082600.0,ns,25627
duration,light contention,std::sync::Mutex,,,26475000.0,ns,26150
duration,light contention,std::sync::Mutex,,,23965400.0,ns,26673
duration,light contention,std::sync::Mutex,,,24710300.0,ns,27196
duration,light contention,std::sync::Mutex,,,25666400.0,ns,27719
duration,light contention,std::sync::Mutex,,,25261100.0,ns,28242
duration,light contention,std::sync::Mutex,,,27311600.0,ns,28765
duration,light contention,std::sync::Mutex,,,26786300.0,ns,29288
duration,light contention,std::sync::Mutex,,,27613400.0,ns,29811
duration,light contention,std::sync::Mutex,,,28822200.0,ns,30334
duration,light contention,std::sync::Mutex,,,28941700.0,ns,30857
duration,light contention,std::sync::Mutex,,,29971100.0,ns,31380
duration,light contention,std::sync::Mutex,,,28583300.0,ns,31903
duration,light contention,std::sync::Mutex,,,29339800.0,ns,32426
duration,light contention,std::sync::Mutex,,,29864900.0,ns,32949
duration,light contention,std::sync::Mutex,,,30175500.0,ns,33472
duration,light contention,std::sync::Mutex,,,31816300.0,ns,33995
duration,light contention,std::sync::Mutex,,,34390800.0,ns,34518
duration,light contention,std::sync::Mutex,,,35278000.0,ns,35041
duration,light contention,std::sync::Mutex,,,32302900.0,ns,35564
duration,light contention,std::sync::Mutex,,,31892000.0,ns,36087
duration,light contention,std::sync::Mutex,,,32801000.0,ns,36610
duration,light contention,std::sync::Mutex,,,32428900.0,ns,37133
duration,light contention,std::sync::Mutex,,,34871600.0,ns,37656
duration,light contention,std::sync::Mutex,,,36173800.0,ns,38179
duration,light contention,std::sync::Mutex,,,38842200.0,ns,38702
duration,light contention,std::sync::Mutex,,,35248400.0,ns,39225
duration,light contention,std::sync::Mutex,,,34976100.0,ns,39748
duration,light contention,std::sync::Mutex,,,38239200.0,ns,40271
duration,light contention,std::sync::Mutex,,,35142000.0,ns,40794
duration,light contention,std::sync::Mutex,,,38165300.0,ns,41317
duration,light contention,std::sync::Mutex,,,37473100.0,ns,41840
duration,light contention,std::sync::Mutex,,,37822400.0,ns,42363
duration,light contention,std::sync::Mutex,,,37998900.0,ns,42886
duration,light contention,std::sync::Mutex,,,39721800.0,ns,43409
duration,light contention,std::sync::Mutex,,,38901800.0,ns,43932
duration,light contention,std::sync::Mutex,,,40119800.0,ns,44455
duration,light contention,std::sync::Mutex,,,40528400.0,ns,44978
duration,light contention,std::sync::Mutex,,,39356600.0,ns,45501
duration,light contention,std::sync::Mutex,,,42280600.0,ns,46024
duration,light contention,std::sync::Mutex,,,42260500.0,ns,46547
duration,light contention,std::sync::Mutex,,,43733100.0,ns,47070
duration,light contention,std::sync::Mutex,,,42674900.0,ns,47593
