group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
duration,no contention,parking_lot::Mutex,,,796900.0,ns,1
duration,no contention,parking_lot::Mutex,,,216400.0,ns,2
duration,no contention,parking_lot::Mutex,,,247400.0,ns,3
duration,no contention,parking_lot::Mutex,,,239900.0,ns,4
duration,no contention,parking_lot::Mutex,,,371400.0,ns,5
duration,no contention,parking_lot::Mutex,,,166600.0,ns,6
duration,no contention,parking_lot::Mutex,,,242000.0,ns,7
duration,no contention,parking_lot::Mutex,,,324600.0,ns,8
duration,no contention,parking_lot::Mutex,,,424300.0,ns,9
duration,no contention,parking_lot::Mutex,,,291700.0,ns,10
duration,no contention,parking_lot::Mutex,,,271600.0,ns,11
duration,no contention,parking_lot::Mutex,,,240700.0,ns,12
duration,no contention,parking_lot::Mutex,,,343200.0,ns,13
duration,no contention,parking_lot::Mutex,,,236600.0,ns,14
duration,no contention,parking_lot::Mutex,,,292400.0,ns,15
duration,no contention,parking_lot::Mutex,,,328100.0,ns,16
duration,no contention,parking_lot::Mutex,,,256700.0,ns,17
duration,no contention,parking_lot::Mutex,,,273100.0,ns,18
duration,no contention,parking_lot::Mutex,,,296800.0,ns,19
duration,no contention,parking_lot::Mutex,,,337400.0,ns,20
duration,no contention,parking_lot::Mutex,,,288000.0,ns,21
duration,no contention,parking_lot::Mutex,,,213600.0,ns,22
duration,no contention,parking_lot::Mutex,,,251100.0,ns,23
duration,no contention,parking_lot::Mutex,,,274700.0,ns,24
duration,no contention,parking_lot::Mutex,,,298500.0,ns,25
duration,no contention,parking_lot::Mutex,,,239800.0,ns,26
duration,no contention,parking_lot::Mutex,,,264100.0,ns,27
duration,no contention,parking_lot::Mutex,,,341100.0,ns,28
duration,no contention,parking_lot::Mutex,,,375500.0,ns,29
duration,no contention,parking_lot::Mutex,,,206000.0,ns,30
duration,no contention,parking_lot::Mutex,,,333000.0,ns,31
duration,no contention,parking_lot::Mutex,,,282700.0,ns,32
duration,no contention,parking_lot::Mutex,,,190900.0,ns,33
duration,no contention,parking_lot::Mutex,,,183000.0,ns,34
duration,no contention,parking_lot::Mutex,,,230800.0,ns,35
duration,no contention,parking_lot::Mutex,,,310400.0,ns,36
duration,no contention,parking_lot::Mutex,,,266200.0,ns,37
duration,no contention,parking_lot::Mutex,,,221200.0,ns,38
duration,no contention,parking_lot::Mutex,,,271000.0,ns,39
duration,no contention,parking_lot::Mutex,,,155300.0,ns,40
duration,no contention,parking_lot::Mutex,,,273300.0,ns,41
duration,no contention,parking_lot::Mutex,,,306700.0,ns,42
duration,no contention,parking_lot::Mutex,,,298200.0,ns,43
duration,no contention,parking_lot::Mutex,,,306200.0,ns,44
duration,no contention,parking_lot::Mutex,,,195600.0,ns,45
duration,no contention,parking_lot::Mutex,,,325300.0,ns,46
duration,no contention,parking_lot::Mutex,,,233000.0,ns,47
duration,no contention,parking_lot::Mutex,,,195000.0,ns,48
duration,no contention,parking_lot::Mutex,,,175000.0,ns,49
duration,no contention,parking_lot::Mutex,,,192300.0,ns,50
duration,no contention,parking_lot::Mutex,,,328600.0,ns,51
duration,no contention,parking_lot::Mutex,,,242100.0,ns,52
duration,no contention,parking_lot::Mutex,,,327600.0,ns,53
duration,no contention,parking_lot::Mutex,,,364300.0,ns,54
duration,no contention,parking_lot::Mutex,,,217800.0,ns,55
duration,no contention,parking_lot::Mutex,,,202700.0,ns,56
duration,no contention,parking_lot::Mutex,,,341700.0,ns,57
duration,no contention,parking_lot::Mutex,,,241200.0,ns,58
duration,no contention,parking_lot::Mutex,,,320800.0,ns,59
duration,no contention,parking_lot::Mutex,,,243900.0,ns,60
duration,no contention,parking_lot::Mutex,,,219300.0,ns,61
duration,no contention,parking_lot::Mutex,,,216800.0,ns,62
duration,no contention,parking_lot::Mutex,,,225600.0,ns,63
duration,no contention,parking_lot::Mutex,,,263800.0,ns,64
duration,no contention,parking_lot::Mutex,,,208600.0,ns,65
duration,no contention,parking_lot::Mutex,,,225700.0,ns,66
