group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
duration,no contention,spin::Mutex,,,265400.0,ns,1
duration,no contention,spin::Mutex,,,144600.0,ns,2
duration,no contention,spin::Mutex,,,315700.0,ns,3
duration,no contention,spin::Mutex,,,158000.0,ns,4
duration,no contention,spin::Mutex,,,273400.0,ns,5
duration,no contention,spin::Mutex,,,323700.0,ns,6
duration,no contention,spin::Mutex,,,337200.0,ns,7
duration,no contention,spin::Mutex,,,383400.0,ns,8
duration,no contention,spin::Mutex,,,300400.0,ns,9
duration,no contention,spin::Mutex,,,278000.0,ns,10
duration,no contention,spin::Mutex,,,285300.0,ns,11
duration,no contention,spin::Mutex,,,178100.0,ns,12
duration,no contention,spin::Mutex,,,359600.0,ns,13
duration,no contention,spin::Mutex,,,249600.0,ns,14
duration,no contention,spin::Mutex,,,328200.0,ns,15
duration,no contention,spin::Mutex,,,291300.0,ns,16
duration,no contention,spin::Mutex,,,242000.0,ns,17
duration,no contention,spin::Mutex,,,478200.0,ns,18
duration,no contention,spin::Mutex,,,315500.0,ns,19
duration,no contention,spin::Mutex,,,254300.0,ns,20
duration,no contention,spin::Mutex,,,287300.0,ns,21
duration,no contention,spin::Mutex,,,342100.0,ns,22
duration,no contention,spin::Mutex,,,293800.0,ns,23
duration,no contention,spin::Mutex,,,296200.0,ns,24
duration,no contention,spin::Mutex,,,463700.0,ns,25
duration,no contention,spin::Mutex,,,383500.0,ns,26
duration,no contention,spin::Mutex,,,179800.0,ns,27
duration,no contention,spin::Mutex,,,228600.0,ns,28
duration,no contention,spin::Mutex,,,166500.0,ns,29
duration,no contention,spin::Mutex,,,202500.0,ns,30
duration,no contention,spin::Mutex,,,220900.0,ns,31
duration,no contention,spin::Mutex,,,253800.0,ns,32
duration,no contention,spin::Mutex,,,215400.0,ns,33
duration,no contention,spin::Mutex,,,287700.0,ns,34
duration,no contention,spin::Mutex,,,223200.0,ns,35
duration,no contention,spin::Mutex,,,253900.0,ns,36
duration,no contention,spin::Mutex,,,328600.0,ns,37
duration,no contention,spin::Mutex,,,195900.0,ns,38
duration,no contention,spin::Mutex,,,199400.0,ns,39
duration,no contention,spin::Mutex,,,284800.0,ns,40
duration,no contention,spin::Mutex,,,303300.0,ns,41
duration,no contention,spin::Mutex,,,306600.0,ns,42
duration,no contention,spin::Mutex,,,301600.0,ns,43
duration,no contention,spin::Mutex,,,299500.0,ns,44
duration,no contention,spin::Mutex,,,249100.0,ns,45
duration,no contention,spin::Mutex,,,315500.0,ns,46
duration,no contention,spin::Mutex,,,332800.0,ns,47
duration,no contention,spin::Mutex,,,253500.0,ns,48
duration,no contention,spin::Mutex,,,353200.0,ns,49
duration,no contention,spin::Mutex,,,259000.0,ns,50
duration,no contention,spin::Mutex,,,212800.0,ns,51
duration,no contention,spin::Mutex,,,330300.0,ns,52
duration,no contention,spin::Mutex,,,223800.0,ns,53
duration,no contention,spin::Mutex,,,347200.0,ns,54
duration,no contention,spin::Mutex,,,315200.0,ns,55
duration,no contention,spin::Mutex,,,282000.0,ns,56
duration,no contention,spin::Mutex,,,247600.0,ns,57
duration,no contention,spin::Mutex,,,235200.0,ns,58
duration,no contention,spin::Mutex,,,235700.0,ns,59
duration,no contention,spin::Mutex,,,388500.0,ns,60
duration,no contention,spin::Mutex,,,244600.0,ns,61
duration,no contention,spin::Mutex,,,227200.0,ns,62
duration,no contention,spin::Mutex,,,274300.0,ns,63
duration,no contention,spin::Mutex,,,365400.0,ns,64
duration,no contention,spin::Mutex,,,299700.0,ns,65
duration,no contention,spin::Mutex,,,323800.0,ns,66
duration,no contention,spin::Mutex,,,230400.0,ns,67
duration,no contention,spin::Mutex,,,311900.0,ns,68
duration,no contention,spin::Mutex,,,282000.0,ns,69
duration,no contention,spin::Mutex,,,271400.0,ns,70
duration,no contention,spin::Mutex,,,227000.0,ns,71
duration,no contention,spin::Mutex,,,379400.0,ns,72
duration,no contention,spin::Mutex,,,259600.0,ns,73
duration,no contention,spin::Mutex,,,288800.0,ns,74
duration,no contention,spin::Mutex,,,379900.0,ns,75
duration,no contention,spin::Mutex,,,214300.0,ns,76
duration,no contention,spin::Mutex,,,266100.0,ns,77
duration,no contention,spin::Mutex,,,342100.0,ns,78
duration,no contention,spin::Mutex,,,273700.0,ns,79
duration,no contention,spin::Mutex,,,254700.0,ns,80
duration,no contention,spin::Mutex,,,347200.0,ns,81
duration,no contention,spin::Mutex,,,374900.0,ns,82
duration,no contention,spin::Mutex,,,245800.0,ns,83
duration,no contention,spin::Mutex,,,356300.0,ns,84
duration,no contention,spin::Mutex,,,349700.0,ns,85
duration,no contention,spin::Mutex,,,379700.0,ns,86
duration,no contention,spin::Mutex,,,247500.0,ns,87
duration,no contention,spin::Mutex,,,329700.0,ns,88
duration,no contention,spin::Mutex,,,496200.0,ns,89
duration,no contention,spin::Mutex,,,333000.0,ns,90
duration,no contention,spin::Mutex,,,326300.0,ns,91
duration,no contention,spin::Mutex,,,441000.0,ns,92
duration,no contention,spin::Mutex,,,402600.0,ns,93
duration,no contention,spin::Mutex,,,428100.0,ns,94
duration,no contention,spin::Mutex,,,279400.0,ns,95
duration,no contention,spin::Mutex,,,329300.0,ns,96
duration,no contention,spin::Mutex,,,300500.0,ns,97
duration,no contention,spin::Mutex,,,381900.0,ns,98
duration,no contention,spin::Mutex,,,311100.0,ns,99
duration,no contention,spin::Mutex,,,290800.0,ns,100
