group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
duration,no contention,std::sync::Mutex,,,306200.0,ns,1
duration,no contention,std::sync::Mutex,,,248600.0,ns,2
duration,no contention,std::sync::Mutex,,,271300.0,ns,3
duration,no contention,std::sync::Mutex,,,296800.0,ns,4
duration,no contention,std::sync::Mutex,,,131400.0,ns,5
duration,no contention,std::sync::Mutex,,,129800.0,ns,6
duration,no contention,std::sync::Mutex,,,264000.0,ns,7
duration,no contention,std::sync::Mutex,,,280200.0,ns,8
duration,no contention,std::sync::Mutex,,,344300.0,ns,9
duration,no contention,std::sync::Mutex,,,194900.0,ns,10
duration,no contention,std::sync::Mutex,,,308800.0,ns,11
duration,no contention,std::sync::Mutex,,,328500.0,ns,12
duration,no contention,std::sync::Mutex,,,295900.0,ns,13
duration,no contention,std::sync::Mutex,,,413200.0,ns,14
duration,no contention,std::sync::Mutex,,,332000.0,ns,15
duration,no contention,std::sync::Mutex,,,284700.0,ns,16
duration,no contention,std::sync::Mutex,,,369900.0,ns,17
duration,no contention,std::sync::Mutex,,,286100.0,ns,18
duration,no contention,std::sync::Mutex,,,308700.0,ns,19
duration,no contention,std::sync::Mutex,,,269100.0,ns,20
duration,no contention,std::sync::Mutex,,,307000.0,ns,21
duration,no contention,std::sync::Mutex,,,225400.0,ns,22
duration,no contention,std::sync::Mutex,,,135100.0,ns,23
duration,no contention,std::sync::Mutex,,,181400.0,ns,24
duration,no contention,std::sync::Mutex,,,276200.0,ns,25
duration,no contention,std::sync::Mutex,,,293500.0,ns,26
duration,no contention,std::sync::Mutex,,,165800.0,ns,27
duration,no contention,std::sync::Mutex,,,192500.0,ns,28
duration,no contention,std::sync::Mutex,,,287300.0,ns,29
duration,no contention,std::sync::Mutex,,,165400.0,ns,30
duration,no contention,std::sync::Mutex,,,200000.0,ns,31
duration,no contention,std::sync::Mutex,,,285500.0,ns,32
duration,no contention,std::sync::Mutex,,,196000.0,ns,33
duration,no contention,std::sync::Mutex,,,366900.0,ns,34
duration,no contention,std::sync::Mutex,,,352400.0,ns,35
duration,no contention,std::sync::Mutex,,,167400.0,ns,36
duration,no contention,std::sync::Mutex,,,368600.0,ns,37
duration,no contention,std::sync::Mutex,,,284400.0,ns,38
duration,no contention,std::sync::Mutex,,,578900.0,ns,39
duration,no contention,std::sync::Mutex,,,221800.0,ns,40
duration,no contention,std::sync::Mutex,,,431700.0,ns,41
duration,no contention,std::sync::Mutex,,,350100.0,ns,42
duration,no contention,std::sync::Mutex,,,217700.0,ns,43
duration,no contention,std::sync::Mutex,,,236700.0,ns,44
duration,no contention,std::sync::Mutex,,,225400.0,ns,45
duration,no contention,std::sync::Mutex,,,180700.0,ns,46
duration,no contention,std::sync::Mutex,,,195200.0,ns,47
duration,no contention,std::sync::Mutex,,,474400.0,ns,48
duration,no contention,std::sync::Mutex,,,374200.0,ns,49
duration,no contention,std::sync::Mutex,,,194400.0,ns,50
duration,no contention,std::sync::Mutex,,,166400.0,ns,51
duration,no contention,std::sync::Mutex,,,305800.0,ns,52
duration,no contention,std::sync::Mutex,,,214200.0,ns,53
duration,no contention,std::sync::Mutex,,,368300.0,ns,54
duration,no contention,std::sync::Mutex,,,301200.0,ns,55
duration,no contention,std::sync::Mutex,,,243200.0,ns,56
duration,no contention,std::sync::Mutex,,,369600.0,ns,57
