group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
kernel,extreme contention,AmdSpinlock,,,1.0,ns,31
kernel,extreme contention,AmdSpinlock,,,1.0,ns,62
kernel,extreme contention,AmdSpinlock,,,1.0,ns,93
kernel,extreme contention,AmdSpinlock,,,1.0,ns,124
kernel,extreme contention,AmdSpinlock,,,1.0,ns,155
kernel,extreme contention,AmdSpinlock,,,1.0,ns,186
kernel,extreme contention,AmdSpinlock,,,1.0,ns,217
kernel,extreme contention,AmdSpinlock,,,1.0,ns,248
kernel,extreme contention,AmdSpinlock,,,1.0,ns,279
kernel,extreme contention,AmdSpinlock,,,1.0,ns,310
kernel,extreme contention,AmdSpinlock,,,1.0,ns,341
kernel,extreme contention,AmdSpinlock,,,1.0,ns,372
kernel,extreme contention,AmdSpinlock,,,15625000.0,ns,403
kernel,extreme contention,AmdSpinlock,,,1.0,ns,434
kernel,extreme contention,AmdSpinlock,,,1.0,ns,465
kernel,extreme contention,AmdSpinlock,,,15625000.0,ns,496
kernel,extreme contention,AmdSpinlock,,,1.0,ns,527
kernel,extreme contention,AmdSpinlock,,,1.0,ns,558
kernel,extreme contention,AmdSpinlock,,,1.0,ns,589
kernel,extreme contention,AmdSpinlock,,,1.0,ns,620
kernel,extreme contention,AmdSpinlock,,,1.0,ns,651
kernel,extreme contention,AmdSpinlock,,,1.0,ns,682
kernel,extreme contention,AmdSpinlock,,,1.0,ns,713
kernel,extreme contention,AmdSpinlock,,,1.0,ns,744
kernel,extreme contention,AmdSpinlock,,,1.0,ns,775
kernel,extreme contention,AmdSpinlock,,,1.0,ns,806
kernel,extreme contention,AmdSpinlock,,,1.0,ns,837
kernel,extreme contention,AmdSpinlock,,,1.0,ns,868
kernel,extreme contention,AmdSpinlock,,,1.0,ns,899
kernel,extreme contention,AmdSpinlock,,,1.0,ns,930
kernel,extreme contention,AmdSpinlock,,,1.0,ns,961
kernel,extreme contention,AmdSpinlock,,,1.0,ns,992
kernel,extreme contention,AmdSpinlock,,,1.0,ns,1023
kernel,extreme contention,AmdSpinlock,,,1.0,ns,1054
