group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
kernel,extreme contention,std::sync::Mutex,,,1.0,ns,64
kernel,extreme contention,std::sync::Mutex,,,1.0,ns,128
kernel,extreme contention,std::sync::Mutex,,,1.0,ns,192
kernel,extreme contention,std::sync::Mutex,,,1.0,ns,256
kernel,extreme contention,std::sync::Mutex,,,1.0,ns,320
kernel,extreme contention,std::sync::Mutex,,,1.0,ns,384
kernel,extreme contention,std::sync::Mutex,,,1.0,ns,448
kernel,extreme contention,std::sync::Mutex,,,1.0,ns,512
kernel,extreme contention,std::sync::Mutex,,,1.0,ns,576
kernel,extreme contention,std::sync::Mutex,,,1.0,ns,640
kernel,extreme contention,std::sync::Mutex,,,1.0,ns,704
kernel,extreme contention,std::sync::Mutex,,,1.0,ns,768
kernel,extreme contention,std::sync::Mutex,,,1.0,ns,832
kernel,extreme contention,std::sync::Mutex,,,1.0,ns,896
kernel,extreme contention,std::sync::Mutex,,,1.0,ns,960
kernel,extreme contention,std::sync::Mutex,,,1.0,ns,1024
kernel,extreme contention,std::sync::Mutex,,,1.0,ns,1088
kernel,extreme contention,std::sync::Mutex,,,1.0,ns,1152
kernel,extreme contention,std::sync::Mutex,,,1.0,ns,1216
kernel,extreme contention,std::sync::Mutex,,,1.0,ns,1280
kernel,extreme contention,std::sync::Mutex,,,1.0,ns,1344
kernel,extreme contention,std::sync::Mutex,,,1.0,ns,1408
kernel,extreme contention,std::sync::Mutex,,,1.0,ns,1472
kernel,extreme contention,std::sync::Mutex,,,1.0,ns,1536
kernel,extreme contention,std::sync::Mutex,,,1.0,ns,1600
kernel,extreme contention,std::sync::Mutex,,,1.0,ns,1664
kernel,extreme contention,std::sync::Mutex,,,1.0,ns,1728
kernel,extreme contention,std::sync::Mutex,,,1.0,ns,1792
kernel,extreme contention,std::sync::Mutex,,,1.0,ns,1856
kernel,extreme contention,std::sync::Mutex,,,1.0,ns,1920
kernel,extreme contention,std::sync::Mutex,,,1.0,ns,1984
kernel,extreme contention,std::sync::Mutex,,,1.0,ns,2048
kernel,extreme contention,std::sync::Mutex,,,1.0,ns,2112
kernel,extreme contention,std::sync::Mutex,,,1.0,ns,2176
kernel,extreme contention,std::sync::Mutex,,,1.0,ns,2240
kernel,extreme contention,std::sync::Mutex,,,1.0,ns,2304
kernel,extreme contention,std::sync::Mutex,,,1.0,ns,2368
kernel,extreme contention,std::sync::Mutex,,,1.0,ns,2432
kernel,extreme contention,std::sync::Mutex,,,15625000.0,ns,2496
kernel,extreme contention,std::sync::Mutex,,,1.0,ns,2560
kernel,extreme contention,std::sync::Mutex,,,1.0,ns,2624
