group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
kernel,heavy contention,AmdSpinlock,,,1.0,ns,170
kernel,heavy contention,AmdSpinlock,,,1.0,ns,340
kernel,heavy contention,AmdSpinlock,,,1.0,ns,510
kernel,heavy contention,AmdSpinlock,,,1.0,ns,680
kernel,heavy contention,AmdSpinlock,,,1.0,ns,850
kernel,heavy contention,AmdSpinlock,,,1.0,ns,1020
kernel,heavy contention,AmdSpinlock,,,1.0,ns,1190
kernel,heavy contention,AmdSpinlock,,,1.0,ns,1360
kernel,heavy contention,AmdSpinlock,,,1.0,ns,1530
kernel,heavy contention,AmdSpinlock,,,15625000.0,ns,1700
kernel,heavy contention,AmdSpinlock,,,1.0,ns,1870
kernel,heavy contention,AmdSpinlock,,,1.0,ns,2040
kernel,heavy contention,AmdSpinlock,,,1.0,ns,2210
kernel,heavy contention,AmdSpinlock,,,1.0,ns,2380
kernel,heavy contention,AmdSpinlock,,,1.0,ns,2550
kernel,heavy contention,AmdSpinlock,,,1.0,ns,2720
kernel,heavy contention,AmdSpinlock,,,1.0,ns,2890
kernel,heavy contention,AmdSpinlock,,,1.0,ns,3060
kernel,heavy contention,AmdSpinlock,,,1.0,ns,3230
kernel,heavy contention,AmdSpinlock,,,1.0,ns,3400
kernel,heavy contention,AmdSpinlock,,,1.0,ns,3570
kernel,heavy contention,AmdSpinlock,,,1.0,ns,3740
kernel,heavy contention,AmdSpinlock,,,1.0,ns,3910
kernel,heavy contention,AmdSpinlock,,,1.0,ns,4080
kernel,heavy contention,AmdSpinlock,,,1.0,ns,4250
kernel,heavy contention,AmdSpinlock,,,1.0,ns,4420
kernel,heavy contention,AmdSpinlock,,,1.0,ns,4590
kernel,heavy contention,AmdSpinlock,,,1.0,ns,4760
kernel,heavy contention,AmdSpinlock,,,1.0,ns,4930
kernel,heavy contention,AmdSpinlock,,,1.0,ns,5100
kernel,heavy contention,AmdSpinlock,,,1.0,ns,5270
kernel,heavy contention,AmdSpinlock,,,1.0,ns,5440
kernel,heavy contention,AmdSpinlock,,,1.0,ns,5610
kernel,heavy contention,AmdSpinlock,,,1.0,ns,5780
kernel,heavy contention,AmdSpinlock,,,1.0,ns,5950
kernel,heavy contention,AmdSpinlock,,,1.0,ns,6120
kernel,heavy contention,AmdSpinlock,,,1.0,ns,6290
kernel,heavy contention,AmdSpinlock,,,1.0,ns,6460
kernel,heavy contention,AmdSpinlock,,,1.0,ns,6630
kernel,heavy contention,AmdSpinlock,,,1.0,ns,6800
kernel,heavy contention,AmdSpinlock,,,1.0,ns,6970
kernel,heavy contention,AmdSpinlock,,,1.0,ns,7140
kernel,heavy contention,AmdSpinlock,,,1.0,ns,7310
kernel,heavy contention,AmdSpinlock,,,1.0,ns,7480
kernel,heavy contention,AmdSpinlock,,,15625000.0,ns,7650
kernel,heavy contention,AmdSpinlock,,,1.0,ns,7820
kernel,heavy contention,AmdSpinlock,,,1.0,ns,7990
kernel,heavy contention,AmdSpinlock,,,1.0,ns,8160
kernel,heavy contention,AmdSpinlock,,,1.0,ns,8330
kernel,heavy contention,AmdSpinlock,,,1.0,ns,8500
kernel,heavy contention,AmdSpinlock,,,1.0,ns,8670
kernel,heavy contention,AmdSpinlock,,,1.0,ns,8840
kernel,heavy contention,AmdSpinlock,,,1.0,ns,9010
kernel,heavy contention,AmdSpinlock,,,1.0,ns,9180
kernel,heavy contention,AmdSpinlock,,,1.0,ns,9350
kernel,heavy contention,AmdSpinlock,,,1.0,ns,9520
kernel,heavy contention,AmdSpinlock,,,1.0,ns,9690
kernel,heavy contention,AmdSpinlock,,,1.0,ns,9860
kernel,heavy contention,AmdSpinlock,,,1.0,ns,10030
kernel,heavy contention,AmdSpinlock,,,1.0,ns,10200
kernel,heavy contention,AmdSpinlock,,,1.0,ns,10370
kernel,heavy contention,AmdSpinlock,,,1.0,ns,10540
kernel,heavy contention,AmdSpinlock,,,1.0,ns,10710
kernel,heavy contention,AmdSpinlock,,,1.0,ns,10880
kernel,heavy contention,AmdSpinlock,,,1.0,ns,11050
kernel,heavy contention,AmdSpinlock,,,1.0,ns,11220
kernel,heavy contention,AmdSpinlock,,,1.0,ns,11390
kernel,heavy contention,AmdSpinlock,,,1.0,ns,11560
kernel,heavy contention,AmdSpinlock,,,1.0,ns,11730
kernel,heavy contention,AmdSpinlock,,,1.0,ns,11900
kernel,heavy contention,AmdSpinlock,,,1.0,ns,12070
kernel,heavy contention,AmdSpinlock,,,1.0,ns,12240
kernel,heavy contention,AmdSpinlock,,,1.0,ns,12410
kernel,heavy contention,AmdSpinlock,,,1.0,ns,12580
kernel,heavy contention,AmdSpinlock,,,1.0,ns,12750
kernel,heavy contention,AmdSpinlock,,,1.0,ns,12920
kernel,heavy contention,AmdSpinlock,,,1.0,ns,13090
kernel,heavy contention,AmdSpinlock,,,1.0,ns,13260
kernel,heavy contention,AmdSpinlock,,,1.0,ns,13430
kernel,heavy contention,AmdSpinlock,,,1.0,ns,13600
kernel,heavy contention,AmdSpinlock,,,1.0,ns,13770
