group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
kernel,heavy contention,parking_lot::Mutex,,,1.0,ns,338
kernel,heavy contention,parking_lot::Mutex,,,1.0,ns,676
kernel,heavy contention,parking_lot::Mutex,,,1.0,ns,1014
kernel,heavy contention,parking_lot::Mutex,,,1.0,ns,1352
kernel,heavy contention,parking_lot::Mutex,,,1.0,ns,1690
kernel,heavy contention,parking_lot::Mutex,,,1.0,ns,2028
kernel,heavy contention,parking_lot::Mutex,,,1.0,ns,2366
kernel,heavy contention,parking_lot::Mutex,,,1.0,ns,2704
kernel,heavy contention,parking_lot::Mutex,,,1.0,ns,3042
kernel,heavy contention,parking_lot::Mutex,,,1.0,ns,3380
kernel,heavy contention,parking_lot::Mutex,,,1.0,ns,3718
kernel,heavy contention,parking_lot::Mutex,,,15625000.0,ns,4056
kernel,heavy contention,parking_lot::Mutex,,,31250000.0,ns,4394
kernel,heavy contention,parking_lot::Mutex,,,1.0,ns,4732
kernel,heavy contention,parking_lot::Mutex,,,1.0,ns,5070
kernel,heavy contention,parking_lot::Mutex,,,31250000.0,ns,5408
kernel,heavy contention,parking_lot::Mutex,,,1.0,ns,5746
kernel,heavy contention,parking_lot::Mutex,,,15625000.0,ns,6084
kernel,heavy contention,parking_lot::Mutex,,,1.0,ns,6422
kernel,heavy contention,parking_lot::Mutex,,,1.0,ns,6760
kernel,heavy contention,parking_lot::Mutex,,,1.0,ns,7098
kernel,heavy contention,parking_lot::Mutex,,,15625000.0,ns,7436
kernel,heavy contention,parking_lot::Mutex,,,1.0,ns,7774
kernel,heavy contention,parking_lot::Mutex,,,1.0,ns,8112
kernel,heavy contention,parking_lot::Mutex,,,1.0,ns,8450
kernel,heavy contention,parking_lot::Mutex,,,1.0,ns,8788
kernel,heavy contention,parking_lot::Mutex,,,1.0,ns,9126
kernel,heavy contention,parking_lot::Mutex,,,1.0,ns,9464
kernel,heavy contention,parking_lot::Mutex,,,1.0,ns,9802
kernel,heavy contention,parking_lot::Mutex,,,1.0,ns,10140
kernel,heavy contention,parking_lot::Mutex,,,1.0,ns,10478
kernel,heavy contention,parking_lot::Mutex,,,1.0,ns,10816
kernel,heavy contention,parking_lot::Mutex,,,1.0,ns,11154
kernel,heavy contention,parking_lot::Mutex,,,1.0,ns,11492
kernel,heavy contention,parking_lot::Mutex,,,1.0,ns,11830
kernel,heavy contention,parking_lot::Mutex,,,1.0,ns,12168
kernel,heavy contention,parking_lot::Mutex,,,1.0,ns,12506
kernel,heavy contention,parking_lot::Mutex,,,31250000.0,ns,12844
kernel,heavy contention,parking_lot::Mutex,,,1.0,ns,13182
kernel,heavy contention,parking_lot::Mutex,,,1.0,ns,13520
kernel,heavy contention,parking_lot::Mutex,,,15625000.0,ns,13858
kernel,heavy contention,parking_lot::Mutex,,,15625000.0,ns,14196
kernel,heavy contention,parking_lot::Mutex,,,1.0,ns,14534
kernel,heavy contention,parking_lot::Mutex,,,1.0,ns,14872
kernel,heavy contention,parking_lot::Mutex,,,1.0,ns,15210
kernel,heavy contention,parking_lot::Mutex,,,1.0,ns,15548
kernel,heavy contention,parking_lot::Mutex,,,1.0,ns,15886
kernel,heavy contention,parking_lot::Mutex,,,1.0,ns,16224
kernel,heavy contention,parking_lot::Mutex,,,15625000.0,ns,16562
kernel,heavy contention,parking_lot::Mutex,,,1.0,ns,16900
kernel,heavy contention,parking_lot::Mutex,,,1.0,ns,17238
kernel,heavy contention,parking_lot::Mutex,,,1.0,ns,17576
kernel,heavy contention,parking_lot::Mutex,,,15625000.0,ns,17914
kernel,heavy contention,parking_lot::Mutex,,,15625000.0,ns,18252
kernel,heavy contention,parking_lot::Mutex,,,1.0,ns,18590
kernel,heavy contention,parking_lot::Mutex,,,1.0,ns,18928
kernel,heavy contention,parking_lot::Mutex,,,15625000.0,ns,19266
kernel,heavy contention,parking_lot::Mutex,,,15625000.0,ns,19604
kernel,heavy contention,parking_lot::Mutex,,,1.0,ns,19942
kernel,heavy contention,parking_lot::Mutex,,,1.0,ns,20280
kernel,heavy contention,parking_lot::Mutex,,,15625000.0,ns,20618
kernel,heavy contention,parking_lot::Mutex,,,1.0,ns,20956
kernel,heavy contention,parking_lot::Mutex,,,15625000.0,ns,21294
kernel,heavy contention,parking_lot::Mutex,,,1.0,ns,21632
kernel,heavy contention,parking_lot::Mutex,,,31250000.0,ns,21970
kernel,heavy contention,parking_lot::Mutex,,,15625000.0,ns,22308
kernel,heavy contention,parking_lot::Mutex,,,15625000.0,ns,22646
kernel,heavy contention,parking_lot::Mutex,,,1.0,ns,22984
kernel,heavy contention,parking_lot::Mutex,,,1.0,ns,23322
kernel,heavy contention,parking_lot::Mutex,,,1.0,ns,23660
kernel,heavy contention,parking_lot::Mutex,,,15625000.0,ns,23998
kernel,heavy contention,parking_lot::Mutex,,,1.0,ns,24336
kernel,heavy contention,parking_lot::Mutex,,,1.0,ns,24674
kernel,heavy contention,parking_lot::Mutex,,,1.0,ns,25012
kernel,heavy contention,parking_lot::Mutex,,,15625000.0,ns,25350
kernel,heavy contention,parking_lot::Mutex,,,1.0,ns,25688
kernel,heavy contention,parking_lot::Mutex,,,46875000.0,ns,26026
kernel,heavy contention,parking_lot::Mutex,,,31250000.0,ns,26364
kernel,heavy contention,parking_lot::Mutex,,,1.0,ns,26702
kernel,heavy contention,parking_lot::Mutex,,,1.0,ns,27040
kernel,heavy contention,parking_lot::Mutex,,,46875000.0,ns,27378
kernel,heavy contention,parking_lot::Mutex,,,1.0,ns,27716
kernel,heavy contention,parking_lot::Mutex,,,31250000.0,ns,28054
kernel,heavy contention,parking_lot::Mutex,,,1.0,ns,28392
kernel,heavy contention,parking_lot::Mutex,,,1.0,ns,28730
kernel,heavy contention,parking_lot::Mutex,,,46875000.0,ns,29068
kernel,heavy contention,parking_lot::Mutex,,,1.0,ns,29406
kernel,heavy contention,parking_lot::Mutex,,,1.0,ns,29744
kernel,heavy contention,parking_lot::Mutex,,,31250000.0,ns,30082
kernel,heavy contention,parking_lot::Mutex,,,46875000.0,ns,30420
kernel,heavy contention,parking_lot::Mutex,,,1.0,ns,30758
kernel,heavy contention,parking_lot::Mutex,,,1.0,ns,31096
kernel,heavy contention,parking_lot::Mutex,,,15625000.0,ns,31434
kernel,heavy contention,parking_lot::Mutex,,,31250000.0,ns,31772
kernel,heavy contention,parking_lot::Mutex,,,1.0,ns,32110
kernel,heavy contention,parking_lot::Mutex,,,31250000.0,ns,32448
kernel,heavy contention,parking_lot::Mutex,,,1.0,ns,32786
kernel,heavy contention,parking_lot::Mutex,,,1.0,ns,33124
kernel,heavy contention,parking_lot::Mutex,,,1.0,ns,33462
kernel,heavy contention,parking_lot::Mutex,,,1.0,ns,33800
