group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
kernel,heavy contention,spin::Mutex,,,1.0,ns,234
kernel,heavy contention,spin::Mutex,,,1.0,ns,468
kernel,heavy contention,spin::Mutex,,,1.0,ns,702
kernel,heavy contention,spin::Mutex,,,1.0,ns,936
kernel,heavy contention,spin::Mutex,,,1.0,ns,1170
kernel,heavy contention,spin::Mutex,,,1.0,ns,1404
kernel,heavy contention,spin::Mutex,,,1.0,ns,1638
kernel,heavy contention,spin::Mutex,,,1.0,ns,1872
kernel,heavy contention,spin::Mutex,,,1.0,ns,2106
kernel,heavy contention,spin::Mutex,,,1.0,ns,2340
kernel,heavy contention,spin::Mutex,,,1.0,ns,2574
kernel,heavy contention,spin::Mutex,,,1.0,ns,2808
kernel,heavy contention,spin::Mutex,,,1.0,ns,3042
kernel,heavy contention,spin::Mutex,,,1.0,ns,3276
kernel,heavy contention,spin::Mutex,,,1.0,ns,3510
kernel,heavy contention,spin::Mutex,,,1.0,ns,3744
kernel,heavy contention,spin::Mutex,,,1.0,ns,3978
kernel,heavy contention,spin::Mutex,,,1.0,ns,4212
kernel,heavy contention,spin::Mutex,,,1.0,ns,4446
kernel,heavy contention,spin::Mutex,,,1.0,ns,4680
kernel,heavy contention,spin::Mutex,,,1.0,ns,4914
kernel,heavy contention,spin::Mutex,,,1.0,ns,5148
kernel,heavy contention,spin::Mutex,,,1.0,ns,5382
kernel,heavy contention,spin::Mutex,,,1.0,ns,5616
kernel,heavy contention,spin::Mutex,,,1.0,ns,5850
kernel,heavy contention,spin::Mutex,,,1.0,ns,6084
kernel,heavy contention,spin::Mutex,,,1.0,ns,6318
kernel,heavy contention,spin::Mutex,,,1.0,ns,6552
kernel,heavy contention,spin::Mutex,,,1.0,ns,6786
kernel,heavy contention,spin::Mutex,,,1.0,ns,7020
kernel,heavy contention,spin::Mutex,,,1.0,ns,7254
kernel,heavy contention,spin::Mutex,,,1.0,ns,7488
kernel,heavy contention,spin::Mutex,,,1.0,ns,7722
kernel,heavy contention,spin::Mutex,,,1.0,ns,7956
kernel,heavy contention,spin::Mutex,,,1.0,ns,8190
kernel,heavy contention,spin::Mutex,,,1.0,ns,8424
kernel,heavy contention,spin::Mutex,,,1.0,ns,8658
kernel,heavy contention,spin::Mutex,,,1.0,ns,8892
kernel,heavy contention,spin::Mutex,,,1.0,ns,9126
kernel,heavy contention,spin::Mutex,,,1.0,ns,9360
kernel,heavy contention,spin::Mutex,,,1.0,ns,9594
kernel,heavy contention,spin::Mutex,,,1.0,ns,9828
kernel,heavy contention,spin::Mutex,,,1.0,ns,10062
kernel,heavy contention,spin::Mutex,,,1.0,ns,10296
kernel,heavy contention,spin::Mutex,,,1.0,ns,10530
kernel,heavy contention,spin::Mutex,,,1.0,ns,10764
kernel,heavy contention,spin::Mutex,,,1.0,ns,10998
kernel,heavy contention,spin::Mutex,,,1.0,ns,11232
kernel,heavy contention,spin::Mutex,,,1.0,ns,11466
kernel,heavy contention,spin::Mutex,,,1.0,ns,11700
kernel,heavy contention,spin::Mutex,,,1.0,ns,11934
kernel,heavy contention,spin::Mutex,,,1.0,ns,12168
kernel,heavy contention,spin::Mutex,,,1.0,ns,12402
