group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
kernel,heavy contention,std::sync::Mutex,,,1.0,ns,303
kernel,heavy contention,std::sync::Mutex,,,1.0,ns,606
kernel,heavy contention,std::sync::Mutex,,,1.0,ns,909
kernel,heavy contention,std::sync::Mutex,,,1.0,ns,1212
kernel,heavy contention,std::sync::Mutex,,,1.0,ns,1515
kernel,heavy contention,std::sync::Mutex,,,1.0,ns,1818
kernel,heavy contention,std::sync::Mutex,,,1.0,ns,2121
kernel,heavy contention,std::sync::Mutex,,,1.0,ns,2424
kernel,heavy contention,std::sync::Mutex,,,1.0,ns,2727
kernel,heavy contention,std::sync::Mutex,,,1.0,ns,3030
kernel,heavy contention,std::sync::Mutex,,,1.0,ns,3333
kernel,heavy contention,std::sync::Mutex,,,1.0,ns,3636
kernel,heavy contention,std::sync::Mutex,,,1.0,ns,3939
kernel,heavy contention,std::sync::Mutex,,,1.0,ns,4242
kernel,heavy contention,std::sync::Mutex,,,1.0,ns,4545
kernel,heavy contention,std::sync::Mutex,,,1.0,ns,4848
kernel,heavy contention,std::sync::Mutex,,,1.0,ns,5151
kernel,heavy contention,std::sync::Mutex,,,1.0,ns,5454
kernel,heavy contention,std::sync::Mutex,,,15625000.0,ns,5757
kernel,heavy contention,std::sync::Mutex,,,1.0,ns,6060
kernel,heavy contention,std::sync::Mutex,,,1.0,ns,6363
kernel,heavy contention,std::sync::Mutex,,,1.0,ns,6666
kernel,heavy contention,std::sync::Mutex,,,1.0,ns,6969
kernel,heavy contention,std::sync::Mutex,,,1.0,ns,7272
kernel,heavy contention,std::sync::Mutex,,,1.0,ns,7575
kernel,heavy contention,std::sync::Mutex,,,1.0,ns,7878
kernel,heavy contention,std::sync::Mutex,,,1.0,ns,8181
kernel,heavy contention,std::sync::Mutex,,,1.0,ns,8484
kernel,heavy contention,std::sync::Mutex,,,1.0,ns,8787
kernel,heavy contention,std::sync::Mutex,,,1.0,ns,9090
kernel,heavy contention,std::sync::Mutex,,,1.0,ns,9393
kernel,heavy contention,std::sync::Mutex,,,15625000.0,ns,9696
kernel,heavy contention,std::sync::Mutex,,,1.0,ns,9999
kernel,heavy contention,std::sync::Mutex,,,1.0,ns,10302
kernel,heavy contention,std::sync::Mutex,,,1.0,ns,10605
kernel,heavy contention,std::sync::Mutex,,,1.0,ns,10908
kernel,heavy contention,std::sync::Mutex,,,1.0,ns,11211
kernel,heavy contention,std::sync::Mutex,,,1.0,ns,11514
kernel,heavy contention,std::sync::Mutex,,,1.0,ns,11817
kernel,heavy contention,std::sync::Mutex,,,1.0,ns,12120
kernel,heavy contention,std::sync::Mutex,,,1.0,ns,12423
kernel,heavy contention,std::sync::Mutex,,,1.0,ns,12726
kernel,heavy contention,std::sync::Mutex,,,31250000.0,ns,13029
kernel,heavy contention,std::sync::Mutex,,,1.0,ns,13332
kernel,heavy contention,std::sync::Mutex,,,1.0,ns,13635
kernel,heavy contention,std::sync::Mutex,,,1.0,ns,13938
kernel,heavy contention,std::sync::Mutex,,,1.0,ns,14241
kernel,heavy contention,std::sync::Mutex,,,1.0,ns,14544
kernel,heavy contention,std::sync::Mutex,,,1.0,ns,14847
kernel,heavy contention,std::sync::Mutex,,,1.0,ns,15150
kernel,heavy contention,std::sync::Mutex,,,1.0,ns,15453
kernel,heavy contention,std::sync::Mutex,,,1.0,ns,15756
kernel,heavy contention,std::sync::Mutex,,,15625000.0,ns,16059
kernel,heavy contention,std::sync::Mutex,,,1.0,ns,16362
kernel,heavy contention,std::sync::Mutex,,,1.0,ns,16665
kernel,heavy contention,std::sync::Mutex,,,15625000.0,ns,16968
kernel,heavy contention,std::sync::Mutex,,,1.0,ns,17271
kernel,heavy contention,std::sync::Mutex,,,1.0,ns,17574
kernel,heavy contention,std::sync::Mutex,,,1.0,ns,17877
kernel,heavy contention,std::sync::Mutex,,,1.0,ns,18180
kernel,heavy contention,std::sync::Mutex,,,1.0,ns,18483
kernel,heavy contention,std::sync::Mutex,,,1.0,ns,18786
kernel,heavy contention,std::sync::Mutex,,,1.0,ns,19089
kernel,heavy contention,std::sync::Mutex,,,1.0,ns,19392
kernel,heavy contention,std::sync::Mutex,,,1.0,ns,19695
kernel,heavy contention,std::sync::Mutex,,,1.0,ns,19998
kernel,heavy contention,std::sync::Mutex,,,1.0,ns,20301
kernel,heavy contention,std::sync::Mutex,,,1.0,ns,20604
kernel,heavy contention,std::sync::Mutex,,,1.0,ns,20907
kernel,heavy contention,std::sync::Mutex,,,1.0,ns,21210
kernel,heavy contention,std::sync::Mutex,,,1.0,ns,21513
kernel,heavy contention,std::sync::Mutex,,,1.0,ns,21816
kernel,heavy contention,std::sync::Mutex,,,15625000.0,ns,22119
kernel,heavy contention,std::sync::Mutex,,,1.0,ns,22422
kernel,heavy contention,std::sync::Mutex,,,1.0,ns,22725
kernel,heavy contention,std::sync::Mutex,,,1.0,ns,23028
kernel,heavy contention,std::sync::Mutex,,,1.0,ns,23331
kernel,heavy contention,std::sync::Mutex,,,1.0,ns,23634
kernel,heavy contention,std::sync::Mutex,,,1.0,ns,23937
kernel,heavy contention,std::sync::Mutex,,,15625000.0,ns,24240
kernel,heavy contention,std::sync::Mutex,,,46875000.0,ns,24543
kernel,heavy contention,std::sync::Mutex,,,1.0,ns,24846
kernel,heavy contention,std::sync::Mutex,,,1.0,ns,25149
kernel,heavy contention,std::sync::Mutex,,,1.0,ns,25452
kernel,heavy contention,std::sync::Mutex,,,1.0,ns,25755
kernel,heavy contention,std::sync::Mutex,,,1.0,ns,26058
kernel,heavy contention,std::sync::Mutex,,,1.0,ns,26361
kernel,heavy contention,std::sync::Mutex,,,1.0,ns,26664
kernel,heavy contention,std::sync::Mutex,,,15625000.0,ns,26967
kernel,heavy contention,std::sync::Mutex,,,1.0,ns,27270
kernel,heavy contention,std::sync::Mutex,,,1.0,ns,27573
kernel,heavy contention,std::sync::Mutex,,,1.0,ns,27876
kernel,heavy contention,std::sync::Mutex,,,1.0,ns,28179
kernel,heavy contention,std::sync::Mutex,,,1.0,ns,28482
kernel,heavy contention,std::sync::Mutex,,,1.0,ns,28785
kernel,heavy contention,std::sync::Mutex,,,31250000.0,ns,29088
kernel,heavy contention,std::sync::Mutex,,,1.0,ns,29391
kernel,heavy contention,std::sync::Mutex,,,1.0,ns,29694
kernel,heavy contention,std::sync::Mutex,,,1.0,ns,29997
kernel,heavy contention,std::sync::Mutex,,,15625000.0,ns,30300
