group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
kernel,light contention,AmdSpinlock,,,1.0,ns,261
kernel,light contention,AmdSpinlock,,,1.0,ns,522
kernel,light contention,AmdSpinlock,,,1.0,ns,783
kernel,light contention,AmdSpinlock,,,15625000.0,ns,1044
kernel,light contention,AmdSpinlock,,,1.0,ns,1305
kernel,light contention,AmdSpinlock,,,1.0,ns,1566
kernel,light contention,AmdSpinlock,,,1.0,ns,1827
kernel,light contention,AmdSpinlock,,,1.0,ns,2088
kernel,light contention,AmdSpinlock,,,1.0,ns,2349
kernel,light contention,AmdSpinlock,,,1.0,ns,2610
kernel,light contention,AmdSpinlock,,,1.0,ns,2871
kernel,light contention,AmdSpinlock,,,1.0,ns,3132
kernel,light contention,AmdSpinlock,,,1.0,ns,3393
kernel,light contention,AmdSpinlock,,,1.0,ns,3654
kernel,light contention,AmdSpinlock,,,1.0,ns,3915
kernel,light contention,AmdSpinlock,,,1.0,ns,4176
kernel,light contention,AmdSpinlock,,,1.0,ns,4437
kernel,light contention,AmdSpinlock,,,1.0,ns,4698
kernel,light contention,AmdSpinlock,,,1.0,ns,4959
kernel,light contention,AmdSpinlock,,,1.0,ns,5220
kernel,light contention,AmdSpinlock,,,1.0,ns,5481
kernel,light contention,AmdSpinlock,,,1.0,ns,5742
kernel,light contention,AmdSpinlock,,,1.0,ns,6003
kernel,light contention,AmdSpinlock,,,1.0,ns,6264
kernel,light contention,AmdSpinlock,,,1.0,ns,6525
kernel,light contention,AmdSpinlock,,,1.0,ns,6786
kernel,light contention,AmdSpinlock,,,1.0,ns,7047
kernel,light contention,AmdSpinlock,,,1.0,ns,7308
kernel,light contention,AmdSpinlock,,,1.0,ns,7569
kernel,light contention,AmdSpinlock,,,1.0,ns,7830
kernel,light contention,AmdSpinlock,,,1.0,ns,8091
kernel,light contention,AmdSpinlock,,,1.0,ns,8352
kernel,light contention,AmdSpinlock,,,1.0,ns,8613
kernel,light contention,AmdSpinlock,,,1.0,ns,8874
kernel,light contention,AmdSpinlock,,,1.0,ns,9135
kernel,light contention,AmdSpinlock,,,1.0,ns,9396
kernel,light contention,AmdSpinlock,,,1.0,ns,9657
kernel,light contention,AmdSpinlock,,,1.0,ns,9918
kernel,light contention,AmdSpinlock,,,1.0,ns,10179
kernel,light contention,AmdSpinlock,,,1.0,ns,10440
kernel,light contention,AmdSpinlock,,,1.0,ns,10701
kernel,light contention,AmdSpinlock,,,1.0,ns,10962
kernel,light contention,AmdSpinlock,,,1.0,ns,11223
kernel,light contention,AmdSpinlock,,,1.0,ns,11484
kernel,light contention,AmdSpinlock,,,1.0,ns,11745
kernel,light contention,AmdSpinlock,,,1.0,ns,12006
kernel,light contention,AmdSpinlock,,,1.0,ns,12267
kernel,light contention,AmdSpinlock,,,1.0,ns,12528
kernel,light contention,AmdSpinlock,,,1.0,ns,12789
kernel,light contention,AmdSpinlock,,,1.0,ns,13050
kernel,light contention,AmdSpinlock,,,1.0,ns,13311
kernel,light contention,AmdSpinlock,,,1.0,ns,13572
kernel,light contention,AmdSpinlock,,,1.0,ns,13833
kernel,light contention,AmdSpinlock,,,1.0,ns,14094
kernel,light contention,AmdSpinlock,,,1.0,ns,14355
kernel,light contention,AmdSpinlock,,,1.0,ns,14616
kernel,light contention,AmdSpinlock,,,1.0,ns,14877
kernel,light contention,AmdSpinlock,,,1.0,ns,15138
kernel,light contention,AmdSpinlock,,,1.0,ns,15399
kernel,light contention,AmdSpinlock,,,1.0,ns,15660
kernel,light contention,AmdSpinlock,,,1.0,ns,15921
kernel,light contention,AmdSpinlock,,,1.0,ns,16182
kernel,light contention,AmdSpinlock,,,1.0,ns,16443
kernel,light contention,AmdSpinlock,,,1.0,ns,16704
kernel,light contention,AmdSpinlock,,,1.0,ns,16965
kernel,light contention,AmdSpinlock,,,1.0,ns,17226
