group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
kernel,light contention,parking_lot::Mutex,,,1.0,ns,544
kernel,light contention,parking_lot::Mutex,,,1.0,ns,1088
kernel,light contention,parking_lot::Mutex,,,1.0,ns,1632
kernel,light contention,parking_lot::Mutex,,,1.0,ns,2176
kernel,light contention,parking_lot::Mutex,,,1.0,ns,2720
kernel,light contention,parking_lot::Mutex,,,1.0,ns,3264
kernel,light contention,parking_lot::Mutex,,,1.0,ns,3808
kernel,light contention,parking_lot::Mutex,,,1.0,ns,4352
kernel,light contention,parking_lot::Mutex,,,1.0,ns,4896
kernel,light contention,parking_lot::Mutex,,,1.0,ns,5440
kernel,light contention,parking_lot::Mutex,,,1.0,ns,5984
kernel,light contention,parking_lot::Mutex,,,1.0,ns,6528
kernel,light contention,parking_lot::Mutex,,,1.0,ns,7072
kernel,light contention,parking_lot::Mutex,,,1.0,ns,7616
kernel,light contention,parking_lot::Mutex,,,1.0,ns,8160
kernel,light contention,parking_lot::Mutex,,,1.0,ns,8704
kernel,light contention,parking_lot::Mutex,,,1.0,ns,9248
kernel,light contention,parking_lot::Mutex,,,15625000.0,ns,9792
kernel,light contention,parking_lot::Mutex,,,1.0,ns,10336
kernel,light contention,parking_lot::Mutex,,,1.0,ns,10880
kernel,light contention,parking_lot::Mutex,,,1.0,ns,11424
kernel,light contention,parking_lot::Mutex,,,1.0,ns,11968
kernel,light contention,parking_lot::Mutex,,,1.0,ns,12512
kernel,light contention,parking_lot::Mutex,,,1.0,ns,13056
kernel,light contention,parking_lot::Mutex,,,1.0,ns,13600
kernel,light contention,parking_lot::Mutex,,,1.0,ns,14144
kernel,light contention,parking_lot::Mutex,,,1.0,ns,14688
kernel,light contention,parking_lot::Mutex,,,1.0,ns,15232
kernel,light contention,parking_lot::Mutex,,,1.0,ns,15776
kernel,light contention,parking_lot::Mutex,,,1.0,ns,16320
kernel,light contention,parking_lot::Mutex,,,1.0,ns,16864
kernel,light contention,parking_lot::Mutex,,,1.0,ns,17408
kernel,light contention,parking_lot::Mutex,,,1.0,ns,17952
kernel,light contention,parking_lot::Mutex,,,1.0,ns,18496
kernel,light contention,parking_lot::Mutex,,,1.0,ns,19040
kernel,light contention,parking_lot::Mutex,,,1.0,ns,19584
kernel,light contention,parking_lot::Mutex,,,1.0,ns,20128
kernel,light contention,parking_lot::Mutex,,,1.0,ns,20672
kernel,light contention,parking_lot::Mutex,,,1.0,ns,21216
kernel,light contention,parking_lot::Mutex,,,1.0,ns,21760
kernel,light contention,parking_lot::Mutex,,,1.0,ns,22304
kernel,light contention,parking_lot::Mutex,,,1.0,ns,22848
kernel,light contention,parking_lot::Mutex,,,1.0,ns,23392
kernel,light contention,parking_lot::Mutex,,,1.0,ns,23936
kernel,light contention,parking_lot::Mutex,,,15625000.0,ns,24480
kernel,light contention,parking_lot::Mutex,,,1.0,ns,25024
kernel,light contention,parking_lot::Mutex,,,1.0,ns,25568
kernel,light contention,parking_lot::Mutex,,,1.0,ns,26112
kernel,light contention,parking_lot::Mutex,,,15625000.0,ns,26656
kernel,light contention,parking_lot::Mutex,,,1.0,ns,27200
kernel,light contention,parking_lot::Mutex,,,1.0,ns,27744
kernel,light contention,parking_lot::Mutex,,,1.0,ns,28288
kernel,light contention,parking_lot::Mutex,,,1.0,ns,28832
kernel,light contention,parking_lot::Mutex,,,1.0,ns,29376
kernel,light contention,parking_lot::Mutex,,,1.0,ns,29920
kernel,light contention,parking_lot::Mutex,,,1.0,ns,30464
kernel,light contention,parking_lot::Mutex,,,1.0,ns,31008
kernel,light contention,parking_lot::Mutex,,,1.0,ns,31552
kernel,light contention,parking_lot::Mutex,,,1.0,ns,32096
kernel,light contention,parking_lot::Mutex,,,1.0,ns,32640
kernel,light contention,parking_lot::Mutex,,,1.0,ns,33184
kernel,light contention,parking_lot::Mutex,,,1.0,ns,33728
kernel,light contention,parking_lot::Mutex,,,1.0,ns,34272
kernel,light contention,parking_lot::Mutex,,,1.0,ns,34816
kernel,light contention,parking_lot::Mutex,,,1.0,ns,35360
kernel,light contention,parking_lot::Mutex,,,1.0,ns,35904
kernel,light contention,parking_lot::Mutex,,,15625000.0,ns,36448
kernel,light contention,parking_lot::Mutex,,,1.0,ns,36992
kernel,light contention,parking_lot::Mutex,,,1.0,ns,37536
kernel,light contention,parking_lot::Mutex,,,1.0,ns,38080
kernel,light contention,parking_lot::Mutex,,,1.0,ns,38624
kernel,light contention,parking_lot::Mutex,,,1.0,ns,39168
kernel,light contention,parking_lot::Mutex,,,1.0,ns,39712
kernel,light contention,parking_lot::Mutex,,,1.0,ns,40256
kernel,light contention,parking_lot::Mutex,,,15625000.0,ns,40800
kernel,light contention,parking_lot::Mutex,,,1.0,ns,41344
kernel,light contention,parking_lot::Mutex,,,1.0,ns,41888
