group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
kernel,light contention,std::sync::Mutex,,,1.0,ns,343
kernel,light contention,std::sync::Mutex,,,1.0,ns,686
kernel,light contention,std::sync::Mutex,,,1.0,ns,1029
kernel,light contention,std::sync::Mutex,,,1.0,ns,1372
kernel,light contention,std::sync::Mutex,,,1.0,ns,1715
kernel,light contention,std::sync::Mutex,,,1.0,ns,2058
kernel,light contention,std::sync::Mutex,,,1.0,ns,2401
kernel,light contention,std::sync::Mutex,,,1.0,ns,2744
kernel,light contention,std::sync::Mutex,,,1.0,ns,3087
kernel,light contention,std::sync::Mutex,,,1.0,ns,3430
kernel,light contention,std::sync::Mutex,,,1.0,ns,3773
kernel,light contention,std::sync::Mutex,,,1.0,ns,4116
kernel,light contention,std::sync::Mutex,,,1.0,ns,4459
kernel,light contention,std::sync::Mutex,,,1.0,ns,4802
kernel,light contention,std::sync::Mutex,,,1.0,ns,5145
kernel,light contention,std::sync::Mutex,,,1.0,ns,5488
kernel,light contention,std::sync::Mutex,,,1.0,ns,5831
kernel,light contention,std::sync::Mutex,,,1.0,ns,6174
kernel,light contention,std::sync::Mutex,,,1.0,ns,6517
kernel,light contention,std::sync::Mutex,,,1.0,ns,6860
kernel,light contention,std::sync::Mutex,,,1.0,ns,7203
kernel,light contention,std::sync::Mutex,,,1.0,ns,7546
kernel,light contention,std::sync::Mutex,,,1.0,ns,7889
kernel,light contention,std::sync::Mutex,,,1.0,ns,8232
kernel,light contention,std::sync::Mutex,,,1.0,ns,8575
kernel,light contention,std::sync::Mutex,,,1.0,ns,8918
kernel,light contention,std::sync::Mutex,,,1.0,ns,9261
kernel,light contention,std::sync::Mutex,,,1.0,ns,9604
kernel,light contention,std::sync::Mutex,,,1.0,ns,9947
kernel,light contention,std::sync::Mutex,,,1.0,ns,10290
kernel,light contention,std::sync::Mutex,,,1.0,ns,10633
kernel,light contention,std::sync::Mutex,,,1.0,ns,10976
kernel,light contention,std::sync::Mutex,,,1.0,ns,11319
kernel,light contention,std::sync::Mutex,,,1.0,ns,11662
kernel,light contention,std::sync::Mutex,,,1.0,ns,12005
kernel,light contention,std::sync::Mutex,,,15625000.0,ns,12348
kernel,light contention,std::sync::Mutex,,,1.0,ns,12691
kernel,light contention,std::sync::Mutex,,,1.0,ns,13034
kernel,light contention,std::sync::Mutex,,,1.0,ns,13377
kernel,light contention,std::sync::Mutex,,,1.0,ns,13720
kernel,light contention,std::sync::Mutex,,,1.0,ns,14063
kernel,light contention,std::sync::Mutex,,,1.0,ns,14406
kernel,light contention,std::sync::Mutex,,,1.0,ns,14749
kernel,light contention,std::sync::Mutex,,,1.0,ns,15092
kernel,light contention,std::sync::Mutex,,,1.0,ns,15435
kernel,light contention,std::sync::Mutex,,,1.0,ns,15778
kernel,light contention,std::sync::Mutex,,,15625000.0,ns,16121
kernel,light contention,std::sync::Mutex,,,1.0,ns,16464
kernel,light contention,std::sync::Mutex,,,1.0,ns,16807
kernel,light contention,std::sync::Mutex,,,1.0,ns,17150
kernel,light contention,std::sync::Mutex,,,1.0,ns,17493
kernel,light contention,std::sync::Mutex,,,1.0,ns,17836
kernel,light contention,std::sync::Mutex,,,1.0,ns,18179
kernel,light contention,std::sync::Mutex,,,1.0,ns,18522
kernel,light contention,std::sync::Mutex,,,1.0,ns,18865
kernel,light contention,std::sync::Mutex,,,1.0,ns,19208
kernel,light contention,std::sync::Mutex,,,1.0,ns,19551
kernel,light contention,std::sync::Mutex,,,1.0,ns,19894
kernel,light contention,std::sync::Mutex,,,1.0,ns,20237
kernel,light contention,std::sync::Mutex,,,1.0,ns,20580
kernel,light contention,std::sync::Mutex,,,1.0,ns,20923
kernel,light contention,std::sync::Mutex,,,1.0,ns,21266
kernel,light contention,std::sync::Mutex,,,1.0,ns,21609
kernel,light contention,std::sync::Mutex,,,1.0,ns,21952
kernel,light contention,std::sync::Mutex,,,1.0,ns,22295
kernel,light contention,std::sync::Mutex,,,1.0,ns,22638
kernel,light contention,std::sync::Mutex,,,1.0,ns,22981
kernel,light contention,std::sync::Mutex,,,1.0,ns,23324
kernel,light contention,std::sync::Mutex,,,1.0,ns,23667
kernel,light contention,std::sync::Mutex,,,1.0,ns,24010
kernel,light contention,std::sync::Mutex,,,1.0,ns,24353
kernel,light contention,std::sync::Mutex,,,1.0,ns,24696
kernel,light contention,std::sync::Mutex,,,1.0,ns,25039
kernel,light contention,std::sync::Mutex,,,1.0,ns,25382
kernel,light contention,std::sync::Mutex,,,1.0,ns,25725
kernel,light contention,std::sync::Mutex,,,1.0,ns,26068
kernel,light contention,std::sync::Mutex,,,1.0,ns,26411
kernel,light contention,std::sync::Mutex,,,1.0,ns,26754
kernel,light contention,std::sync::Mutex,,,1.0,ns,27097
kernel,light contention,std::sync::Mutex,,,1.0,ns,27440
kernel,light contention,std::sync::Mutex,,,1.0,ns,27783
kernel,light contention,std::sync::Mutex,,,1.0,ns,28126
kernel,light contention,std::sync::Mutex,,,1.0,ns,28469
kernel,light contention,std::sync::Mutex,,,1.0,ns,28812
kernel,light contention,std::sync::Mutex,,,1.0,ns,29155
kernel,light contention,std::sync::Mutex,,,1.0,ns,29498
kernel,light contention,std::sync::Mutex,,,1.0,ns,29841
kernel,light contention,std::sync::Mutex,,,1.0,ns,30184
kernel,light contention,std::sync::Mutex,,,1.0,ns,30527
kernel,light contention,std::sync::Mutex,,,1.0,ns,30870
kernel,light contention,std::sync::Mutex,,,31250000.0,ns,31213
kernel,light contention,std::sync::Mutex,,,1.0,ns,31556
kernel,light contention,std::sync::Mutex,,,1.0,ns,31899
kernel,light contention,std::sync::Mutex,,,1.0,ns,32242
kernel,light contention,std::sync::Mutex,,,1.0,ns,32585
kernel,light contention,std::sync::Mutex,,,15625000.0,ns,32928
kernel,light contention,std::sync::Mutex,,,1.0,ns,33271
kernel,light contention,std::sync::Mutex,,,1.0,ns,33614
kernel,light contention,std::sync::Mutex,,,1.0,ns,33957
kernel,light contention,std::sync::Mutex,,,1.0,ns,34300
