group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
kernel,no contention,std::sync::Mutex,,,1.0,ns,1
kernel,no contention,std::sync::Mutex,,,1.0,ns,2
kernel,no contention,std::sync::Mutex,,,1.0,ns,3
kernel,no contention,std::sync::Mutex,,,1.0,ns,4
kernel,no contention,std::sync::Mutex,,,1.0,ns,5
kernel,no contention,std::sync::Mutex,,,1.0,ns,6
kernel,no contention,std::sync::Mutex,,,1.0,ns,7
kernel,no contention,std::sync::Mutex,,,1.0,ns,8
kernel,no contention,std::sync::Mutex,,,1.0,ns,9
kernel,no contention,std::sync::Mutex,,,1.0,ns,10
kernel,no contention,std::sync::Mutex,,,1.0,ns,11
kernel,no contention,std::sync::Mutex,,,1.0,ns,12
kernel,no contention,std::sync::Mutex,,,1.0,ns,13
kernel,no contention,std::sync::Mutex,,,1.0,ns,14
kernel,no contention,std::sync::Mutex,,,1.0,ns,15
kernel,no contention,std::sync::Mutex,,,1.0,ns,16
kernel,no contention,std::sync::Mutex,,,1.0,ns,17
kernel,no contention,std::sync::Mutex,,,1.0,ns,18
kernel,no contention,std::sync::Mutex,,,1.0,ns,19
kernel,no contention,std::sync::Mutex,,,1.0,ns,20
kernel,no contention,std::sync::Mutex,,,1.0,ns,21
kernel,no contention,std::sync::Mutex,,,1.0,ns,22
kernel,no contention,std::sync::Mutex,,,1.0,ns,23
kernel,no contention,std::sync::Mutex,,,1.0,ns,24
kernel,no contention,std::sync::Mutex,,,1.0,ns,25
kernel,no contention,std::sync::Mutex,,,1.0,ns,26
kernel,no contention,std::sync::Mutex,,,1.0,ns,27
kernel,no contention,std::sync::Mutex,,,1.0,ns,28
kernel,no contention,std::sync::Mutex,,,1.0,ns,29
kernel,no contention,std::sync::Mutex,,,1.0,ns,30
kernel,no contention,std::sync::Mutex,,,1.0,ns,31
kernel,no contention,std::sync::Mutex,,,1.0,ns,32
kernel,no contention,std::sync::Mutex,,,1.0,ns,33
kernel,no contention,std::sync::Mutex,,,1.0,ns,34
kernel,no contention,std::sync::Mutex,,,1.0,ns,35
kernel,no contention,std::sync::Mutex,,,1.0,ns,36
kernel,no contention,std::sync::Mutex,,,1.0,ns,37
kernel,no contention,std::sync::Mutex,,,1.0,ns,38
kernel,no contention,std::sync::Mutex,,,1.0,ns,39
kernel,no contention,std::sync::Mutex,,,1.0,ns,40
kernel,no contention,std::sync::Mutex,,,1.0,ns,41
kernel,no contention,std::sync::Mutex,,,1.0,ns,42
kernel,no contention,std::sync::Mutex,,,1.0,ns,43
kernel,no contention,std::sync::Mutex,,,1.0,ns,44
kernel,no contention,std::sync::Mutex,,,1.0,ns,45
kernel,no contention,std::sync::Mutex,,,1.0,ns,46
