group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
user,extreme contention,AmdSpinlock,,,1.0,ns,30
user,extreme contention,AmdSpinlock,,,1.0,ns,60
user,extreme contention,AmdSpinlock,,,1.0,ns,90
user,extreme contention,AmdSpinlock,,,1.0,ns,120
user,extreme contention,AmdSpinlock,,,1.0,ns,150
user,extreme contention,AmdSpinlock,,,1.0,ns,180
user,extreme contention,AmdSpinlock,,,1.0,ns,210
user,extreme contention,AmdSpinlock,,,1.0,ns,240
user,extreme contention,AmdSpinlock,,,234375000.0,ns,270
user,extreme contention,AmdSpinlock,,,15625000.0,ns,300
user,extreme contention,AmdSpinlock,,,1.0,ns,330
user,extreme contention,AmdSpinlock,,,1.0,ns,360
user,extreme contention,AmdSpinlock,,,1.0,ns,390
user,extreme contention,AmdSpinlock,,,1.0,ns,420
user,extreme contention,AmdSpinlock,,,1.0,ns,450
user,extreme contention,AmdSpinlock,,,1.0,ns,480
user,extreme contention,AmdSpinlock,,,1.0,ns,510
user,extreme contention,AmdSpinlock,,,1.0,ns,540
user,extreme contention,AmdSpinlock,,,1.0,ns,570
user,extreme contention,AmdSpinlock,,,1.0,ns,600
user,extreme contention,AmdSpinlock,,,140625000.0,ns,630
user,extreme contention,AmdSpinlock,,,218750000.0,ns,660
user,extreme contention,AmdSpinlock,,,250000000.0,ns,690
user,extreme contention,AmdSpinlock,,,1.0,ns,720
user,extreme contention,AmdSpinlock,,,1.0,ns,750
user,extreme contention,AmdSpinlock,,,203125000.0,ns,780
user,extreme contention,AmdSpinlock,,,250000000.0,ns,810
user,extreme contention,AmdSpinlock,,,1.0,ns,840
user,extreme contention,AmdSpinlock,,,250000000.0,ns,870
user,extreme contention,AmdSpinlock,,,234375000.0,ns,900
user,extreme contention,AmdSpinlock,,,1.0,ns,930
user,extreme contention,AmdSpinlock,,,218750000.0,ns,960
user,extreme contention,AmdSpinlock,,,218750000.0,ns,990
user,extreme contention,AmdSpinlock,,,1.0,ns,1020
user,extreme contention,AmdSpinlock,,,218750000.0,ns,1050
user,extreme contention,AmdSpinlock,,,250000000.0,ns,1080
user,extreme contention,AmdSpinlock,,,234375000.0,ns,1110
user,extreme contention,AmdSpinlock,,,250000000.0,ns,1140
user,extreme contention,AmdSpinlock,,,234375000.0,ns,1170
user,extreme contention,AmdSpinlock,,,250000000.0,ns,1200
user,extreme contention,AmdSpinlock,,,203125000.0,ns,1230
user,extreme contention,AmdSpinlock,,,234375000.0,ns,1260
user,extreme contention,AmdSpinlock,,,234375000.0,ns,1290
user,extreme contention,AmdSpinlock,,,250000000.0,ns,1320
user,extreme contention,AmdSpinlock,,,234375000.0,ns,1350
user,extreme contention,AmdSpinlock,,,171875000.0,ns,1380
user,extreme contention,AmdSpinlock,,,234375000.0,ns,1410
user,extreme contention,AmdSpinlock,,,250000000.0,ns,1440
user,extreme contention,AmdSpinlock,,,234375000.0,ns,1470
user,extreme contention,AmdSpinlock,,,250000000.0,ns,1500
user,extreme contention,AmdSpinlock,,,453125000.0,ns,1530
user,extreme contention,AmdSpinlock,,,421875000.0,ns,1560
user,extreme contention,AmdSpinlock,,,234375000.0,ns,1590
user,extreme contention,AmdSpinlock,,,234375000.0,ns,1620
user,extreme contention,AmdSpinlock,,,218750000.0,ns,1650
user,extreme contention,AmdSpinlock,,,250000000.0,ns,1680
user,extreme contention,AmdSpinlock,,,234375000.0,ns,1710
user,extreme contention,AmdSpinlock,,,250000000.0,ns,1740
user,extreme contention,AmdSpinlock,,,218750000.0,ns,1770
user,extreme contention,AmdSpinlock,,,234375000.0,ns,1800
user,extreme contention,AmdSpinlock,,,437500000.0,ns,1830
user,extreme contention,AmdSpinlock,,,421875000.0,ns,1860
user,extreme contention,AmdSpinlock,,,437500000.0,ns,1890
user,extreme contention,AmdSpinlock,,,250000000.0,ns,1920
user,extreme contention,AmdSpinlock,,,312500000.0,ns,1950
user,extreme contention,AmdSpinlock,,,500000000.0,ns,1980
user,extreme contention,AmdSpinlock,,,281250000.0,ns,2010
user,extreme contention,AmdSpinlock,,,437500000.0,ns,2040
user,extreme contention,AmdSpinlock,,,453125000.0,ns,2070
user,extreme contention,AmdSpinlock,,,593750000.0,ns,2100
user,extreme contention,AmdSpinlock,,,453125000.0,ns,2130
user,extreme contention,AmdSpinlock,,,234375000.0,ns,2160
user,extreme contention,AmdSpinlock,,,406250000.0,ns,2190
user,extreme contention,AmdSpinlock,,,484375000.0,ns,2220
user,extreme contention,AmdSpinlock,,,218750000.0,ns,2250
user,extreme contention,AmdSpinlock,,,468750000.0,ns,2280
user,extreme contention,AmdSpinlock,,,656250000.0,ns,2310
user,extreme contention,AmdSpinlock,,,312500000.0,ns,2340
user,extreme contention,AmdSpinlock,,,468750000.0,ns,2370
user,extreme contention,AmdSpinlock,,,437500000.0,ns,2400
user,extreme contention,AmdSpinlock,,,500000000.0,ns,2430
user,extreme contention,AmdSpinlock,,,468750000.0,ns,2460
user,extreme contention,AmdSpinlock,,,484375000.0,ns,2490
user,extreme contention,AmdSpinlock,,,468750000.0,ns,2520
user,extreme contention,AmdSpinlock,,,656250000.0,ns,2550
user,extreme contention,AmdSpinlock,,,421875000.0,ns,2580
user,extreme contention,AmdSpinlock,,,656250000.0,ns,2610
user,extreme contention,AmdSpinlock,,,500000000.0,ns,2640
user,extreme contention,AmdSpinlock,,,406250000.0,ns,2670
user,extreme contention,AmdSpinlock,,,390625000.0,ns,2700
user,extreme contention,AmdSpinlock,,,687500000.0,ns,2730
user,extreme contention,AmdSpinlock,,,546875000.0,ns,2760
user,extreme contention,AmdSpinlock,,,468750000.0,ns,2790
user,extreme contention,AmdSpinlock,,,468750000.0,ns,2820
user,extreme contention,AmdSpinlock,,,531250000.0,ns,2850
user,extreme contention,AmdSpinlock,,,921875000.0,ns,2880
user,extreme contention,AmdSpinlock,,,703125000.0,ns,2910
user,extreme contention,AmdSpinlock,,,656250000.0,ns,2940
user,extreme contention,AmdSpinlock,,,484375000.0,ns,2970
user,extreme contention,AmdSpinlock,,,375000000.0,ns,3000
