group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
user,extreme contention,parking_lot::Mutex,,,1.0,ns,11
user,extreme contention,parking_lot::Mutex,,,1.0,ns,22
user,extreme contention,parking_lot::Mutex,,,31250000.0,ns,33
user,extreme contention,parking_lot::Mutex,,,1.0,ns,44
user,extreme contention,parking_lot::Mutex,,,1.0,ns,55
user,extreme contention,parking_lot::Mutex,,,1.0,ns,66
user,extreme contention,parking_lot::Mutex,,,1.0,ns,77
user,extreme contention,parking_lot::Mutex,,,140625000.0,ns,88
user,extreme contention,parking_lot::Mutex,,,78125000.0,ns,99
user,extreme contention,parking_lot::Mutex,,,1.0,ns,110
user,extreme contention,parking_lot::Mutex,,,1.0,ns,121
user,extreme contention,parking_lot::Mutex,,,140625000.0,ns,132
user,extreme contention,parking_lot::Mutex,,,140625000.0,ns,143
user,extreme contention,parking_lot::Mutex,,,140625000.0,ns,154
user,extreme contention,parking_lot::Mutex,,,93750000.0,ns,165
user,extreme contention,parking_lot::Mutex,,,46875000.0,ns,176
user,extreme contention,parking_lot::Mutex,,,1.0,ns,187
user,extreme contention,parking_lot::Mutex,,,1.0,ns,198
user,extreme contention,parking_lot::Mutex,,,31250000.0,ns,209
user,extreme contention,parking_lot::Mutex,,,46875000.0,ns,220
user,extreme contention,parking_lot::Mutex,,,93750000.0,ns,231
user,extreme contention,parking_lot::Mutex,,,93750000.0,ns,242
user,extreme contention,parking_lot::Mutex,,,125000000.0,ns,253
user,extreme contention,parking_lot::Mutex,,,1.0,ns,264
user,extreme contention,parking_lot::Mutex,,,187500000.0,ns,275
user,extreme contention,parking_lot::Mutex,,,1.0,ns,286
user,extreme contention,parking_lot::Mutex,,,93750000.0,ns,297
user,extreme contention,parking_lot::Mutex,,,93750000.0,ns,308
user,extreme contention,parking_lot::Mutex,,,171875000.0,ns,319
user,extreme contention,parking_lot::Mutex,,,140625000.0,ns,330
user,extreme contention,parking_lot::Mutex,,,93750000.0,ns,341
user,extreme contention,parking_lot::Mutex,,,109375000.0,ns,352
user,extreme contention,parking_lot::Mutex,,,46875000.0,ns,363
user,extreme contention,parking_lot::Mutex,,,125000000.0,ns,374
user,extreme contention,parking_lot::Mutex,,,156250000.0,ns,385
user,extreme contention,parking_lot::Mutex,,,46875000.0,ns,396
user,extreme contention,parking_lot::Mutex,,,31250000.0,ns,407
user,extreme contention,parking_lot::Mutex,,,140625000.0,ns,418
user,extreme contention,parking_lot::Mutex,,,140625000.0,ns,429
user,extreme contention,parking_lot::Mutex,,,171875000.0,ns,440
user,extreme contention,parking_lot::Mutex,,,15625000.0,ns,451
user,extreme contention,parking_lot::Mutex,,,62500000.0,ns,462
user,extreme contention,parking_lot::Mutex,,,187500000.0,ns,473
user,extreme contention,parking_lot::Mutex,,,93750000.0,ns,484
user,extreme contention,parking_lot::Mutex,,,171875000.0,ns,495
user,extreme contention,parking_lot::Mutex,,,265625000.0,ns,506
user,extreme contention,parking_lot::Mutex,,,93750000.0,ns,517
user,extreme contention,parking_lot::Mutex,,,171875000.0,ns,528
user,extreme contention,parking_lot::Mutex,,,171875000.0,ns,539
user,extreme contention,parking_lot::Mutex,,,31250000.0,ns,550
user,extreme contention,parking_lot::Mutex,,,125000000.0,ns,561
user,extreme contention,parking_lot::Mutex,,,203125000.0,ns,572
user,extreme contention,parking_lot::Mutex,,,62500000.0,ns,583
user,extreme contention,parking_lot::Mutex,,,46875000.0,ns,594
user,extreme contention,parking_lot::Mutex,,,78125000.0,ns,605
user,extreme contention,parking_lot::Mutex,,,171875000.0,ns,616
