group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
user,extreme contention,spin::Mutex,,,1.0,ns,29
user,extreme contention,spin::Mutex,,,1.0,ns,58
user,extreme contention,spin::Mutex,,,1.0,ns,87
user,extreme contention,spin::Mutex,,,1.0,ns,116
user,extreme contention,spin::Mutex,,,1.0,ns,145
user,extreme contention,spin::Mutex,,,1.0,ns,174
user,extreme contention,spin::Mutex,,,250000000.0,ns,203
user,extreme contention,spin::Mutex,,,1.0,ns,232
user,extreme contention,spin::Mutex,,,1.0,ns,261
user,extreme contention,spin::Mutex,,,1.0,ns,290
user,extreme contention,spin::Mutex,,,1.0,ns,319
user,extreme contention,spin::Mutex,,,1.0,ns,348
user,extreme contention,spin::Mutex,,,1.0,ns,377
user,extreme contention,spin::Mutex,,,1.0,ns,406
user,extreme contention,spin::Mutex,,,234375000.0,ns,435
user,extreme contention,spin::Mutex,,,250000000.0,ns,464
user,extreme contention,spin::Mutex,,,203125000.0,ns,493
user,extreme contention,spin::Mutex,,,203125000.0,ns,522
user,extreme contention,spin::Mutex,,,1.0,ns,551
user,extreme contention,spin::Mutex,,,1.0,ns,580
user,extreme contention,spin::Mutex,,,1.0,ns,609
user,extreme contention,spin::Mutex,,,1.0,ns,638
user,extreme contention,spin::Mutex,,,1.0,ns,667
user,extreme contention,spin::Mutex,,,218750000.0,ns,696
user,extreme contention,spin::Mutex,,,234375000.0,ns,725
user,extreme contention,spin::Mutex,,,203125000.0,ns,754
user,extreme contention,spin::Mutex,,,1.0,ns,783
user,extreme contention,spin::Mutex,,,234375000.0,ns,812
user,extreme contention,spin::Mutex,,,250000000.0,ns,841
user,extreme contention,spin::Mutex,,,1.0,ns,870
user,extreme contention,spin::Mutex,,,218750000.0,ns,899
user,extreme contention,spin::Mutex,,,250000000.0,ns,928
user,extreme contention,spin::Mutex,,,78125000.0,ns,957
user,extreme contention,spin::Mutex,,,250000000.0,ns,986
user,extreme contention,spin::Mutex,,,1.0,ns,1015
user,extreme contention,spin::Mutex,,,218750000.0,ns,1044
user,extreme contention,spin::Mutex,,,250000000.0,ns,1073
user,extreme contention,spin::Mutex,,,234375000.0,ns,1102
user,extreme contention,spin::Mutex,,,1.0,ns,1131
user,extreme contention,spin::Mutex,,,203125000.0,ns,1160
user,extreme contention,spin::Mutex,,,156250000.0,ns,1189
user,extreme contention,spin::Mutex,,,250000000.0,ns,1218
user,extreme contention,spin::Mutex,,,171875000.0,ns,1247
user,extreme contention,spin::Mutex,,,234375000.0,ns,1276
user,extreme contention,spin::Mutex,,,250000000.0,ns,1305
user,extreme contention,spin::Mutex,,,250000000.0,ns,1334
