group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
user,extreme contention,std::sync::Mutex,,,1.0,ns,64
user,extreme contention,std::sync::Mutex,,,1.0,ns,128
user,extreme contention,std::sync::Mutex,,,1.0,ns,192
user,extreme contention,std::sync::Mutex,,,218750000.0,ns,256
user,extreme contention,std::sync::Mutex,,,1.0,ns,320
user,extreme contention,std::sync::Mutex,,,1.0,ns,384
user,extreme contention,std::sync::Mutex,,,1.0,ns,448
user,extreme contention,std::sync::Mutex,,,1.0,ns,512
user,extreme contention,std::sync::Mutex,,,1.0,ns,576
user,extreme contention,std::sync::Mutex,,,1.0,ns,640
user,extreme contention,std::sync::Mutex,,,1.0,ns,704
user,extreme contention,std::sync::Mutex,,,1.0,ns,768
user,extreme contention,std::sync::Mutex,,,1.0,ns,832
user,extreme contention,std::sync::Mutex,,,1.0,ns,896
user,extreme contention,std::sync::Mutex,,,1.0,ns,960
user,extreme contention,std::sync::Mutex,,,1.0,ns,1024
user,extreme contention,std::sync::Mutex,,,234375000.0,ns,1088
user,extreme contention,std::sync::Mutex,,,234375000.0,ns,1152
user,extreme contention,std::sync::Mutex,,,1.0,ns,1216
user,extreme contention,std::sync::Mutex,,,1.0,ns,1280
user,extreme contention,std::sync::Mutex,,,234375000.0,ns,1344
user,extreme contention,std::sync::Mutex,,,218750000.0,ns,1408
user,extreme contention,std::sync::Mutex,,,187500000.0,ns,1472
user,extreme contention,std::sync::Mutex,,,250000000.0,ns,1536
user,extreme contention,std::sync::Mutex,,,203125000.0,ns,1600
user,extreme contention,std::sync::Mutex,,,250000000.0,ns,1664
user,extreme contention,std::sync::Mutex,,,234375000.0,ns,1728
user,extreme contention,std::sync::Mutex,,,250000000.0,ns,1792
user,extreme contention,std::sync::Mutex,,,203125000.0,ns,1856
user,extreme contention,std::sync::Mutex,,,250000000.0,ns,1920
user,extreme contention,std::sync::Mutex,,,234375000.0,ns,1984
user,extreme contention,std::sync::Mutex,,,250000000.0,ns,2048
user,extreme contention,std::sync::Mutex,,,250000000.0,ns,2112
user,extreme contention,std::sync::Mutex,,,218750000.0,ns,2176
user,extreme contention,std::sync::Mutex,,,234375000.0,ns,2240
user,extreme contention,std::sync::Mutex,,,171875000.0,ns,2304
user,extreme contention,std::sync::Mutex,,,250000000.0,ns,2368
