group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
user,heavy contention,AmdSpinlock,,,1.0,ns,246
user,heavy contention,AmdSpinlock,,,1.0,ns,492
user,heavy contention,AmdSpinlock,,,1.0,ns,738
user,heavy contention,AmdSpinlock,,,1.0,ns,984
user,heavy contention,AmdSpinlock,,,1.0,ns,1230
user,heavy contention,AmdSpinlock,,,1.0,ns,1476
user,heavy contention,AmdSpinlock,,,1.0,ns,1722
user,heavy contention,AmdSpinlock,,,187500000.0,ns,1968
user,heavy contention,AmdSpinlock,,,1.0,ns,2214
user,heavy contention,AmdSpinlock,,,1.0,ns,2460
user,heavy contention,AmdSpinlock,,,1.0,ns,2706
user,heavy contention,AmdSpinlock,,,187500000.0,ns,2952
user,heavy contention,AmdSpinlock,,,1.0,ns,3198
user,heavy contention,AmdSpinlock,,,1.0,ns,3444
user,heavy contention,AmdSpinlock,,,1.0,ns,3690
user,heavy contention,AmdSpinlock,,,1.0,ns,3936
user,heavy contention,AmdSpinlock,,,1.0,ns,4182
user,heavy contention,AmdSpinlock,,,250000000.0,ns,4428
user,heavy contention,AmdSpinlock,,,1.0,ns,4674
user,heavy contention,AmdSpinlock,,,1.0,ns,4920
user,heavy contention,AmdSpinlock,,,1.0,ns,5166
user,heavy contention,AmdSpinlock,,,1.0,ns,5412
user,heavy contention,AmdSpinlock,,,1.0,ns,5658
user,heavy contention,AmdSpinlock,,,1.0,ns,5904
user,heavy contention,AmdSpinlock,,,1.0,ns,6150
user,heavy contention,AmdSpinlock,,,1.0,ns,6396
user,heavy contention,AmdSpinlock,,,1.0,ns,6642
user,heavy contention,AmdSpinlock,,,1.0,ns,6888
user,heavy contention,AmdSpinlock,,,1.0,ns,7134
user,heavy contention,AmdSpinlock,,,1.0,ns,7380
user,heavy contention,AmdSpinlock,,,31250000.0,ns,7626
user,heavy contention,AmdSpinlock,,,250000000.0,ns,7872
user,heavy contention,AmdSpinlock,,,234375000.0,ns,8118
user,heavy contention,AmdSpinlock,,,250000000.0,ns,8364
user,heavy contention,AmdSpinlock,,,1.0,ns,8610
user,heavy contention,AmdSpinlock,,,1.0,ns,8856
user,heavy contention,AmdSpinlock,,,1.0,ns,9102
user,heavy contention,AmdSpinlock,,,234375000.0,ns,9348
user,heavy contention,AmdSpinlock,,,250000000.0,ns,9594
user,heavy contention,AmdSpinlock,,,234375000.0,ns,9840
user,heavy contention,AmdSpinlock,,,1.0,ns,10086
user,heavy contention,AmdSpinlock,,,1.0,ns,10332
user,heavy contention,AmdSpinlock,,,250000000.0,ns,10578
user,heavy contention,AmdSpinlock,,,234375000.0,ns,10824
user,heavy contention,AmdSpinlock,,,1.0,ns,11070
user,heavy contention,AmdSpinlock,,,62500000.0,ns,11316
user,heavy contention,AmdSpinlock,,,234375000.0,ns,11562
user,heavy contention,AmdSpinlock,,,250000000.0,ns,11808
user,heavy contention,AmdSpinlock,,,1.0,ns,12054
user,heavy contention,AmdSpinlock,,,250000000.0,ns,12300
user,heavy contention,AmdSpinlock,,,234375000.0,ns,12546
user,heavy contention,AmdSpinlock,,,250000000.0,ns,12792
user,heavy contention,AmdSpinlock,,,234375000.0,ns,13038
user,heavy contention,AmdSpinlock,,,15625000.0,ns,13284
user,heavy contention,AmdSpinlock,,,250000000.0,ns,13530
user,heavy contention,AmdSpinlock,,,1.0,ns,13776
user,heavy contention,AmdSpinlock,,,218750000.0,ns,14022
user,heavy contention,AmdSpinlock,,,31250000.0,ns,14268
user,heavy contention,AmdSpinlock,,,234375000.0,ns,14514
user,heavy contention,AmdSpinlock,,,125000000.0,ns,14760
user,heavy contention,AmdSpinlock,,,250000000.0,ns,15006
user,heavy contention,AmdSpinlock,,,250000000.0,ns,15252
user,heavy contention,AmdSpinlock,,,234375000.0,ns,15498
user,heavy contention,AmdSpinlock,,,250000000.0,ns,15744
user,heavy contention,AmdSpinlock,,,250000000.0,ns,15990
user,heavy contention,AmdSpinlock,,,250000000.0,ns,16236
user,heavy contention,AmdSpinlock,,,250000000.0,ns,16482
user,heavy contention,AmdSpinlock,,,234375000.0,ns,16728
user,heavy contention,AmdSpinlock,,,15625000.0,ns,16974
user,heavy contention,AmdSpinlock,,,250000000.0,ns,17220
user,heavy contention,AmdSpinlock,,,250000000.0,ns,17466
user,heavy contention,AmdSpinlock,,,62500000.0,ns,17712
user,heavy contention,AmdSpinlock,,,250000000.0,ns,17958
user,heavy contention,AmdSpinlock,,,234375000.0,ns,18204
user,heavy contention,AmdSpinlock,,,46875000.0,ns,18450
user,heavy contention,AmdSpinlock,,,250000000.0,ns,18696
user,heavy contention,AmdSpinlock,,,250000000.0,ns,18942
user,heavy contention,AmdSpinlock,,,234375000.0,ns,19188
user,heavy contention,AmdSpinlock,,,234375000.0,ns,19434
user,heavy contention,AmdSpinlock,,,203125000.0,ns,19680
user,heavy contention,AmdSpinlock,,,250000000.0,ns,19926
user,heavy contention,AmdSpinlock,,,234375000.0,ns,20172
user,heavy contention,AmdSpinlock,,,265625000.0,ns,20418
user,heavy contention,AmdSpinlock,,,265625000.0,ns,20664
user,heavy contention,AmdSpinlock,,,265625000.0,ns,20910
user,heavy contention,AmdSpinlock,,,250000000.0,ns,21156
user,heavy contention,AmdSpinlock,,,281250000.0,ns,21402
user,heavy contention,AmdSpinlock,,,296875000.0,ns,21648
user,heavy contention,AmdSpinlock,,,468750000.0,ns,21894
user,heavy contention,AmdSpinlock,,,406250000.0,ns,22140
user,heavy contention,AmdSpinlock,,,265625000.0,ns,22386
user,heavy contention,AmdSpinlock,,,250000000.0,ns,22632
user,heavy contention,AmdSpinlock,,,265625000.0,ns,22878
user,heavy contention,AmdSpinlock,,,250000000.0,ns,23124
user,heavy contention,AmdSpinlock,,,265625000.0,ns,23370
user,heavy contention,AmdSpinlock,,,437500000.0,ns,23616
user,heavy contention,AmdSpinlock,,,250000000.0,ns,23862
user,heavy contention,AmdSpinlock,,,218750000.0,ns,24108
user,heavy contention,AmdSpinlock,,,250000000.0,ns,24354
user,heavy contention,AmdSpinlock,,,203125000.0,ns,24600
