group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
user,heavy contention,spin::Mutex,,,1.0,ns,171
user,heavy contention,spin::Mutex,,,1.0,ns,342
user,heavy contention,spin::Mutex,,,1.0,ns,513
user,heavy contention,spin::Mutex,,,1.0,ns,684
user,heavy contention,spin::Mutex,,,1.0,ns,855
user,heavy contention,spin::Mutex,,,1.0,ns,1026
user,heavy contention,spin::Mutex,,,1.0,ns,1197
user,heavy contention,spin::Mutex,,,1.0,ns,1368
user,heavy contention,spin::Mutex,,,1.0,ns,1539
user,heavy contention,spin::Mutex,,,1.0,ns,1710
user,heavy contention,spin::Mutex,,,1.0,ns,1881
user,heavy contention,spin::Mutex,,,1.0,ns,2052
user,heavy contention,spin::Mutex,,,1.0,ns,2223
user,heavy contention,spin::Mutex,,,1.0,ns,2394
user,heavy contention,spin::Mutex,,,1.0,ns,2565
user,heavy contention,spin::Mutex,,,1.0,ns,2736
user,heavy contention,spin::Mutex,,,1.0,ns,2907
user,heavy contention,spin::Mutex,,,1.0,ns,3078
user,heavy contention,spin::Mutex,,,250000000.0,ns,3249
user,heavy contention,spin::Mutex,,,46875000.0,ns,3420
user,heavy contention,spin::Mutex,,,1.0,ns,3591
user,heavy contention,spin::Mutex,,,1.0,ns,3762
user,heavy contention,spin::Mutex,,,1.0,ns,3933
user,heavy contention,spin::Mutex,,,1.0,ns,4104
user,heavy contention,spin::Mutex,,,1.0,ns,4275
user,heavy contention,spin::Mutex,,,250000000.0,ns,4446
user,heavy contention,spin::Mutex,,,1.0,ns,4617
user,heavy contention,spin::Mutex,,,1.0,ns,4788
user,heavy contention,spin::Mutex,,,1.0,ns,4959
user,heavy contention,spin::Mutex,,,1.0,ns,5130
user,heavy contention,spin::Mutex,,,1.0,ns,5301
user,heavy contention,spin::Mutex,,,1.0,ns,5472
user,heavy contention,spin::Mutex,,,1.0,ns,5643
user,heavy contention,spin::Mutex,,,1.0,ns,5814
user,heavy contention,spin::Mutex,,,1.0,ns,5985
user,heavy contention,spin::Mutex,,,1.0,ns,6156
user,heavy contention,spin::Mutex,,,1.0,ns,6327
user,heavy contention,spin::Mutex,,,1.0,ns,6498
user,heavy contention,spin::Mutex,,,1.0,ns,6669
user,heavy contention,spin::Mutex,,,1.0,ns,6840
user,heavy contention,spin::Mutex,,,1.0,ns,7011
user,heavy contention,spin::Mutex,,,1.0,ns,7182
user,heavy contention,spin::Mutex,,,1.0,ns,7353
user,heavy contention,spin::Mutex,,,1.0,ns,7524
user,heavy contention,spin::Mutex,,,1.0,ns,7695
user,heavy contention,spin::Mutex,,,1.0,ns,7866
user,heavy contention,spin::Mutex,,,1.0,ns,8037
user,heavy contention,spin::Mutex,,,1.0,ns,8208
user,heavy contention,spin::Mutex,,,31250000.0,ns,8379
user,heavy contention,spin::Mutex,,,218750000.0,ns,8550
