group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
user,heavy contention,std::sync::Mutex,,,1.0,ns,300
user,heavy contention,std::sync::Mutex,,,1.0,ns,600
user,heavy contention,std::sync::Mutex,,,1.0,ns,900
user,heavy contention,std::sync::Mutex,,,1.0,ns,1200
user,heavy contention,std::sync::Mutex,,,187500000.0,ns,1500
user,heavy contention,std::sync::Mutex,,,1.0,ns,1800
user,heavy contention,std::sync::Mutex,,,1.0,ns,2100
user,heavy contention,std::sync::Mutex,,,1.0,ns,2400
user,heavy contention,std::sync::Mutex,,,1.0,ns,2700
user,heavy contention,std::sync::Mutex,,,1.0,ns,3000
user,heavy contention,std::sync::Mutex,,,250000000.0,ns,3300
user,heavy contention,std::sync::Mutex,,,218750000.0,ns,3600
user,heavy contention,std::sync::Mutex,,,234375000.0,ns,3900
user,heavy contention,std::sync::Mutex,,,218750000.0,ns,4200
user,heavy contention,std::sync::Mutex,,,125000000.0,ns,4500
user,heavy contention,std::sync::Mutex,,,218750000.0,ns,4800
user,heavy contention,std::sync::Mutex,,,250000000.0,ns,5100
user,heavy contention,std::sync::Mutex,,,234375000.0,ns,5400
user,heavy contention,std::sync::Mutex,,,218750000.0,ns,5700
user,heavy contention,std::sync::Mutex,,,1.0,ns,6000
user,heavy contention,std::sync::Mutex,,,1.0,ns,6300
user,heavy contention,std::sync::Mutex,,,1.0,ns,6600
user,heavy contention,std::sync::Mutex,,,234375000.0,ns,6900
user,heavy contention,std::sync::Mutex,,,250000000.0,ns,7200
user,heavy contention,std::sync::Mutex,,,1.0,ns,7500
user,heavy contention,std::sync::Mutex,,,1.0,ns,7800
user,heavy contention,std::sync::Mutex,,,234375000.0,ns,8100
user,heavy contention,std::sync::Mutex,,,234375000.0,ns,8400
user,heavy contention,std::sync::Mutex,,,156250000.0,ns,8700
user,heavy contention,std::sync::Mutex,,,250000000.0,ns,9000
user,heavy contention,std::sync::Mutex,,,1.0,ns,9300
user,heavy contention,std::sync::Mutex,,,156250000.0,ns,9600
user,heavy contention,std::sync::Mutex,,,234375000.0,ns,9900
user,heavy contention,std::sync::Mutex,,,218750000.0,ns,10200
user,heavy contention,std::sync::Mutex,,,1.0,ns,10500
user,heavy contention,std::sync::Mutex,,,218750000.0,ns,10800
user,heavy contention,std::sync::Mutex,,,203125000.0,ns,11100
user,heavy contention,std::sync::Mutex,,,234375000.0,ns,11400
user,heavy contention,std::sync::Mutex,,,250000000.0,ns,11700
user,heavy contention,std::sync::Mutex,,,109375000.0,ns,12000
user,heavy contention,std::sync::Mutex,,,250000000.0,ns,12300
user,heavy contention,std::sync::Mutex,,,218750000.0,ns,12600
user,heavy contention,std::sync::Mutex,,,171875000.0,ns,12900
user,heavy contention,std::sync::Mutex,,,234375000.0,ns,13200
user,heavy contention,std::sync::Mutex,,,250000000.0,ns,13500
user,heavy contention,std::sync::Mutex,,,234375000.0,ns,13800
user,heavy contention,std::sync::Mutex,,,250000000.0,ns,14100
user,heavy contention,std::sync::Mutex,,,234375000.0,ns,14400
user,heavy contention,std::sync::Mutex,,,375000000.0,ns,14700
user,heavy contention,std::sync::Mutex,,,359375000.0,ns,15000
user,heavy contention,std::sync::Mutex,,,390625000.0,ns,15300
user,heavy contention,std::sync::Mutex,,,265625000.0,ns,15600
user,heavy contention,std::sync::Mutex,,,265625000.0,ns,15900
user,heavy contention,std::sync::Mutex,,,406250000.0,ns,16200
user,heavy contention,std::sync::Mutex,,,421875000.0,ns,16500
user,heavy contention,std::sync::Mutex,,,312500000.0,ns,16800
user,heavy contention,std::sync::Mutex,,,453125000.0,ns,17100
user,heavy contention,std::sync::Mutex,,,437500000.0,ns,17400
user,heavy contention,std::sync::Mutex,,,250000000.0,ns,17700
user,heavy contention,std::sync::Mutex,,,234375000.0,ns,18000
user,heavy contention,std::sync::Mutex,,,390625000.0,ns,18300
user,heavy contention,std::sync::Mutex,,,390625000.0,ns,18600
user,heavy contention,std::sync::Mutex,,,500000000.0,ns,18900
user,heavy contention,std::sync::Mutex,,,234375000.0,ns,19200
user,heavy contention,std::sync::Mutex,,,312500000.0,ns,19500
user,heavy contention,std::sync::Mutex,,,437500000.0,ns,19800
user,heavy contention,std::sync::Mutex,,,250000000.0,ns,20100
user,heavy contention,std::sync::Mutex,,,234375000.0,ns,20400
user,heavy contention,std::sync::Mutex,,,500000000.0,ns,20700
user,heavy contention,std::sync::Mutex,,,218750000.0,ns,21000
user,heavy contention,std::sync::Mutex,,,468750000.0,ns,21300
user,heavy contention,std::sync::Mutex,,,453125000.0,ns,21600
user,heavy contention,std::sync::Mutex,,,437500000.0,ns,21900
