group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
user,light contention,spin::Mutex,,,1.0,ns,171
user,light contention,spin::Mutex,,,1.0,ns,342
user,light contention,spin::Mutex,,,1.0,ns,513
user,light contention,spin::Mutex,,,1.0,ns,684
user,light contention,spin::Mutex,,,1.0,ns,855
user,light contention,spin::Mutex,,,1.0,ns,1026
user,light contention,spin::Mutex,,,1.0,ns,1197
user,light contention,spin::Mutex,,,1.0,ns,1368
user,light contention,spin::Mutex,,,1.0,ns,1539
user,light contention,spin::Mutex,,,1.0,ns,1710
user,light contention,spin::Mutex,,,1.0,ns,1881
user,light contention,spin::Mutex,,,1.0,ns,2052
user,light contention,spin::Mutex,,,1.0,ns,2223
user,light contention,spin::Mutex,,,1.0,ns,2394
user,light contention,spin::Mutex,,,1.0,ns,2565
user,light contention,spin::Mutex,,,1.0,ns,2736
user,light contention,spin::Mutex,,,1.0,ns,2907
user,light contention,spin::Mutex,,,1.0,ns,3078
user,light contention,spin::Mutex,,,234375000.0,ns,3249
user,light contention,spin::Mutex,,,1.0,ns,3420
user,light contention,spin::Mutex,,,1.0,ns,3591
user,light contention,spin::Mutex,,,1.0,ns,3762
user,light contention,spin::Mutex,,,1.0,ns,3933
user,light contention,spin::Mutex,,,1.0,ns,4104
user,light contention,spin::Mutex,,,203125000.0,ns,4275
user,light contention,spin::Mutex,,,250000000.0,ns,4446
user,light contention,spin::Mutex,,,1.0,ns,4617
user,light contention,spin::Mutex,,,1.0,ns,4788
user,light contention,spin::Mutex,,,1.0,ns,4959
user,light contention,spin::Mutex,,,1.0,ns,5130
user,light contention,spin::Mutex,,,1.0,ns,5301
user,light contention,spin::Mutex,,,1.0,ns,5472
user,light contention,spin::Mutex,,,1.0,ns,5643
user,light contention,spin::Mutex,,,1.0,ns,5814
user,light contention,spin::Mutex,,,1.0,ns,5985
user,light contention,spin::Mutex,,,1.0,ns,6156
user,light contention,spin::Mutex,,,1.0,ns,6327
user,light contention,spin::Mutex,,,1.0,ns,6498
user,light contention,spin::Mutex,,,1.0,ns,6669
user,light contention,spin::Mutex,,,1.0,ns,6840
user,light contention,spin::Mutex,,,1.0,ns,7011
user,light contention,spin::Mutex,,,1.0,ns,7182
user,light contention,spin::Mutex,,,1.0,ns,7353
user,light contention,spin::Mutex,,,1.0,ns,7524
user,light contention,spin::Mutex,,,1.0,ns,7695
user,light contention,spin::Mutex,,,1.0,ns,7866
user,light contention,spin::Mutex,,,1.0,ns,8037
user,light contention,spin::Mutex,,,1.0,ns,8208
user,light contention,spin::Mutex,,,1.0,ns,8379
user,light contention,spin::Mutex,,,62500000.0,ns,8550
user,light contention,spin::Mutex,,,15625000.0,ns,8721
user,light contention,spin::Mutex,,,156250000.0,ns,8892
user,light contention,spin::Mutex,,,218750000.0,ns,9063
user,light contention,spin::Mutex,,,250000000.0,ns,9234
user,light contention,spin::Mutex,,,234375000.0,ns,9405
user,light contention,spin::Mutex,,,1.0,ns,9576
user,light contention,spin::Mutex,,,1.0,ns,9747
user,light contention,spin::Mutex,,,1.0,ns,9918
user,light contention,spin::Mutex,,,109375000.0,ns,10089
user,light contention,spin::Mutex,,,250000000.0,ns,10260
user,light contention,spin::Mutex,,,250000000.0,ns,10431
user,light contention,spin::Mutex,,,1.0,ns,10602
user,light contention,spin::Mutex,,,1.0,ns,10773
user,light contention,spin::Mutex,,,15625000.0,ns,10944
user,light contention,spin::Mutex,,,250000000.0,ns,11115
user,light contention,spin::Mutex,,,1.0,ns,11286
user,light contention,spin::Mutex,,,250000000.0,ns,11457
user,light contention,spin::Mutex,,,1.0,ns,11628
user,light contention,spin::Mutex,,,234375000.0,ns,11799
user,light contention,spin::Mutex,,,250000000.0,ns,11970
user,light contention,spin::Mutex,,,1.0,ns,12141
user,light contention,spin::Mutex,,,218750000.0,ns,12312
user,light contention,spin::Mutex,,,234375000.0,ns,12483
user,light contention,spin::Mutex,,,1.0,ns,12654
user,light contention,spin::Mutex,,,250000000.0,ns,12825
user,light contention,spin::Mutex,,,234375000.0,ns,12996
user,light contention,spin::Mutex,,,203125000.0,ns,13167
user,light contention,spin::Mutex,,,31250000.0,ns,13338
user,light contention,spin::Mutex,,,187500000.0,ns,13509
user,light contention,spin::Mutex,,,1.0,ns,13680
user,light contention,spin::Mutex,,,218750000.0,ns,13851
user,light contention,spin::Mutex,,,203125000.0,ns,14022
user,light contention,spin::Mutex,,,31250000.0,ns,14193
user,light contention,spin::Mutex,,,203125000.0,ns,14364
user,light contention,spin::Mutex,,,1.0,ns,14535
user,light contention,spin::Mutex,,,203125000.0,ns,14706
user,light contention,spin::Mutex,,,1.0,ns,14877
user,light contention,spin::Mutex,,,187500000.0,ns,15048
user,light contention,spin::Mutex,,,1.0,ns,15219
user,light contention,spin::Mutex,,,234375000.0,ns,15390
user,light contention,spin::Mutex,,,1.0,ns,15561
user,light contention,spin::Mutex,,,218750000.0,ns,15732
user,light contention,spin::Mutex,,,1.0,ns,15903
user,light contention,spin::Mutex,,,187500000.0,ns,16074
user,light contention,spin::Mutex,,,15625000.0,ns,16245
user,light contention,spin::Mutex,,,218750000.0,ns,16416
user,light contention,spin::Mutex,,,109375000.0,ns,16587
user,light contention,spin::Mutex,,,250000000.0,ns,16758
user,light contention,spin::Mutex,,,234375000.0,ns,16929
user,light contention,spin::Mutex,,,250000000.0,ns,17100
