group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
user,light contention,std::sync::Mutex,,,1.0,ns,344
user,light contention,std::sync::Mutex,,,1.0,ns,688
user,light contention,std::sync::Mutex,,,203125000.0,ns,1032
user,light contention,std::sync::Mutex,,,1.0,ns,1376
user,light contention,std::sync::Mutex,,,1.0,ns,1720
user,light contention,std::sync::Mutex,,,1.0,ns,2064
user,light contention,std::sync::Mutex,,,1.0,ns,2408
user,light contention,std::sync::Mutex,,,125000000.0,ns,2752
user,light contention,std::sync::Mutex,,,1.0,ns,3096
user,light contention,std::sync::Mutex,,,1.0,ns,3440
user,light contention,std::sync::Mutex,,,1.0,ns,3784
user,light contention,std::sync::Mutex,,,1.0,ns,4128
user,light contention,std::sync::Mutex,,,1.0,ns,4472
user,light contention,std::sync::Mutex,,,1.0,ns,4816
user,light contention,std::sync::Mutex,,,1.0,ns,5160
user,light contention,std::sync::Mutex,,,1.0,ns,5504
user,light contention,std::sync::Mutex,,,1.0,ns,5848
user,light contention,std::sync::Mutex,,,1.0,ns,6192
user,light contention,std::sync::Mutex,,,1.0,ns,6536
user,light contention,std::sync::Mutex,,,1.0,ns,6880
user,light contention,std::sync::Mutex,,,1.0,ns,7224
user,light contention,std::sync::Mutex,,,1.0,ns,7568
user,light contention,std::sync::Mutex,,,1.0,ns,7912
user,light contention,std::sync::Mutex,,,203125000.0,ns,8256
user,light contention,std::sync::Mutex,,,250000000.0,ns,8600
user,light contention,std::sync::Mutex,,,1.0,ns,8944
user,light contention,std::sync::Mutex,,,1.0,ns,9288
user,light contention,std::sync::Mutex,,,62500000.0,ns,9632
user,light contention,std::sync::Mutex,,,250000000.0,ns,9976
user,light contention,std::sync::Mutex,,,234375000.0,ns,10320
user,light contention,std::sync::Mutex,,,1.0,ns,10664
user,light contention,std::sync::Mutex,,,218750000.0,ns,11008
user,light contention,std::sync::Mutex,,,218750000.0,ns,11352
user,light contention,std::sync::Mutex,,,1.0,ns,11696
user,light contention,std::sync::Mutex,,,218750000.0,ns,12040
user,light contention,std::sync::Mutex,,,1.0,ns,12384
user,light contention,std::sync::Mutex,,,187500000.0,ns,12728
user,light contention,std::sync::Mutex,,,250000000.0,ns,13072
user,light contention,std::sync::Mutex,,,78125000.0,ns,13416
user,light contention,std::sync::Mutex,,,234375000.0,ns,13760
user,light contention,std::sync::Mutex,,,109375000.0,ns,14104
user,light contention,std::sync::Mutex,,,250000000.0,ns,14448
user,light contention,std::sync::Mutex,,,218750000.0,ns,14792
user,light contention,std::sync::Mutex,,,250000000.0,ns,15136
user,light contention,std::sync::Mutex,,,234375000.0,ns,15480
user,light contention,std::sync::Mutex,,,1.0,ns,15824
user,light contention,std::sync::Mutex,,,218750000.0,ns,16168
user,light contention,std::sync::Mutex,,,203125000.0,ns,16512
user,light contention,std::sync::Mutex,,,250000000.0,ns,16856
user,light contention,std::sync::Mutex,,,218750000.0,ns,17200
user,light contention,std::sync::Mutex,,,218750000.0,ns,17544
user,light contention,std::sync::Mutex,,,203125000.0,ns,17888
user,light contention,std::sync::Mutex,,,296875000.0,ns,18232
user,light contention,std::sync::Mutex,,,203125000.0,ns,18576
user,light contention,std::sync::Mutex,,,234375000.0,ns,18920
user,light contention,std::sync::Mutex,,,218750000.0,ns,19264
user,light contention,std::sync::Mutex,,,203125000.0,ns,19608
user,light contention,std::sync::Mutex,,,296875000.0,ns,19952
user,light contention,std::sync::Mutex,,,250000000.0,ns,20296
user,light contention,std::sync::Mutex,,,234375000.0,ns,20640
user,light contention,std::sync::Mutex,,,234375000.0,ns,20984
user,light contention,std::sync::Mutex,,,234375000.0,ns,21328
user,light contention,std::sync::Mutex,,,234375000.0,ns,21672
