group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
user,no contention,AmdSpinlock,,,1.0,ns,1
user,no contention,AmdSpinlock,,,1.0,ns,2
user,no contention,AmdSpinlock,,,1.0,ns,3
user,no contention,AmdSpinlock,,,1.0,ns,4
user,no contention,AmdSpinlock,,,1.0,ns,5
user,no contention,AmdSpinlock,,,1.0,ns,6
user,no contention,AmdSpinlock,,,1.0,ns,7
user,no contention,AmdSpinlock,,,1.0,ns,8
user,no contention,AmdSpinlock,,,1.0,ns,9
user,no contention,AmdSpinlock,,,1.0,ns,10
user,no contention,AmdSpinlock,,,1.0,ns,11
user,no contention,AmdSpinlock,,,1.0,ns,12
user,no contention,AmdSpinlock,,,1.0,ns,13
user,no contention,AmdSpinlock,,,1.0,ns,14
user,no contention,AmdSpinlock,,,1.0,ns,15
user,no contention,AmdSpinlock,,,1.0,ns,16
user,no contention,AmdSpinlock,,,1.0,ns,17
user,no contention,AmdSpinlock,,,1.0,ns,18
user,no contention,AmdSpinlock,,,1.0,ns,19
user,no contention,AmdSpinlock,,,1.0,ns,20
user,no contention,AmdSpinlock,,,1.0,ns,21
user,no contention,AmdSpinlock,,,1.0,ns,22
user,no contention,AmdSpinlock,,,1.0,ns,23
user,no contention,AmdSpinlock,,,1.0,ns,24
user,no contention,AmdSpinlock,,,1.0,ns,25
user,no contention,AmdSpinlock,,,1.0,ns,26
user,no contention,AmdSpinlock,,,1.0,ns,27
user,no contention,AmdSpinlock,,,1.0,ns,28
user,no contention,AmdSpinlock,,,1.0,ns,29
user,no contention,AmdSpinlock,,,1.0,ns,30
user,no contention,AmdSpinlock,,,1.0,ns,31
user,no contention,AmdSpinlock,,,1.0,ns,32
user,no contention,AmdSpinlock,,,1.0,ns,33
user,no contention,AmdSpinlock,,,1.0,ns,34
user,no contention,AmdSpinlock,,,1.0,ns,35
user,no contention,AmdSpinlock,,,1.0,ns,36
user,no contention,AmdSpinlock,,,1.0,ns,37
user,no contention,AmdSpinlock,,,1.0,ns,38
user,no contention,AmdSpinlock,,,1.0,ns,39
user,no contention,AmdSpinlock,,,1.0,ns,40
user,no contention,AmdSpinlock,,,1.0,ns,41
user,no contention,AmdSpinlock,,,1.0,ns,42
user,no contention,AmdSpinlock,,,1.0,ns,43
user,no contention,AmdSpinlock,,,1.0,ns,44
user,no contention,AmdSpinlock,,,1.0,ns,45
user,no contention,AmdSpinlock,,,1.0,ns,46
user,no contention,AmdSpinlock,,,1.0,ns,47
user,no contention,AmdSpinlock,,,1.0,ns,48
user,no contention,AmdSpinlock,,,1.0,ns,49
user,no contention,AmdSpinlock,,,1.0,ns,50
user,no contention,AmdSpinlock,,,1.0,ns,51
user,no contention,AmdSpinlock,,,1.0,ns,52
user,no contention,AmdSpinlock,,,1.0,ns,53
user,no contention,AmdSpinlock,,,1.0,ns,54
user,no contention,AmdSpinlock,,,1.0,ns,55
user,no contention,AmdSpinlock,,,1.0,ns,56
user,no contention,AmdSpinlock,,,1.0,ns,57
user,no contention,AmdSpinlock,,,1.0,ns,58
user,no contention,AmdSpinlock,,,1.0,ns,59
user,no contention,AmdSpinlock,,,1.0,ns,60
user,no contention,AmdSpinlock,,,1.0,ns,61
user,no contention,AmdSpinlock,,,1.0,ns,62
user,no contention,AmdSpinlock,,,1.0,ns,63
user,no contention,AmdSpinlock,,,1.0,ns,64
user,no contention,AmdSpinlock,,,1.0,ns,65
user,no contention,AmdSpinlock,,,1.0,ns,66
user,no contention,AmdSpinlock,,,1.0,ns,67
user,no contention,AmdSpinlock,,,1.0,ns,68
user,no contention,AmdSpinlock,,,1.0,ns,69
user,no contention,AmdSpinlock,,,1.0,ns,70
user,no contention,AmdSpinlock,,,1.0,ns,71
user,no contention,AmdSpinlock,,,1.0,ns,72
user,no contention,AmdSpinlock,,,1.0,ns,73
user,no contention,AmdSpinlock,,,1.0,ns,74
user,no contention,AmdSpinlock,,,1.0,ns,75
user,no contention,AmdSpinlock,,,1.0,ns,76
user,no contention,AmdSpinlock,,,1.0,ns,77
user,no contention,AmdSpinlock,,,1.0,ns,78
user,no contention,AmdSpinlock,,,1.0,ns,79
user,no contention,AmdSpinlock,,,1.0,ns,80
user,no contention,AmdSpinlock,,,1.0,ns,81
user,no contention,AmdSpinlock,,,1.0,ns,82
user,no contention,AmdSpinlock,,,1.0,ns,83
user,no contention,AmdSpinlock,,,1.0,ns,84
user,no contention,AmdSpinlock,,,1.0,ns,85
user,no contention,AmdSpinlock,,,1.0,ns,86
user,no contention,AmdSpinlock,,,1.0,ns,87
user,no contention,AmdSpinlock,,,1.0,ns,88
user,no contention,AmdSpinlock,,,1.0,ns,89
user,no contention,AmdSpinlock,,,1.0,ns,90
user,no contention,AmdSpinlock,,,1.0,ns,91
user,no contention,AmdSpinlock,,,1.0,ns,92
user,no contention,AmdSpinlock,,,1.0,ns,93
user,no contention,AmdSpinlock,,,1.0,ns,94
user,no contention,AmdSpinlock,,,1.0,ns,95
user,no contention,AmdSpinlock,,,1.0,ns,96
user,no contention,AmdSpinlock,,,1.0,ns,97
user,no contention,AmdSpinlock,,,1.0,ns,98
user,no contention,AmdSpinlock,,,1.0,ns,99
user,no contention,AmdSpinlock,,,1.0,ns,100
