group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cpu,heavy contention,spin::Mutex,,,1.0,ns,157
cpu,heavy contention,spin::Mutex,,,1.0,ns,314
cpu,heavy contention,spin::Mutex,,,1.0,ns,471
cpu,heavy contention,spin::Mutex,,,1.0,ns,628
cpu,heavy contention,spin::Mutex,,,1.0,ns,785
cpu,heavy contention,spin::Mutex,,,1.0,ns,942
cpu,heavy contention,spin::Mutex,,,1.0,ns,1099
cpu,heavy contention,spin::Mutex,,,1.0,ns,1256
cpu,heavy contention,spin::Mutex,,,1.0,ns,1413
cpu,heavy contention,spin::Mutex,,,1.0,ns,1570
cpu,heavy contention,spin::Mutex,,,1.0,ns,1727
cpu,heavy contention,spin::Mutex,,,1.0,ns,1884
cpu,heavy contention,spin::Mutex,,,1.0,ns,2041
cpu,heavy contention,spin::Mutex,,,1.0,ns,2198
cpu,heavy contention,spin::Mutex,,,1.0,ns,2355
cpu,heavy contention,spin::Mutex,,,1.0,ns,2512
cpu,heavy contention,spin::Mutex,,,218750000.0,ns,2669
cpu,heavy contention,spin::Mutex,,,1.0,ns,2826
cpu,heavy contention,spin::Mutex,,,1.0,ns,2983
cpu,heavy contention,spin::Mutex,,,1.0,ns,3140
cpu,heavy contention,spin::Mutex,,,1.0,ns,3297
cpu,heavy contention,spin::Mutex,,,234375000.0,ns,3454
cpu,heavy contention,spin::Mutex,,,234375000.0,ns,3611
cpu,heavy contention,spin::Mutex,,,1.0,ns,3768
cpu,heavy contention,spin::Mutex,,,1.0,ns,3925
cpu,heavy contention,spin::Mutex,,,1.0,ns,4082
cpu,heavy contention,spin::Mutex,,,1.0,ns,4239
cpu,heavy contention,spin::Mutex,,,1.0,ns,4396
cpu,heavy contention,spin::Mutex,,,250000000.0,ns,4553
cpu,heavy contention,spin::Mutex,,,31250000.0,ns,4710
cpu,heavy contention,spin::Mutex,,,31250000.0,ns,4867
cpu,heavy contention,spin::Mutex,,,1.0,ns,5024
cpu,heavy contention,spin::Mutex,,,1.0,ns,5181
cpu,heavy contention,spin::Mutex,,,1.0,ns,5338
cpu,heavy contention,spin::Mutex,,,1.0,ns,5495
cpu,heavy contention,spin::Mutex,,,1.0,ns,5652
cpu,heavy contention,spin::Mutex,,,1.0,ns,5809
cpu,heavy contention,spin::Mutex,,,1.0,ns,5966
