group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cpu,heavy contention,std::sync::Mutex,,,1.0,ns,307
cpu,heavy contention,std::sync::Mutex,,,1.0,ns,614
cpu,heavy contention,std::sync::Mutex,,,1.0,ns,921
cpu,heavy contention,std::sync::Mutex,,,1.0,ns,1228
cpu,heavy contention,std::sync::Mutex,,,1.0,ns,1535
cpu,heavy contention,std::sync::Mutex,,,1.0,ns,1842
cpu,heavy contention,std::sync::Mutex,,,250000000.0,ns,2149
cpu,heavy contention,std::sync::Mutex,,,1.0,ns,2456
cpu,heavy contention,std::sync::Mutex,,,1.0,ns,2763
cpu,heavy contention,std::sync::Mutex,,,1.0,ns,3070
cpu,heavy contention,std::sync::Mutex,,,1.0,ns,3377
cpu,heavy contention,std::sync::Mutex,,,1.0,ns,3684
cpu,heavy contention,std::sync::Mutex,,,1.0,ns,3991
cpu,heavy contention,std::sync::Mutex,,,1.0,ns,4298
cpu,heavy contention,std::sync::Mutex,,,234375000.0,ns,4605
cpu,heavy contention,std::sync::Mutex,,,250000000.0,ns,4912
cpu,heavy contention,std::sync::Mutex,,,1.0,ns,5219
cpu,heavy contention,std::sync::Mutex,,,1.0,ns,5526
cpu,heavy contention,std::sync::Mutex,,,1.0,ns,5833
cpu,heavy contention,std::sync::Mutex,,,1.0,ns,6140
cpu,heavy contention,std::sync::Mutex,,,109375000.0,ns,6447
cpu,heavy contention,std::sync::Mutex,,,250000000.0,ns,6754
cpu,heavy contention,std::sync::Mutex,,,234375000.0,ns,7061
cpu,heavy contention,std::sync::Mutex,,,1.0,ns,7368
cpu,heavy contention,std::sync::Mutex,,,1.0,ns,7675
cpu,heavy contention,std::sync::Mutex,,,250000000.0,ns,7982
cpu,heavy contention,std::sync::Mutex,,,234375000.0,ns,8289
cpu,heavy contention,std::sync::Mutex,,,1.0,ns,8596
cpu,heavy contention,std::sync::Mutex,,,203125000.0,ns,8903
cpu,heavy contention,std::sync::Mutex,,,250000000.0,ns,9210
cpu,heavy contention,std::sync::Mutex,,,171875000.0,ns,9517
cpu,heavy contention,std::sync::Mutex,,,250000000.0,ns,9824
cpu,heavy contention,std::sync::Mutex,,,31250000.0,ns,10131
cpu,heavy contention,std::sync::Mutex,,,234375000.0,ns,10438
cpu,heavy contention,std::sync::Mutex,,,203125000.0,ns,10745
cpu,heavy contention,std::sync::Mutex,,,187500000.0,ns,11052
cpu,heavy contention,std::sync::Mutex,,,250000000.0,ns,11359
cpu,heavy contention,std::sync::Mutex,,,250000000.0,ns,11666
cpu,heavy contention,std::sync::Mutex,,,234375000.0,ns,11973
cpu,heavy contention,std::sync::Mutex,,,234375000.0,ns,12280
cpu,heavy contention,std::sync::Mutex,,,203125000.0,ns,12587
cpu,heavy contention,std::sync::Mutex,,,250000000.0,ns,12894
cpu,heavy contention,std::sync::Mutex,,,234375000.0,ns,13201
cpu,heavy contention,std::sync::Mutex,,,250000000.0,ns,13508
cpu,heavy contention,std::sync::Mutex,,,375000000.0,ns,13815
cpu,heavy contention,std::sync::Mutex,,,234375000.0,ns,14122
cpu,heavy contention,std::sync::Mutex,,,250000000.0,ns,14429
cpu,heavy contention,std::sync::Mutex,,,250000000.0,ns,14736
cpu,heavy contention,std::sync::Mutex,,,250000000.0,ns,15043
cpu,heavy contention,std::sync::Mutex,,,250000000.0,ns,15350
cpu,heavy contention,std::sync::Mutex,,,250000000.0,ns,15657
cpu,heavy contention,std::sync::Mutex,,,484375000.0,ns,15964
cpu,heavy contention,std::sync::Mutex,,,468750000.0,ns,16271
cpu,heavy contention,std::sync::Mutex,,,468750000.0,ns,16578
cpu,heavy contention,std::sync::Mutex,,,500000000.0,ns,16885
