group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cpu,light contention,spin::Mutex,,,1.0,ns,234
cpu,light contention,spin::Mutex,,,1.0,ns,468
cpu,light contention,spin::Mutex,,,1.0,ns,702
cpu,light contention,spin::Mutex,,,1.0,ns,936
cpu,light contention,spin::Mutex,,,1.0,ns,1170
cpu,light contention,spin::Mutex,,,1.0,ns,1404
cpu,light contention,spin::Mutex,,,1.0,ns,1638
cpu,light contention,spin::Mutex,,,1.0,ns,1872
cpu,light contention,spin::Mutex,,,1.0,ns,2106
cpu,light contention,spin::Mutex,,,1.0,ns,2340
cpu,light contention,spin::Mutex,,,1.0,ns,2574
cpu,light contention,spin::Mutex,,,1.0,ns,2808
cpu,light contention,spin::Mutex,,,46875000.0,ns,3042
cpu,light contention,spin::Mutex,,,1.0,ns,3276
cpu,light contention,spin::Mutex,,,1.0,ns,3510
cpu,light contention,spin::Mutex,,,1.0,ns,3744
cpu,light contention,spin::Mutex,,,1.0,ns,3978
cpu,light contention,spin::Mutex,,,234375000.0,ns,4212
cpu,light contention,spin::Mutex,,,218750000.0,ns,4446
cpu,light contention,spin::Mutex,,,1.0,ns,4680
cpu,light contention,spin::Mutex,,,1.0,ns,4914
cpu,light contention,spin::Mutex,,,1.0,ns,5148
cpu,light contention,spin::Mutex,,,1.0,ns,5382
cpu,light contention,spin::Mutex,,,1.0,ns,5616
cpu,light contention,spin::Mutex,,,1.0,ns,5850
cpu,light contention,spin::Mutex,,,1.0,ns,6084
cpu,light contention,spin::Mutex,,,1.0,ns,6318
cpu,light contention,spin::Mutex,,,234375000.0,ns,6552
cpu,light contention,spin::Mutex,,,250000000.0,ns,6786
cpu,light contention,spin::Mutex,,,234375000.0,ns,7020
cpu,light contention,spin::Mutex,,,218750000.0,ns,7254
cpu,light contention,spin::Mutex,,,250000000.0,ns,7488
cpu,light contention,spin::Mutex,,,187500000.0,ns,7722
cpu,light contention,spin::Mutex,,,1.0,ns,7956
cpu,light contention,spin::Mutex,,,1.0,ns,8190
cpu,light contention,spin::Mutex,,,1.0,ns,8424
cpu,light contention,spin::Mutex,,,1.0,ns,8658
cpu,light contention,spin::Mutex,,,1.0,ns,8892
cpu,light contention,spin::Mutex,,,62500000.0,ns,9126
cpu,light contention,spin::Mutex,,,250000000.0,ns,9360
cpu,light contention,spin::Mutex,,,234375000.0,ns,9594
cpu,light contention,spin::Mutex,,,218750000.0,ns,9828
cpu,light contention,spin::Mutex,,,31250000.0,ns,10062
cpu,light contention,spin::Mutex,,,140625000.0,ns,10296
cpu,light contention,spin::Mutex,,,31250000.0,ns,10530
cpu,light contention,spin::Mutex,,,203125000.0,ns,10764
cpu,light contention,spin::Mutex,,,250000000.0,ns,10998
cpu,light contention,spin::Mutex,,,1.0,ns,11232
cpu,light contention,spin::Mutex,,,31250000.0,ns,11466
cpu,light contention,spin::Mutex,,,234375000.0,ns,11700
cpu,light contention,spin::Mutex,,,1.0,ns,11934
cpu,light contention,spin::Mutex,,,234375000.0,ns,12168
cpu,light contention,spin::Mutex,,,234375000.0,ns,12402
cpu,light contention,spin::Mutex,,,1.0,ns,12636
cpu,light contention,spin::Mutex,,,46875000.0,ns,12870
cpu,light contention,spin::Mutex,,,234375000.0,ns,13104
cpu,light contention,spin::Mutex,,,1.0,ns,13338
cpu,light contention,spin::Mutex,,,234375000.0,ns,13572
cpu,light contention,spin::Mutex,,,234375000.0,ns,13806
cpu,light contention,spin::Mutex,,,31250000.0,ns,14040
cpu,light contention,spin::Mutex,,,234375000.0,ns,14274
cpu,light contention,spin::Mutex,,,234375000.0,ns,14508
cpu,light contention,spin::Mutex,,,1.0,ns,14742
cpu,light contention,spin::Mutex,,,250000000.0,ns,14976
cpu,light contention,spin::Mutex,,,234375000.0,ns,15210
cpu,light contention,spin::Mutex,,,171875000.0,ns,15444
cpu,light contention,spin::Mutex,,,218750000.0,ns,15678
cpu,light contention,spin::Mutex,,,140625000.0,ns,15912
cpu,light contention,spin::Mutex,,,234375000.0,ns,16146
cpu,light contention,spin::Mutex,,,31250000.0,ns,16380
cpu,light contention,spin::Mutex,,,250000000.0,ns,16614
cpu,light contention,spin::Mutex,,,125000000.0,ns,16848
cpu,light contention,spin::Mutex,,,250000000.0,ns,17082
cpu,light contention,spin::Mutex,,,234375000.0,ns,17316
cpu,light contention,spin::Mutex,,,234375000.0,ns,17550
cpu,light contention,spin::Mutex,,,218750000.0,ns,17784
cpu,light contention,spin::Mutex,,,250000000.0,ns,18018
cpu,light contention,spin::Mutex,,,1.0,ns,18252
cpu,light contention,spin::Mutex,,,250000000.0,ns,18486
cpu,light contention,spin::Mutex,,,234375000.0,ns,18720
cpu,light contention,spin::Mutex,,,234375000.0,ns,18954
cpu,light contention,spin::Mutex,,,46875000.0,ns,19188
cpu,light contention,spin::Mutex,,,250000000.0,ns,19422
cpu,light contention,spin::Mutex,,,234375000.0,ns,19656
cpu,light contention,spin::Mutex,,,109375000.0,ns,19890
cpu,light contention,spin::Mutex,,,234375000.0,ns,20124
cpu,light contention,spin::Mutex,,,218750000.0,ns,20358
cpu,light contention,spin::Mutex,,,218750000.0,ns,20592
cpu,light contention,spin::Mutex,,,250000000.0,ns,20826
cpu,light contention,spin::Mutex,,,421875000.0,ns,21060
cpu,light contention,spin::Mutex,,,250000000.0,ns,21294
cpu,light contention,spin::Mutex,,,234375000.0,ns,21528
cpu,light contention,spin::Mutex,,,265625000.0,ns,21762
cpu,light contention,spin::Mutex,,,218750000.0,ns,21996
cpu,light contention,spin::Mutex,,,187500000.0,ns,22230
cpu,light contention,spin::Mutex,,,437500000.0,ns,22464
cpu,light contention,spin::Mutex,,,343750000.0,ns,22698
cpu,light contention,spin::Mutex,,,296875000.0,ns,22932
cpu,light contention,spin::Mutex,,,187500000.0,ns,23166
cpu,light contention,spin::Mutex,,,218750000.0,ns,23400
