group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
duration,extreme contention,parking_lot::Mutex,,,363700.0,ns,11
duration,extreme contention,parking_lot::Mutex,,,257000.0,ns,22
duration,extreme contention,parking_lot::Mutex,,,872100.0,ns,33
duration,extreme contention,parking_lot::Mutex,,,805900.0,ns,44
duration,extreme contention,parking_lot::Mutex,,,2234100.0,ns,55
duration,extreme contention,parking_lot::Mutex,,,715200.0,ns,66
duration,extreme contention,parking_lot::Mutex,,,3472300.0,ns,77
duration,extreme contention,parking_lot::Mutex,,,4223800.0,ns,88
duration,extreme contention,parking_lot::Mutex,,,4364600.0,ns,99
duration,extreme contention,parking_lot::Mutex,,,5720800.0,ns,110
duration,extreme contention,parking_lot::Mutex,,,4955900.0,ns,121
duration,extreme contention,parking_lot::Mutex,,,5780200.0,ns,132
duration,extreme contention,parking_lot::Mutex,,,6061800.0,ns,143
duration,extreme contention,parking_lot::Mutex,,,7509800.0,ns,154
duration,extreme contention,parking_lot::Mutex,,,7828500.0,ns,165
duration,extreme contention,parking_lot::Mutex,,,8072800.0,ns,176
duration,extreme contention,parking_lot::Mutex,,,8271000.0,ns,187
duration,extreme contention,parking_lot::Mutex,,,10053600.0,ns,198
duration,extreme contention,parking_lot::Mutex,,,9660800.0,ns,209
duration,extreme contention,parking_lot::Mutex,,,10608300.0,ns,220
duration,extreme contention,parking_lot::Mutex,,,9896700.0,ns,231
duration,extreme contention,parking_lot::Mutex,,,11640900.0,ns,242
duration,extreme contention,parking_lot::Mutex,,,12898500.0,ns,253
duration,extreme contention,parking_lot::Mutex,,,12681200.0,ns,264
duration,extreme contention,parking_lot::Mutex,,,12855900.0,ns,275
duration,extreme contention,parking_lot::Mutex,,,12377000.0,ns,286
duration,extreme contention,parking_lot::Mutex,,,14423300.0,ns,297
duration,extreme contention,parking_lot::Mutex,,,14291400.0,ns,308
duration,extreme contention,parking_lot::Mutex,,,15541900.0,ns,319
duration,extreme contention,parking_lot::Mutex,,,16313300.0,ns,330
duration,extreme contention,parking_lot::Mutex,,,16110500.0,ns,341
duration,extreme contention,parking_lot::Mutex,,,16216400.0,ns,352
duration,extreme contention,parking_lot::Mutex,,,13777000.0,ns,363
duration,extreme contention,parking_lot::Mutex,,,20289500.0,ns,374
duration,extreme contention,parking_lot::Mutex,,,8864300.0,ns,385
duration,extreme contention,parking_lot::Mutex,,,18996500.0,ns,396
