group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
duration,extreme contention,spin::Mutex,,,564700.0,ns,30
duration,extreme contention,spin::Mutex,,,764900.0,ns,60
duration,extreme contention,spin::Mutex,,,1147400.0,ns,90
duration,extreme contention,spin::Mutex,,,1500800.0,ns,120
duration,extreme contention,spin::Mutex,,,1970000.0,ns,150
duration,extreme contention,spin::Mutex,,,2553600.0,ns,180
duration,extreme contention,spin::Mutex,,,2877400.0,ns,210
duration,extreme contention,spin::Mutex,,,3969700.0,ns,240
duration,extreme contention,spin::Mutex,,,5177700.0,ns,270
duration,extreme contention,spin::Mutex,,,4050800.0,ns,300
duration,extreme contention,spin::Mutex,,,4331000.0,ns,330
duration,extreme contention,spin::Mutex,,,4675600.0,ns,360
duration,extreme contention,spin::Mutex,,,4651200.0,ns,390
duration,extreme contention,spin::Mutex,,,5322700.0,ns,420
duration,extreme contention,spin::Mutex,,,5974200.0,ns,450
duration,extreme contention,spin::Mutex,,,6830500.0,ns,480
duration,extreme contention,spin::Mutex,,,6751000.0,ns,510
duration,extreme contention,spin::Mutex,,,6821500.0,ns,540
duration,extreme contention,spin::Mutex,,,7106300.0,ns,570
duration,extreme contention,spin::Mutex,,,8518000.0,ns,600
duration,extreme contention,spin::Mutex,,,8832300.0,ns,630
duration,extreme contention,spin::Mutex,,,8267100.0,ns,660
duration,extreme contention,spin::Mutex,,,8874800.0,ns,690
duration,extreme contention,spin::Mutex,,,9180000.0,ns,720
duration,extreme contention,spin::Mutex,,,9712800.0,ns,750
duration,extreme contention,spin::Mutex,,,5667900.0,ns,780
duration,extreme contention,spin::Mutex,,,10308700.0,ns,810
duration,extreme contention,spin::Mutex,,,10303400.0,ns,840
duration,extreme contention,spin::Mutex,,,11301800.0,ns,870
duration,extreme contention,spin::Mutex,,,12912700.0,ns,900
duration,extreme contention,spin::Mutex,,,12287300.0,ns,930
duration,extreme contention,spin::Mutex,,,12371400.0,ns,960
duration,extreme contention,spin::Mutex,,,12933700.0,ns,990
duration,extreme contention,spin::Mutex,,,13403500.0,ns,1020
duration,extreme contention,spin::Mutex,,,14051700.0,ns,1050
duration,extreme contention,spin::Mutex,,,13496700.0,ns,1080
duration,extreme contention,spin::Mutex,,,13761800.0,ns,1110
duration,extreme contention,spin::Mutex,,,15054600.0,ns,1140
duration,extreme contention,spin::Mutex,,,15231300.0,ns,1170
duration,extreme contention,spin::Mutex,,,16031500.0,ns,1200
duration,extreme contention,spin::Mutex,,,15693500.0,ns,1230
duration,extreme contention,spin::Mutex,,,17621800.0,ns,1260
duration,extreme contention,spin::Mutex,,,1205100.0,ns,1290
duration,extreme contention,spin::Mutex,,,16515600.0,ns,1320
duration,extreme contention,spin::Mutex,,,17536900.0,ns,1350
duration,extreme contention,spin::Mutex,,,17199400.0,ns,1380
duration,extreme contention,spin::Mutex,,,18341500.0,ns,1410
duration,extreme contention,spin::Mutex,,,18762400.0,ns,1440
duration,extreme contention,spin::Mutex,,,19644600.0,ns,1470
duration,extreme contention,spin::Mutex,,,19662800.0,ns,1500
duration,extreme contention,spin::Mutex,,,1638800.0,ns,1530
duration,extreme contention,spin::Mutex,,,20790900.0,ns,1560
duration,extreme contention,spin::Mutex,,,20033900.0,ns,1590
duration,extreme contention,spin::Mutex,,,21146400.0,ns,1620
duration,extreme contention,spin::Mutex,,,22186300.0,ns,1650
duration,extreme contention,spin::Mutex,,,20813500.0,ns,1680
duration,extreme contention,spin::Mutex,,,20971800.0,ns,1710
duration,extreme contention,spin::Mutex,,,22817100.0,ns,1740
duration,extreme contention,spin::Mutex,,,23187100.0,ns,1770
duration,extreme contention,spin::Mutex,,,23561800.0,ns,1800
duration,extreme contention,spin::Mutex,,,22914600.0,ns,1830
duration,extreme contention,spin::Mutex,,,23594900.0,ns,1860
duration,extreme contention,spin::Mutex,,,24735900.0,ns,1890
duration,extreme contention,spin::Mutex,,,24787400.0,ns,1920
duration,extreme contention,spin::Mutex,,,25560100.0,ns,1950
duration,extreme contention,spin::Mutex,,,26683100.0,ns,1980
duration,extreme contention,spin::Mutex,,,26899100.0,ns,2010
duration,extreme contention,spin::Mutex,,,26941900.0,ns,2040
duration,extreme contention,spin::Mutex,,,26248200.0,ns,2070
duration,extreme contention,spin::Mutex,,,26070400.0,ns,2100
duration,extreme contention,spin::Mutex,,,28090700.0,ns,2130
duration,extreme contention,spin::Mutex,,,28893700.0,ns,2160
duration,extreme contention,spin::Mutex,,,28443100.0,ns,2190
duration,extreme contention,spin::Mutex,,,29378800.0,ns,2220
duration,extreme contention,spin::Mutex,,,30610600.0,ns,2250
duration,extreme contention,spin::Mutex,,,29612100.0,ns,2280
duration,extreme contention,spin::Mutex,,,29088900.0,ns,2310
duration,extreme contention,spin::Mutex,,,30620900.0,ns,2340
duration,extreme contention,spin::Mutex,,,29648800.0,ns,2370
duration,extreme contention,spin::Mutex,,,31626000.0,ns,2400
duration,extreme contention,spin::Mutex,,,36477800.0,ns,2430
duration,extreme contention,spin::Mutex,,,42857400.0,ns,2460
duration,extreme contention,spin::Mutex,,,32050900.0,ns,2490
duration,extreme contention,spin::Mutex,,,39848800.0,ns,2520
duration,extreme contention,spin::Mutex,,,31768600.0,ns,2550
duration,extreme contention,spin::Mutex,,,34209500.0,ns,2580
duration,extreme contention,spin::Mutex,,,33200900.0,ns,2610
duration,extreme contention,spin::Mutex,,,43405800.0,ns,2640
duration,extreme contention,spin::Mutex,,,35064800.0,ns,2670
duration,extreme contention,spin::Mutex,,,35827400.0,ns,2700
duration,extreme contention,spin::Mutex,,,56342100.0,ns,2730
duration,extreme contention,spin::Mutex,,,35112800.0,ns,2760
duration,extreme contention,spin::Mutex,,,36285700.0,ns,2790
duration,extreme contention,spin::Mutex,,,36452700.0,ns,2820
duration,extreme contention,spin::Mutex,,,36202500.0,ns,2850
duration,extreme contention,spin::Mutex,,,38049600.0,ns,2880
