group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
duration,heavy contention,AmdSpinlock,,,413500.0,ns,247
duration,heavy contention,AmdSpinlock,,,588600.0,ns,494
duration,heavy contention,AmdSpinlock,,,1003700.0,ns,741
duration,heavy contention,AmdSpinlock,,,1027400.0,ns,988
duration,heavy contention,AmdSpinlock,,,1168500.0,ns,1235
duration,heavy contention,AmdSpinlock,,,1835500.0,ns,1482
duration,heavy contention,AmdSpinlock,,,1585900.0,ns,1729
duration,heavy contention,AmdSpinlock,,,2562700.0,ns,1976
duration,heavy contention,AmdSpinlock,,,2578200.0,ns,2223
duration,heavy contention,AmdSpinlock,,,2601300.0,ns,2470
duration,heavy contention,AmdSpinlock,,,4046900.0,ns,2717
duration,heavy contention,AmdSpinlock,,,3121400.0,ns,2964
duration,heavy contention,AmdSpinlock,,,2836900.0,ns,3211
duration,heavy contention,AmdSpinlock,,,2831500.0,ns,3458
duration,heavy contention,AmdSpinlock,,,3173200.0,ns,3705
duration,heavy contention,AmdSpinlock,,,3189900.0,ns,3952
duration,heavy contention,AmdSpinlock,,,4011200.0,ns,4199
duration,heavy contention,AmdSpinlock,,,4040500.0,ns,4446
duration,heavy contention,AmdSpinlock,,,4095100.0,ns,4693
duration,heavy contention,AmdSpinlock,,,4163300.0,ns,4940
duration,heavy contention,AmdSpinlock,,,4173300.0,ns,5187
duration,heavy contention,AmdSpinlock,,,5797400.0,ns,5434
duration,heavy contention,AmdSpinlock,,,4673500.0,ns,5681
duration,heavy contention,AmdSpinlock,,,5010400.0,ns,5928
duration,heavy contention,AmdSpinlock,,,5270300.0,ns,6175
duration,heavy contention,AmdSpinlock,,,5622000.0,ns,6422
duration,heavy contention,AmdSpinlock,,,5895100.0,ns,6669
duration,heavy contention,AmdSpinlock,,,7101200.0,ns,6916
duration,heavy contention,AmdSpinlock,,,6449600.0,ns,7163
duration,heavy contention,AmdSpinlock,,,7172100.0,ns,7410
duration,heavy contention,AmdSpinlock,,,7600800.0,ns,7657
duration,heavy contention,AmdSpinlock,,,6502600.0,ns,7904
duration,heavy contention,AmdSpinlock,,,6514200.0,ns,8151
duration,heavy contention,AmdSpinlock,,,7414000.0,ns,8398
duration,heavy contention,AmdSpinlock,,,6955400.0,ns,8645
duration,heavy contention,AmdSpinlock,,,7293300.0,ns,8892
duration,heavy contention,AmdSpinlock,,,8223000.0,ns,9139
duration,heavy contention,AmdSpinlock,,,7744600.0,ns,9386
duration,heavy contention,AmdSpinlock,,,8034100.0,ns,9633
duration,heavy contention,AmdSpinlock,,,8066900.0,ns,9880
duration,heavy contention,AmdSpinlock,,,10436600.0,ns,10127
duration,heavy contention,AmdSpinlock,,,10083900.0,ns,10374
duration,heavy contention,AmdSpinlock,,,8845800.0,ns,10621
duration,heavy contention,AmdSpinlock,,,10576900.0,ns,10868
duration,heavy contention,AmdSpinlock,,,9415700.0,ns,11115
duration,heavy contention,AmdSpinlock,,,11334800.0,ns,11362
duration,heavy contention,AmdSpinlock,,,651300.0,ns,11609
duration,heavy contention,AmdSpinlock,,,11572100.0,ns,11856
duration,heavy contention,AmdSpinlock,,,9871000.0,ns,12103
duration,heavy contention,AmdSpinlock,,,13489100.0,ns,12350
duration,heavy contention,AmdSpinlock,,,11113400.0,ns,12597
duration,heavy contention,AmdSpinlock,,,10694900.0,ns,12844
duration,heavy contention,AmdSpinlock,,,10399200.0,ns,13091
duration,heavy contention,AmdSpinlock,,,10882100.0,ns,13338
duration,heavy contention,AmdSpinlock,,,11129800.0,ns,13585
duration,heavy contention,AmdSpinlock,,,11152700.0,ns,13832
duration,heavy contention,AmdSpinlock,,,12492300.0,ns,14079
duration,heavy contention,AmdSpinlock,,,12034800.0,ns,14326
duration,heavy contention,AmdSpinlock,,,11605600.0,ns,14573
duration,heavy contention,AmdSpinlock,,,12365500.0,ns,14820
duration,heavy contention,AmdSpinlock,,,13749000.0,ns,15067
duration,heavy contention,AmdSpinlock,,,12782400.0,ns,15314
duration,heavy contention,AmdSpinlock,,,15763500.0,ns,15561
duration,heavy contention,AmdSpinlock,,,7834400.0,ns,15808
duration,heavy contention,AmdSpinlock,,,13313500.0,ns,16055
duration,heavy contention,AmdSpinlock,,,14441100.0,ns,16302
duration,heavy contention,AmdSpinlock,,,13466300.0,ns,16549
duration,heavy contention,AmdSpinlock,,,13386200.0,ns,16796
duration,heavy contention,AmdSpinlock,,,14652500.0,ns,17043
duration,heavy contention,AmdSpinlock,,,13738900.0,ns,17290
duration,heavy contention,AmdSpinlock,,,14269100.0,ns,17537
duration,heavy contention,AmdSpinlock,,,16930800.0,ns,17784
duration,heavy contention,AmdSpinlock,,,17268900.0,ns,18031
duration,heavy contention,AmdSpinlock,,,15398900.0,ns,18278
duration,heavy contention,AmdSpinlock,,,15023900.0,ns,18525
duration,heavy contention,AmdSpinlock,,,15074500.0,ns,18772
duration,heavy contention,AmdSpinlock,,,19174000.0,ns,19019
duration,heavy contention,AmdSpinlock,,,16089700.0,ns,19266
duration,heavy contention,AmdSpinlock,,,15729200.0,ns,19513
duration,heavy contention,AmdSpinlock,,,19281200.0,ns,19760
duration,heavy contention,AmdSpinlock,,,16547000.0,ns,20007
duration,heavy contention,AmdSpinlock,,,16183100.0,ns,20254
duration,heavy contention,AmdSpinlock,,,11816300.0,ns,20501
duration,heavy contention,AmdSpinlock,,,17270400.0,ns,20748
duration,heavy contention,AmdSpinlock,,,16743300.0,ns,20995
duration,heavy contention,AmdSpinlock,,,22278300.0,ns,21242
duration,heavy contention,AmdSpinlock,,,17921900.0,ns,21489
duration,heavy contention,AmdSpinlock,,,3545500.0,ns,21736
duration,heavy contention,AmdSpinlock,,,17402200.0,ns,21983
duration,heavy contention,AmdSpinlock,,,9177600.0,ns,22230
duration,heavy contention,AmdSpinlock,,,18379600.0,ns,22477
duration,heavy contention,AmdSpinlock,,,18050400.0,ns,22724
duration,heavy contention,AmdSpinlock,,,18790800.0,ns,22971
duration,heavy contention,AmdSpinlock,,,19146900.0,ns,23218
duration,heavy contention,AmdSpinlock,,,19051700.0,ns,23465
duration,heavy contention,AmdSpinlock,,,25816900.0,ns,23712
duration,heavy contention,AmdSpinlock,,,23944000.0,ns,23959
duration,heavy contention,AmdSpinlock,,,19791900.0,ns,24206
duration,heavy contention,AmdSpinlock,,,23760200.0,ns,24453
duration,heavy contention,AmdSpinlock,,,19469500.0,ns,24700
