group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
duration,heavy contention,spin::Mutex,,,302500.0,ns,170
duration,heavy contention,spin::Mutex,,,475700.0,ns,340
duration,heavy contention,spin::Mutex,,,569600.0,ns,510
duration,heavy contention,spin::Mutex,,,678100.0,ns,680
duration,heavy contention,spin::Mutex,,,747700.0,ns,850
duration,heavy contention,spin::Mutex,,,1057300.0,ns,1020
duration,heavy contention,spin::Mutex,,,1116800.0,ns,1190
duration,heavy contention,spin::Mutex,,,1246100.0,ns,1360
duration,heavy contention,spin::Mutex,,,1491100.0,ns,1530
duration,heavy contention,spin::Mutex,,,1680100.0,ns,1700
duration,heavy contention,spin::Mutex,,,2089300.0,ns,1870
duration,heavy contention,spin::Mutex,,,1765000.0,ns,2040
duration,heavy contention,spin::Mutex,,,32936600.0,ns,2210
duration,heavy contention,spin::Mutex,,,2191100.0,ns,2380
duration,heavy contention,spin::Mutex,,,2163900.0,ns,2550
duration,heavy contention,spin::Mutex,,,3001300.0,ns,2720
duration,heavy contention,spin::Mutex,,,2491200.0,ns,2890
duration,heavy contention,spin::Mutex,,,2636400.0,ns,3060
duration,heavy contention,spin::Mutex,,,3282800.0,ns,3230
duration,heavy contention,spin::Mutex,,,3191700.0,ns,3400
duration,heavy contention,spin::Mutex,,,2961900.0,ns,3570
duration,heavy contention,spin::Mutex,,,3192900.0,ns,3740
duration,heavy contention,spin::Mutex,,,4207300.0,ns,3910
duration,heavy contention,spin::Mutex,,,3907000.0,ns,4080
duration,heavy contention,spin::Mutex,,,3987900.0,ns,4250
duration,heavy contention,spin::Mutex,,,5054300.0,ns,4420
duration,heavy contention,spin::Mutex,,,3715000.0,ns,4590
duration,heavy contention,spin::Mutex,,,3936500.0,ns,4760
duration,heavy contention,spin::Mutex,,,4109200.0,ns,4930
duration,heavy contention,spin::Mutex,,,4790100.0,ns,5100
duration,heavy contention,spin::Mutex,,,5150100.0,ns,5270
duration,heavy contention,spin::Mutex,,,4606200.0,ns,5440
duration,heavy contention,spin::Mutex,,,4720000.0,ns,5610
duration,heavy contention,spin::Mutex,,,6489300.0,ns,5780
duration,heavy contention,spin::Mutex,,,4668700.0,ns,5950
duration,heavy contention,spin::Mutex,,,5978900.0,ns,6120
duration,heavy contention,spin::Mutex,,,5467700.0,ns,6290
duration,heavy contention,spin::Mutex,,,5067900.0,ns,6460
duration,heavy contention,spin::Mutex,,,5443800.0,ns,6630
duration,heavy contention,spin::Mutex,,,6621500.0,ns,6800
duration,heavy contention,spin::Mutex,,,8282100.0,ns,6970
duration,heavy contention,spin::Mutex,,,5983600.0,ns,7140
duration,heavy contention,spin::Mutex,,,11484300.0,ns,7310
duration,heavy contention,spin::Mutex,,,7062100.0,ns,7480
duration,heavy contention,spin::Mutex,,,7002700.0,ns,7650
duration,heavy contention,spin::Mutex,,,6171500.0,ns,7820
duration,heavy contention,spin::Mutex,,,3490900.0,ns,7990
duration,heavy contention,spin::Mutex,,,6436000.0,ns,8160
duration,heavy contention,spin::Mutex,,,6981000.0,ns,8330
duration,heavy contention,spin::Mutex,,,6852600.0,ns,8500
duration,heavy contention,spin::Mutex,,,7836700.0,ns,8670
duration,heavy contention,spin::Mutex,,,3902300.0,ns,8840
duration,heavy contention,spin::Mutex,,,7108500.0,ns,9010
duration,heavy contention,spin::Mutex,,,7475900.0,ns,9180
duration,heavy contention,spin::Mutex,,,10751900.0,ns,9350
duration,heavy contention,spin::Mutex,,,7521900.0,ns,9520
duration,heavy contention,spin::Mutex,,,7860900.0,ns,9690
duration,heavy contention,spin::Mutex,,,7840800.0,ns,9860
duration,heavy contention,spin::Mutex,,,7593700.0,ns,10030
duration,heavy contention,spin::Mutex,,,8437000.0,ns,10200
duration,heavy contention,spin::Mutex,,,8374100.0,ns,10370
