group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
duration,light contention,AmdSpinlock,,,600900.0,ns,291
duration,light contention,AmdSpinlock,,,802100.0,ns,582
duration,light contention,AmdSpinlock,,,1013900.0,ns,873
duration,light contention,AmdSpinlock,,,1237700.0,ns,1164
duration,light contention,AmdSpinlock,,,1334300.0,ns,1455
duration,light contention,AmdSpinlock,,,1428100.0,ns,1746
duration,light contention,AmdSpinlock,,,1896200.0,ns,2037
duration,light contention,AmdSpinlock,,,1919600.0,ns,2328
duration,light contention,AmdSpinlock,,,2200100.0,ns,2619
duration,light contention,AmdSpinlock,,,2379400.0,ns,2910
duration,light contention,AmdSpinlock,,,2669300.0,ns,3201
duration,light contention,AmdSpinlock,,,2714200.0,ns,3492
duration,light contention,AmdSpinlock,,,2944000.0,ns,3783
duration,light contention,AmdSpinlock,,,3106500.0,ns,4074
duration,light contention,AmdSpinlock,,,4277400.0,ns,4365
duration,light contention,AmdSpinlock,,,3596600.0,ns,4656
duration,light contention,AmdSpinlock,,,4641400.0,ns,4947
duration,light contention,AmdSpinlock,,,4079200.0,ns,5238
duration,light contention,AmdSpinlock,,,4113700.0,ns,5529
duration,light contention,AmdSpinlock,,,4322900.0,ns,5820
duration,light contention,AmdSpinlock,,,5777100.0,ns,6111
duration,light contention,AmdSpinlock,,,4781900.0,ns,6402
duration,light contention,AmdSpinlock,,,6215000.0,ns,6693
duration,light contention,AmdSpinlock,,,5228100.0,ns,6984
duration,light contention,AmdSpinlock,,,5368600.0,ns,7275
duration,light contention,AmdSpinlock,,,5504700.0,ns,7566
duration,light contention,AmdSpinlock,,,6308100.0,ns,7857
duration,light contention,AmdSpinlock,,,6036100.0,ns,8148
duration,light contention,AmdSpinlock,,,6629900.0,ns,8439
duration,light contention,AmdSpinlock,,,7326100.0,ns,8730
duration,light contention,AmdSpinlock,,,6618000.0,ns,9021
duration,light contention,AmdSpinlock,,,8456900.0,ns,9312
duration,light contention,AmdSpinlock,,,10325900.0,ns,9603
duration,light contention,AmdSpinlock,,,3858200.0,ns,9894
duration,light contention,AmdSpinlock,,,7721800.0,ns,10185
duration,light contention,AmdSpinlock,,,9658900.0,ns,10476
duration,light contention,AmdSpinlock,,,8000900.0,ns,10767
duration,light contention,AmdSpinlock,,,8105400.0,ns,11058
duration,light contention,AmdSpinlock,,,10154000.0,ns,11349
duration,light contention,AmdSpinlock,,,8781100.0,ns,11640
duration,light contention,AmdSpinlock,,,10912500.0,ns,11931
duration,light contention,AmdSpinlock,,,10461900.0,ns,12222
duration,light contention,AmdSpinlock,,,9546900.0,ns,12513
duration,light contention,AmdSpinlock,,,9353500.0,ns,12804
duration,light contention,AmdSpinlock,,,9914300.0,ns,13095
duration,light contention,AmdSpinlock,,,9792400.0,ns,13386
duration,light contention,AmdSpinlock,,,10367500.0,ns,13677
duration,light contention,AmdSpinlock,,,12628100.0,ns,13968
duration,light contention,AmdSpinlock,,,10172900.0,ns,14259
duration,light contention,AmdSpinlock,,,10784900.0,ns,14550
duration,light contention,AmdSpinlock,,,11051900.0,ns,14841
duration,light contention,AmdSpinlock,,,5678000.0,ns,15132
duration,light contention,AmdSpinlock,,,11156900.0,ns,15423
duration,light contention,AmdSpinlock,,,12187100.0,ns,15714
duration,light contention,AmdSpinlock,,,11592500.0,ns,16005
duration,light contention,AmdSpinlock,,,11970000.0,ns,16296
duration,light contention,AmdSpinlock,,,12153700.0,ns,16587
duration,light contention,AmdSpinlock,,,12196600.0,ns,16878
duration,light contention,AmdSpinlock,,,13421200.0,ns,17169
duration,light contention,AmdSpinlock,,,12465700.0,ns,17460
duration,light contention,AmdSpinlock,,,7019600.0,ns,17751
duration,light contention,AmdSpinlock,,,13392800.0,ns,18042
duration,light contention,AmdSpinlock,,,13484000.0,ns,18333
duration,light contention,AmdSpinlock,,,14418600.0,ns,18624
duration,light contention,AmdSpinlock,,,16339200.0,ns,18915
duration,light contention,AmdSpinlock,,,14300800.0,ns,19206
duration,light contention,AmdSpinlock,,,7250800.0,ns,19497
duration,light contention,AmdSpinlock,,,13901700.0,ns,19788
duration,light contention,AmdSpinlock,,,14457000.0,ns,20079
duration,light contention,AmdSpinlock,,,14826300.0,ns,20370
duration,light contention,AmdSpinlock,,,15370700.0,ns,20661
duration,light contention,AmdSpinlock,,,15706500.0,ns,20952
duration,light contention,AmdSpinlock,,,15790800.0,ns,21243
duration,light contention,AmdSpinlock,,,19445800.0,ns,21534
duration,light contention,AmdSpinlock,,,8174100.0,ns,21825
duration,light contention,AmdSpinlock,,,17259600.0,ns,22116
duration,light contention,AmdSpinlock,,,15758500.0,ns,22407
duration,light contention,AmdSpinlock,,,13075800.0,ns,22698
duration,light contention,AmdSpinlock,,,20345400.0,ns,22989
duration,light contention,AmdSpinlock,,,17137800.0,ns,23280
duration,light contention,AmdSpinlock,,,19820100.0,ns,23571
duration,light contention,AmdSpinlock,,,21330300.0,ns,23862
duration,light contention,AmdSpinlock,,,19830300.0,ns,24153
duration,light contention,AmdSpinlock,,,21601400.0,ns,24444
duration,light contention,AmdSpinlock,,,18169500.0,ns,24735
duration,light contention,AmdSpinlock,,,21840100.0,ns,25026
duration,light contention,AmdSpinlock,,,19107500.0,ns,25317
duration,light contention,AmdSpinlock,,,18227700.0,ns,25608
duration,light contention,AmdSpinlock,,,22545200.0,ns,25899
duration,light contention,AmdSpinlock,,,25838300.0,ns,26190
duration,light contention,AmdSpinlock,,,23683700.0,ns,26481
duration,light contention,AmdSpinlock,,,28260200.0,ns,26772
duration,light contention,AmdSpinlock,,,19681500.0,ns,27063
duration,light contention,AmdSpinlock,,,23833100.0,ns,27354
duration,light contention,AmdSpinlock,,,23514800.0,ns,27645
duration,light contention,AmdSpinlock,,,23064600.0,ns,27936
duration,light contention,AmdSpinlock,,,20102200.0,ns,28227
duration,light contention,AmdSpinlock,,,20600200.0,ns,28518
duration,light contention,AmdSpinlock,,,1573100.0,ns,28809
duration,light contention,AmdSpinlock,,,12997600.0,ns,29100
