group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
duration,light contention,spin::Mutex,,,424900.0,ns,244
duration,light contention,spin::Mutex,,,656400.0,ns,488
duration,light contention,spin::Mutex,,,726500.0,ns,732
duration,light contention,spin::Mutex,,,1035700.0,ns,976
duration,light contention,spin::Mutex,,,1281700.0,ns,1220
duration,light contention,spin::Mutex,,,1479700.0,ns,1464
duration,light contention,spin::Mutex,,,1650400.0,ns,1708
duration,light contention,spin::Mutex,,,2033600.0,ns,1952
duration,light contention,spin::Mutex,,,2167000.0,ns,2196
duration,light contention,spin::Mutex,,,2385400.0,ns,2440
duration,light contention,spin::Mutex,,,2290400.0,ns,2684
duration,light contention,spin::Mutex,,,2431700.0,ns,2928
duration,light contention,spin::Mutex,,,2423300.0,ns,3172
duration,light contention,spin::Mutex,,,2569100.0,ns,3416
duration,light contention,spin::Mutex,,,2742500.0,ns,3660
duration,light contention,spin::Mutex,,,3335000.0,ns,3904
duration,light contention,spin::Mutex,,,3509600.0,ns,4148
duration,light contention,spin::Mutex,,,4001700.0,ns,4392
duration,light contention,spin::Mutex,,,3716100.0,ns,4636
duration,light contention,spin::Mutex,,,3757800.0,ns,4880
duration,light contention,spin::Mutex,,,4065000.0,ns,5124
duration,light contention,spin::Mutex,,,3878800.0,ns,5368
duration,light contention,spin::Mutex,,,5330800.0,ns,5612
duration,light contention,spin::Mutex,,,5521800.0,ns,5856
duration,light contention,spin::Mutex,,,4830300.0,ns,6100
duration,light contention,spin::Mutex,,,5043700.0,ns,6344
duration,light contention,spin::Mutex,,,4912000.0,ns,6588
duration,light contention,spin::Mutex,,,5918400.0,ns,6832
duration,light contention,spin::Mutex,,,5348800.0,ns,7076
duration,light contention,spin::Mutex,,,5372700.0,ns,7320
duration,light contention,spin::Mutex,,,5613400.0,ns,7564
duration,light contention,spin::Mutex,,,6183800.0,ns,7808
duration,light contention,spin::Mutex,,,7135100.0,ns,8052
duration,light contention,spin::Mutex,,,5974200.0,ns,8296
duration,light contention,spin::Mutex,,,6572300.0,ns,8540
duration,light contention,spin::Mutex,,,6636800.0,ns,8784
duration,light contention,spin::Mutex,,,6385800.0,ns,9028
duration,light contention,spin::Mutex,,,7139000.0,ns,9272
duration,light contention,spin::Mutex,,,7044600.0,ns,9516
duration,light contention,spin::Mutex,,,7217400.0,ns,9760
duration,light contention,spin::Mutex,,,7797400.0,ns,10004
duration,light contention,spin::Mutex,,,9081600.0,ns,10248
duration,light contention,spin::Mutex,,,7700100.0,ns,10492
duration,light contention,spin::Mutex,,,8033200.0,ns,10736
duration,light contention,spin::Mutex,,,7984900.0,ns,10980
duration,light contention,spin::Mutex,,,7986700.0,ns,11224
duration,light contention,spin::Mutex,,,10107400.0,ns,11468
duration,light contention,spin::Mutex,,,8500700.0,ns,11712
duration,light contention,spin::Mutex,,,8493400.0,ns,11956
duration,light contention,spin::Mutex,,,9523900.0,ns,12200
duration,light contention,spin::Mutex,,,11291200.0,ns,12444
duration,light contention,spin::Mutex,,,9053400.0,ns,12688
duration,light contention,spin::Mutex,,,9960800.0,ns,12932
duration,light contention,spin::Mutex,,,10759100.0,ns,13176
duration,light contention,spin::Mutex,,,9739000.0,ns,13420
duration,light contention,spin::Mutex,,,11915800.0,ns,13664
duration,light contention,spin::Mutex,,,10862900.0,ns,13908
duration,light contention,spin::Mutex,,,10645500.0,ns,14152
duration,light contention,spin::Mutex,,,10594100.0,ns,14396
duration,light contention,spin::Mutex,,,10663900.0,ns,14640
duration,light contention,spin::Mutex,,,10929600.0,ns,14884
duration,light contention,spin::Mutex,,,10815800.0,ns,15128
duration,light contention,spin::Mutex,,,11633900.0,ns,15372
duration,light contention,spin::Mutex,,,11460600.0,ns,15616
duration,light contention,spin::Mutex,,,11493500.0,ns,15860
duration,light contention,spin::Mutex,,,12092100.0,ns,16104
duration,light contention,spin::Mutex,,,12074200.0,ns,16348
duration,light contention,spin::Mutex,,,12436000.0,ns,16592
duration,light contention,spin::Mutex,,,15647400.0,ns,16836
duration,light contention,spin::Mutex,,,12430900.0,ns,17080
duration,light contention,spin::Mutex,,,12729600.0,ns,17324
duration,light contention,spin::Mutex,,,13240700.0,ns,17568
duration,light contention,spin::Mutex,,,13434700.0,ns,17812
duration,light contention,spin::Mutex,,,13083300.0,ns,18056
duration,light contention,spin::Mutex,,,14693800.0,ns,18300
duration,light contention,spin::Mutex,,,14362000.0,ns,18544
duration,light contention,spin::Mutex,,,18008600.0,ns,18788
duration,light contention,spin::Mutex,,,14066500.0,ns,19032
duration,light contention,spin::Mutex,,,14493700.0,ns,19276
duration,light contention,spin::Mutex,,,14513900.0,ns,19520
duration,light contention,spin::Mutex,,,14200400.0,ns,19764
duration,light contention,spin::Mutex,,,15161200.0,ns,20008
duration,light contention,spin::Mutex,,,14422400.0,ns,20252
duration,light contention,spin::Mutex,,,14960200.0,ns,20496
duration,light contention,spin::Mutex,,,14588400.0,ns,20740
duration,light contention,spin::Mutex,,,15096600.0,ns,20984
duration,light contention,spin::Mutex,,,15350300.0,ns,21228
duration,light contention,spin::Mutex,,,16085200.0,ns,21472
duration,light contention,spin::Mutex,,,15424000.0,ns,21716
duration,light contention,spin::Mutex,,,15473300.0,ns,21960
duration,light contention,spin::Mutex,,,15874100.0,ns,22204
duration,light contention,spin::Mutex,,,20033700.0,ns,22448
duration,light contention,spin::Mutex,,,16375000.0,ns,22692
