group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
duration,no contention,AmdSpinlock,,,295500.0,ns,1
duration,no contention,AmdSpinlock,,,226400.0,ns,2
duration,no contention,AmdSpinlock,,,292700.0,ns,3
duration,no contention,AmdSpinlock,,,654400.0,ns,4
duration,no contention,AmdSpinlock,,,247900.0,ns,5
duration,no contention,AmdSpinlock,,,287900.0,ns,6
duration,no contention,AmdSpinlock,,,409500.0,ns,7
duration,no contention,AmdSpinlock,,,238400.0,ns,8
duration,no contention,AmdSpinlock,,,278900.0,ns,9
duration,no contention,AmdSpinlock,,,361000.0,ns,10
duration,no contention,AmdSpinlock,,,254800.0,ns,11
duration,no contention,AmdSpinlock,,,161300.0,ns,12
duration,no contention,AmdSpinlock,,,340000.0,ns,13
duration,no contention,AmdSpinlock,,,342100.0,ns,14
duration,no contention,AmdSpinlock,,,123600.0,ns,15
duration,no contention,AmdSpinlock,,,269100.0,ns,16
duration,no contention,AmdSpinlock,,,279300.0,ns,17
duration,no contention,AmdSpinlock,,,256100.0,ns,18
duration,no contention,AmdSpinlock,,,224200.0,ns,19
duration,no contention,AmdSpinlock,,,240700.0,ns,20
duration,no contention,AmdSpinlock,,,270400.0,ns,21
duration,no contention,AmdSpinlock,,,289200.0,ns,22
duration,no contention,AmdSpinlock,,,403200.0,ns,23
duration,no contention,AmdSpinlock,,,302500.0,ns,24
duration,no contention,AmdSpinlock,,,271200.0,ns,25
duration,no contention,AmdSpinlock,,,454500.0,ns,26
duration,no contention,AmdSpinlock,,,338900.0,ns,27
duration,no contention,AmdSpinlock,,,307400.0,ns,28
duration,no contention,AmdSpinlock,,,254500.0,ns,29
duration,no contention,AmdSpinlock,,,309000.0,ns,30
duration,no contention,AmdSpinlock,,,276600.0,ns,31
duration,no contention,AmdSpinlock,,,291100.0,ns,32
duration,no contention,AmdSpinlock,,,262800.0,ns,33
duration,no contention,AmdSpinlock,,,322900.0,ns,34
duration,no contention,AmdSpinlock,,,327400.0,ns,35
duration,no contention,AmdSpinlock,,,454900.0,ns,36
duration,no contention,AmdSpinlock,,,246000.0,ns,37
duration,no contention,AmdSpinlock,,,207700.0,ns,38
duration,no contention,AmdSpinlock,,,267600.0,ns,39
duration,no contention,AmdSpinlock,,,251400.0,ns,40
duration,no contention,AmdSpinlock,,,195900.0,ns,41
duration,no contention,AmdSpinlock,,,187800.0,ns,42
duration,no contention,AmdSpinlock,,,603300.0,ns,43
duration,no contention,AmdSpinlock,,,360800.0,ns,44
duration,no contention,AmdSpinlock,,,275800.0,ns,45
duration,no contention,AmdSpinlock,,,230500.0,ns,46
duration,no contention,AmdSpinlock,,,221600.0,ns,47
duration,no contention,AmdSpinlock,,,334900.0,ns,48
duration,no contention,AmdSpinlock,,,218800.0,ns,49
duration,no contention,AmdSpinlock,,,241000.0,ns,50
duration,no contention,AmdSpinlock,,,334000.0,ns,51
duration,no contention,AmdSpinlock,,,255100.0,ns,52
duration,no contention,AmdSpinlock,,,275500.0,ns,53
duration,no contention,AmdSpinlock,,,273800.0,ns,54
duration,no contention,AmdSpinlock,,,326300.0,ns,55
duration,no contention,AmdSpinlock,,,193900.0,ns,56
duration,no contention,AmdSpinlock,,,203700.0,ns,57
duration,no contention,AmdSpinlock,,,351500.0,ns,58
duration,no contention,AmdSpinlock,,,199100.0,ns,59
duration,no contention,AmdSpinlock,,,211600.0,ns,60
duration,no contention,AmdSpinlock,,,223200.0,ns,61
duration,no contention,AmdSpinlock,,,266700.0,ns,62
duration,no contention,AmdSpinlock,,,243500.0,ns,63
duration,no contention,AmdSpinlock,,,232600.0,ns,64
duration,no contention,AmdSpinlock,,,244500.0,ns,65
duration,no contention,AmdSpinlock,,,233200.0,ns,66
duration,no contention,AmdSpinlock,,,314900.0,ns,67
duration,no contention,AmdSpinlock,,,280400.0,ns,68
duration,no contention,AmdSpinlock,,,282800.0,ns,69
duration,no contention,AmdSpinlock,,,283900.0,ns,70
duration,no contention,AmdSpinlock,,,349900.0,ns,71
duration,no contention,AmdSpinlock,,,205200.0,ns,72
duration,no contention,AmdSpinlock,,,234500.0,ns,73
duration,no contention,AmdSpinlock,,,314800.0,ns,74
duration,no contention,AmdSpinlock,,,219400.0,ns,75
duration,no contention,AmdSpinlock,,,364200.0,ns,76
duration,no contention,AmdSpinlock,,,497800.0,ns,77
duration,no contention,AmdSpinlock,,,315200.0,ns,78
duration,no contention,AmdSpinlock,,,247900.0,ns,79
duration,no contention,AmdSpinlock,,,255900.0,ns,80
duration,no contention,AmdSpinlock,,,304400.0,ns,81
duration,no contention,AmdSpinlock,,,271800.0,ns,82
duration,no contention,AmdSpinlock,,,322300.0,ns,83
duration,no contention,AmdSpinlock,,,318600.0,ns,84
duration,no contention,AmdSpinlock,,,364600.0,ns,85
duration,no contention,AmdSpinlock,,,885200.0,ns,86
duration,no contention,AmdSpinlock,,,374200.0,ns,87
duration,no contention,AmdSpinlock,,,312900.0,ns,88
duration,no contention,AmdSpinlock,,,254400.0,ns,89
duration,no contention,AmdSpinlock,,,260600.0,ns,90
duration,no contention,AmdSpinlock,,,275100.0,ns,91
duration,no contention,AmdSpinlock,,,377800.0,ns,92
duration,no contention,AmdSpinlock,,,388900.0,ns,93
duration,no contention,AmdSpinlock,,,260600.0,ns,94
duration,no contention,AmdSpinlock,,,323000.0,ns,95
duration,no contention,AmdSpinlock,,,306300.0,ns,96
duration,no contention,AmdSpinlock,,,317600.0,ns,97
duration,no contention,AmdSpinlock,,,337800.0,ns,98
duration,no contention,AmdSpinlock,,,347200.0,ns,99
duration,no contention,AmdSpinlock,,,346200.0,ns,100
