group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
kernel,extreme contention,parking_lot::Mutex,,,1.0,ns,11
kernel,extreme contention,parking_lot::Mutex,,,1.0,ns,22
kernel,extreme contention,parking_lot::Mutex,,,1.0,ns,33
kernel,extreme contention,parking_lot::Mutex,,,1.0,ns,44
kernel,extreme contention,parking_lot::Mutex,,,1.0,ns,55
kernel,extreme contention,parking_lot::Mutex,,,1.0,ns,66
kernel,extreme contention,parking_lot::Mutex,,,15625000.0,ns,77
kernel,extreme contention,parking_lot::Mutex,,,1.0,ns,88
kernel,extreme contention,parking_lot::Mutex,,,1.0,ns,99
kernel,extreme contention,parking_lot::Mutex,,,1.0,ns,110
kernel,extreme contention,parking_lot::Mutex,,,1.0,ns,121
kernel,extreme contention,parking_lot::Mutex,,,1.0,ns,132
kernel,extreme contention,parking_lot::Mutex,,,1.0,ns,143
kernel,extreme contention,parking_lot::Mutex,,,1.0,ns,154
kernel,extreme contention,parking_lot::Mutex,,,1.0,ns,165
kernel,extreme contention,parking_lot::Mutex,,,15625000.0,ns,176
kernel,extreme contention,parking_lot::Mutex,,,31250000.0,ns,187
kernel,extreme contention,parking_lot::Mutex,,,15625000.0,ns,198
kernel,extreme contention,parking_lot::Mutex,,,15625000.0,ns,209
kernel,extreme contention,parking_lot::Mutex,,,1.0,ns,220
kernel,extreme contention,parking_lot::Mutex,,,1.0,ns,231
kernel,extreme contention,parking_lot::Mutex,,,1.0,ns,242
kernel,extreme contention,parking_lot::Mutex,,,1.0,ns,253
kernel,extreme contention,parking_lot::Mutex,,,1.0,ns,264
kernel,extreme contention,parking_lot::Mutex,,,15625000.0,ns,275
kernel,extreme contention,parking_lot::Mutex,,,15625000.0,ns,286
kernel,extreme contention,parking_lot::Mutex,,,1.0,ns,297
kernel,extreme contention,parking_lot::Mutex,,,1.0,ns,308
kernel,extreme contention,parking_lot::Mutex,,,31250000.0,ns,319
kernel,extreme contention,parking_lot::Mutex,,,46875000.0,ns,330
kernel,extreme contention,parking_lot::Mutex,,,1.0,ns,341
kernel,extreme contention,parking_lot::Mutex,,,1.0,ns,352
kernel,extreme contention,parking_lot::Mutex,,,31250000.0,ns,363
kernel,extreme contention,parking_lot::Mutex,,,15625000.0,ns,374
kernel,extreme contention,parking_lot::Mutex,,,31250000.0,ns,385
kernel,extreme contention,parking_lot::Mutex,,,15625000.0,ns,396
kernel,extreme contention,parking_lot::Mutex,,,1.0,ns,407
kernel,extreme contention,parking_lot::Mutex,,,15625000.0,ns,418
kernel,extreme contention,parking_lot::Mutex,,,1.0,ns,429
kernel,extreme contention,parking_lot::Mutex,,,1.0,ns,440
kernel,extreme contention,parking_lot::Mutex,,,15625000.0,ns,451
kernel,extreme contention,parking_lot::Mutex,,,31250000.0,ns,462
kernel,extreme contention,parking_lot::Mutex,,,1.0,ns,473
kernel,extreme contention,parking_lot::Mutex,,,15625000.0,ns,484
kernel,extreme contention,parking_lot::Mutex,,,1.0,ns,495
kernel,extreme contention,parking_lot::Mutex,,,31250000.0,ns,506
kernel,extreme contention,parking_lot::Mutex,,,15625000.0,ns,517
kernel,extreme contention,parking_lot::Mutex,,,15625000.0,ns,528
kernel,extreme contention,parking_lot::Mutex,,,31250000.0,ns,539
kernel,extreme contention,parking_lot::Mutex,,,31250000.0,ns,550
kernel,extreme contention,parking_lot::Mutex,,,15625000.0,ns,561
kernel,extreme contention,parking_lot::Mutex,,,78125000.0,ns,572
kernel,extreme contention,parking_lot::Mutex,,,62500000.0,ns,583
kernel,extreme contention,parking_lot::Mutex,,,46875000.0,ns,594
kernel,extreme contention,parking_lot::Mutex,,,46875000.0,ns,605
kernel,extreme contention,parking_lot::Mutex,,,46875000.0,ns,616
kernel,extreme contention,parking_lot::Mutex,,,31250000.0,ns,627
kernel,extreme contention,parking_lot::Mutex,,,15625000.0,ns,638
kernel,extreme contention,parking_lot::Mutex,,,15625000.0,ns,649
kernel,extreme contention,parking_lot::Mutex,,,46875000.0,ns,660
kernel,extreme contention,parking_lot::Mutex,,,78125000.0,ns,671
kernel,extreme contention,parking_lot::Mutex,,,15625000.0,ns,682
kernel,extreme contention,parking_lot::Mutex,,,46875000.0,ns,693
kernel,extreme contention,parking_lot::Mutex,,,15625000.0,ns,704
kernel,extreme contention,parking_lot::Mutex,,,15625000.0,ns,715
kernel,extreme contention,parking_lot::Mutex,,,15625000.0,ns,726
kernel,extreme contention,parking_lot::Mutex,,,62500000.0,ns,737
kernel,extreme contention,parking_lot::Mutex,,,62500000.0,ns,748
kernel,extreme contention,parking_lot::Mutex,,,46875000.0,ns,759
kernel,extreme contention,parking_lot::Mutex,,,46875000.0,ns,770
kernel,extreme contention,parking_lot::Mutex,,,31250000.0,ns,781
