group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
kernel,extreme contention,spin::Mutex,,,1.0,ns,28
kernel,extreme contention,spin::Mutex,,,1.0,ns,56
kernel,extreme contention,spin::Mutex,,,1.0,ns,84
kernel,extreme contention,spin::Mutex,,,1.0,ns,112
kernel,extreme contention,spin::Mutex,,,1.0,ns,140
kernel,extreme contention,spin::Mutex,,,1.0,ns,168
kernel,extreme contention,spin::Mutex,,,1.0,ns,196
kernel,extreme contention,spin::Mutex,,,1.0,ns,224
kernel,extreme contention,spin::Mutex,,,1.0,ns,252
kernel,extreme contention,spin::Mutex,,,1.0,ns,280
kernel,extreme contention,spin::Mutex,,,1.0,ns,308
kernel,extreme contention,spin::Mutex,,,1.0,ns,336
kernel,extreme contention,spin::Mutex,,,1.0,ns,364
kernel,extreme contention,spin::Mutex,,,1.0,ns,392
kernel,extreme contention,spin::Mutex,,,1.0,ns,420
kernel,extreme contention,spin::Mutex,,,1.0,ns,448
kernel,extreme contention,spin::Mutex,,,1.0,ns,476
kernel,extreme contention,spin::Mutex,,,1.0,ns,504
kernel,extreme contention,spin::Mutex,,,1.0,ns,532
kernel,extreme contention,spin::Mutex,,,1.0,ns,560
kernel,extreme contention,spin::Mutex,,,1.0,ns,588
kernel,extreme contention,spin::Mutex,,,1.0,ns,616
kernel,extreme contention,spin::Mutex,,,1.0,ns,644
kernel,extreme contention,spin::Mutex,,,1.0,ns,672
kernel,extreme contention,spin::Mutex,,,1.0,ns,700
kernel,extreme contention,spin::Mutex,,,15625000.0,ns,728
kernel,extreme contention,spin::Mutex,,,1.0,ns,756
kernel,extreme contention,spin::Mutex,,,1.0,ns,784
kernel,extreme contention,spin::Mutex,,,1.0,ns,812
kernel,extreme contention,spin::Mutex,,,1.0,ns,840
kernel,extreme contention,spin::Mutex,,,1.0,ns,868
kernel,extreme contention,spin::Mutex,,,1.0,ns,896
kernel,extreme contention,spin::Mutex,,,1.0,ns,924
kernel,extreme contention,spin::Mutex,,,1.0,ns,952
kernel,extreme contention,spin::Mutex,,,1.0,ns,980
kernel,extreme contention,spin::Mutex,,,1.0,ns,1008
kernel,extreme contention,spin::Mutex,,,15625000.0,ns,1036
kernel,extreme contention,spin::Mutex,,,1.0,ns,1064
kernel,extreme contention,spin::Mutex,,,1.0,ns,1092
kernel,extreme contention,spin::Mutex,,,15625000.0,ns,1120
kernel,extreme contention,spin::Mutex,,,1.0,ns,1148
kernel,extreme contention,spin::Mutex,,,1.0,ns,1176
kernel,extreme contention,spin::Mutex,,,1.0,ns,1204
kernel,extreme contention,spin::Mutex,,,1.0,ns,1232
