group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
kernel,light contention,spin::Mutex,,,1.0,ns,150
kernel,light contention,spin::Mutex,,,1.0,ns,300
kernel,light contention,spin::Mutex,,,1.0,ns,450
kernel,light contention,spin::Mutex,,,1.0,ns,600
kernel,light contention,spin::Mutex,,,1.0,ns,750
kernel,light contention,spin::Mutex,,,1.0,ns,900
kernel,light contention,spin::Mutex,,,1.0,ns,1050
kernel,light contention,spin::Mutex,,,1.0,ns,1200
kernel,light contention,spin::Mutex,,,1.0,ns,1350
kernel,light contention,spin::Mutex,,,1.0,ns,1500
kernel,light contention,spin::Mutex,,,1.0,ns,1650
kernel,light contention,spin::Mutex,,,1.0,ns,1800
kernel,light contention,spin::Mutex,,,1.0,ns,1950
kernel,light contention,spin::Mutex,,,1.0,ns,2100
kernel,light contention,spin::Mutex,,,1.0,ns,2250
kernel,light contention,spin::Mutex,,,1.0,ns,2400
kernel,light contention,spin::Mutex,,,1.0,ns,2550
kernel,light contention,spin::Mutex,,,1.0,ns,2700
kernel,light contention,spin::Mutex,,,1.0,ns,2850
kernel,light contention,spin::Mutex,,,1.0,ns,3000
kernel,light contention,spin::Mutex,,,1.0,ns,3150
kernel,light contention,spin::Mutex,,,1.0,ns,3300
kernel,light contention,spin::Mutex,,,1.0,ns,3450
kernel,light contention,spin::Mutex,,,1.0,ns,3600
kernel,light contention,spin::Mutex,,,1.0,ns,3750
kernel,light contention,spin::Mutex,,,1.0,ns,3900
kernel,light contention,spin::Mutex,,,1.0,ns,4050
kernel,light contention,spin::Mutex,,,1.0,ns,4200
kernel,light contention,spin::Mutex,,,1.0,ns,4350
kernel,light contention,spin::Mutex,,,1.0,ns,4500
kernel,light contention,spin::Mutex,,,1.0,ns,4650
kernel,light contention,spin::Mutex,,,1.0,ns,4800
kernel,light contention,spin::Mutex,,,15625000.0,ns,4950
kernel,light contention,spin::Mutex,,,1.0,ns,5100
kernel,light contention,spin::Mutex,,,1.0,ns,5250
kernel,light contention,spin::Mutex,,,1.0,ns,5400
kernel,light contention,spin::Mutex,,,1.0,ns,5550
kernel,light contention,spin::Mutex,,,1.0,ns,5700
kernel,light contention,spin::Mutex,,,1.0,ns,5850
kernel,light contention,spin::Mutex,,,1.0,ns,6000
kernel,light contention,spin::Mutex,,,1.0,ns,6150
kernel,light contention,spin::Mutex,,,1.0,ns,6300
kernel,light contention,spin::Mutex,,,1.0,ns,6450
kernel,light contention,spin::Mutex,,,1.0,ns,6600
kernel,light contention,spin::Mutex,,,1.0,ns,6750
kernel,light contention,spin::Mutex,,,1.0,ns,6900
kernel,light contention,spin::Mutex,,,1.0,ns,7050
kernel,light contention,spin::Mutex,,,1.0,ns,7200
kernel,light contention,spin::Mutex,,,1.0,ns,7350
kernel,light contention,spin::Mutex,,,1.0,ns,7500
kernel,light contention,spin::Mutex,,,1.0,ns,7650
kernel,light contention,spin::Mutex,,,1.0,ns,7800
kernel,light contention,spin::Mutex,,,1.0,ns,7950
kernel,light contention,spin::Mutex,,,1.0,ns,8100
kernel,light contention,spin::Mutex,,,1.0,ns,8250
kernel,light contention,spin::Mutex,,,1.0,ns,8400
kernel,light contention,spin::Mutex,,,1.0,ns,8550
kernel,light contention,spin::Mutex,,,1.0,ns,8700
kernel,light contention,spin::Mutex,,,1.0,ns,8850
kernel,light contention,spin::Mutex,,,1.0,ns,9000
kernel,light contention,spin::Mutex,,,1.0,ns,9150
kernel,light contention,spin::Mutex,,,1.0,ns,9300
kernel,light contention,spin::Mutex,,,1.0,ns,9450
kernel,light contention,spin::Mutex,,,1.0,ns,9600
kernel,light contention,spin::Mutex,,,1.0,ns,9750
kernel,light contention,spin::Mutex,,,1.0,ns,9900
kernel,light contention,spin::Mutex,,,1.0,ns,10050
kernel,light contention,spin::Mutex,,,1.0,ns,10200
kernel,light contention,spin::Mutex,,,1.0,ns,10350
kernel,light contention,spin::Mutex,,,1.0,ns,10500
kernel,light contention,spin::Mutex,,,1.0,ns,10650
kernel,light contention,spin::Mutex,,,15625000.0,ns,10800
kernel,light contention,spin::Mutex,,,1.0,ns,10950
kernel,light contention,spin::Mutex,,,1.0,ns,11100
kernel,light contention,spin::Mutex,,,1.0,ns,11250
kernel,light contention,spin::Mutex,,,1.0,ns,11400
kernel,light contention,spin::Mutex,,,1.0,ns,11550
kernel,light contention,spin::Mutex,,,1.0,ns,11700
kernel,light contention,spin::Mutex,,,1.0,ns,11850
kernel,light contention,spin::Mutex,,,1.0,ns,12000
kernel,light contention,spin::Mutex,,,1.0,ns,12150
kernel,light contention,spin::Mutex,,,1.0,ns,12300
kernel,light contention,spin::Mutex,,,1.0,ns,12450
kernel,light contention,spin::Mutex,,,1.0,ns,12600
kernel,light contention,spin::Mutex,,,1.0,ns,12750
kernel,light contention,spin::Mutex,,,1.0,ns,12900
kernel,light contention,spin::Mutex,,,1.0,ns,13050
kernel,light contention,spin::Mutex,,,1.0,ns,13200
kernel,light contention,spin::Mutex,,,1.0,ns,13350
kernel,light contention,spin::Mutex,,,1.0,ns,13500
kernel,light contention,spin::Mutex,,,1.0,ns,13650
kernel,light contention,spin::Mutex,,,1.0,ns,13800
kernel,light contention,spin::Mutex,,,1.0,ns,13950
kernel,light contention,spin::Mutex,,,1.0,ns,14100
kernel,light contention,spin::Mutex,,,1.0,ns,14250
kernel,light contention,spin::Mutex,,,31250000.0,ns,14400
kernel,light contention,spin::Mutex,,,1.0,ns,14550
kernel,light contention,spin::Mutex,,,1.0,ns,14700
kernel,light contention,spin::Mutex,,,1.0,ns,14850
kernel,light contention,spin::Mutex,,,1.0,ns,15000
