group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
user,heavy contention,parking_lot::Mutex,,,1.0,ns,330
user,heavy contention,parking_lot::Mutex,,,1.0,ns,660
user,heavy contention,parking_lot::Mutex,,,1.0,ns,990
user,heavy contention,parking_lot::Mutex,,,1.0,ns,1320
user,heavy contention,parking_lot::Mutex,,,1.0,ns,1650
user,heavy contention,parking_lot::Mutex,,,1.0,ns,1980
user,heavy contention,parking_lot::Mutex,,,1.0,ns,2310
user,heavy contention,parking_lot::Mutex,,,1.0,ns,2640
user,heavy contention,parking_lot::Mutex,,,1.0,ns,2970
user,heavy contention,parking_lot::Mutex,,,1.0,ns,3300
user,heavy contention,parking_lot::Mutex,,,1.0,ns,3630
user,heavy contention,parking_lot::Mutex,,,1.0,ns,3960
user,heavy contention,parking_lot::Mutex,,,234375000.0,ns,4290
user,heavy contention,parking_lot::Mutex,,,250000000.0,ns,4620
user,heavy contention,parking_lot::Mutex,,,234375000.0,ns,4950
user,heavy contention,parking_lot::Mutex,,,218750000.0,ns,5280
user,heavy contention,parking_lot::Mutex,,,234375000.0,ns,5610
user,heavy contention,parking_lot::Mutex,,,234375000.0,ns,5940
user,heavy contention,parking_lot::Mutex,,,250000000.0,ns,6270
user,heavy contention,parking_lot::Mutex,,,187500000.0,ns,6600
user,heavy contention,parking_lot::Mutex,,,1.0,ns,6930
user,heavy contention,parking_lot::Mutex,,,1.0,ns,7260
user,heavy contention,parking_lot::Mutex,,,1.0,ns,7590
user,heavy contention,parking_lot::Mutex,,,1.0,ns,7920
user,heavy contention,parking_lot::Mutex,,,203125000.0,ns,8250
user,heavy contention,parking_lot::Mutex,,,234375000.0,ns,8580
user,heavy contention,parking_lot::Mutex,,,218750000.0,ns,8910
user,heavy contention,parking_lot::Mutex,,,1.0,ns,9240
user,heavy contention,parking_lot::Mutex,,,62500000.0,ns,9570
user,heavy contention,parking_lot::Mutex,,,234375000.0,ns,9900
user,heavy contention,parking_lot::Mutex,,,234375000.0,ns,10230
user,heavy contention,parking_lot::Mutex,,,1.0,ns,10560
user,heavy contention,parking_lot::Mutex,,,218750000.0,ns,10890
user,heavy contention,parking_lot::Mutex,,,250000000.0,ns,11220
user,heavy contention,parking_lot::Mutex,,,31250000.0,ns,11550
user,heavy contention,parking_lot::Mutex,,,234375000.0,ns,11880
user,heavy contention,parking_lot::Mutex,,,1.0,ns,12210
user,heavy contention,parking_lot::Mutex,,,156250000.0,ns,12540
user,heavy contention,parking_lot::Mutex,,,296875000.0,ns,12870
user,heavy contention,parking_lot::Mutex,,,234375000.0,ns,13200
user,heavy contention,parking_lot::Mutex,,,187500000.0,ns,13530
user,heavy contention,parking_lot::Mutex,,,203125000.0,ns,13860
user,heavy contention,parking_lot::Mutex,,,187500000.0,ns,14190
user,heavy contention,parking_lot::Mutex,,,171875000.0,ns,14520
user,heavy contention,parking_lot::Mutex,,,218750000.0,ns,14850
user,heavy contention,parking_lot::Mutex,,,15625000.0,ns,15180
user,heavy contention,parking_lot::Mutex,,,250000000.0,ns,15510
user,heavy contention,parking_lot::Mutex,,,15625000.0,ns,15840
user,heavy contention,parking_lot::Mutex,,,218750000.0,ns,16170
user,heavy contention,parking_lot::Mutex,,,125000000.0,ns,16500
user,heavy contention,parking_lot::Mutex,,,218750000.0,ns,16830
user,heavy contention,parking_lot::Mutex,,,203125000.0,ns,17160
user,heavy contention,parking_lot::Mutex,,,234375000.0,ns,17490
user,heavy contention,parking_lot::Mutex,,,1.0,ns,17820
user,heavy contention,parking_lot::Mutex,,,234375000.0,ns,18150
user,heavy contention,parking_lot::Mutex,,,218750000.0,ns,18480
user,heavy contention,parking_lot::Mutex,,,203125000.0,ns,18810
user,heavy contention,parking_lot::Mutex,,,234375000.0,ns,19140
user,heavy contention,parking_lot::Mutex,,,234375000.0,ns,19470
user,heavy contention,parking_lot::Mutex,,,187500000.0,ns,19800
user,heavy contention,parking_lot::Mutex,,,250000000.0,ns,20130
user,heavy contention,parking_lot::Mutex,,,218750000.0,ns,20460
user,heavy contention,parking_lot::Mutex,,,250000000.0,ns,20790
user,heavy contention,parking_lot::Mutex,,,234375000.0,ns,21120
user,heavy contention,parking_lot::Mutex,,,234375000.0,ns,21450
user,heavy contention,parking_lot::Mutex,,,234375000.0,ns,21780
user,heavy contention,parking_lot::Mutex,,,234375000.0,ns,22110
user,heavy contention,parking_lot::Mutex,,,234375000.0,ns,22440
user,heavy contention,parking_lot::Mutex,,,250000000.0,ns,22770
user,heavy contention,parking_lot::Mutex,,,390625000.0,ns,23100
user,heavy contention,parking_lot::Mutex,,,328125000.0,ns,23430
user,heavy contention,parking_lot::Mutex,,,234375000.0,ns,23760
user,heavy contention,parking_lot::Mutex,,,234375000.0,ns,24090
user,heavy contention,parking_lot::Mutex,,,390625000.0,ns,24420
user,heavy contention,parking_lot::Mutex,,,437500000.0,ns,24750
user,heavy contention,parking_lot::Mutex,,,218750000.0,ns,25080
user,heavy contention,parking_lot::Mutex,,,250000000.0,ns,25410
user,heavy contention,parking_lot::Mutex,,,421875000.0,ns,25740
user,heavy contention,parking_lot::Mutex,,,500000000.0,ns,26070
user,heavy contention,parking_lot::Mutex,,,453125000.0,ns,26400
user,heavy contention,parking_lot::Mutex,,,218750000.0,ns,26730
user,heavy contention,parking_lot::Mutex,,,406250000.0,ns,27060
user,heavy contention,parking_lot::Mutex,,,453125000.0,ns,27390
user,heavy contention,parking_lot::Mutex,,,265625000.0,ns,27720
user,heavy contention,parking_lot::Mutex,,,296875000.0,ns,28050
user,heavy contention,parking_lot::Mutex,,,234375000.0,ns,28380
user,heavy contention,parking_lot::Mutex,,,390625000.0,ns,28710
user,heavy contention,parking_lot::Mutex,,,500000000.0,ns,29040
user,heavy contention,parking_lot::Mutex,,,406250000.0,ns,29370
user,heavy contention,parking_lot::Mutex,,,421875000.0,ns,29700
user,heavy contention,parking_lot::Mutex,,,437500000.0,ns,30030
user,heavy contention,parking_lot::Mutex,,,500000000.0,ns,30360
user,heavy contention,parking_lot::Mutex,,,437500000.0,ns,30690
user,heavy contention,parking_lot::Mutex,,,406250000.0,ns,31020
user,heavy contention,parking_lot::Mutex,,,484375000.0,ns,31350
user,heavy contention,parking_lot::Mutex,,,406250000.0,ns,31680
user,heavy contention,parking_lot::Mutex,,,500000000.0,ns,32010
user,heavy contention,parking_lot::Mutex,,,406250000.0,ns,32340
user,heavy contention,parking_lot::Mutex,,,390625000.0,ns,32670
user,heavy contention,parking_lot::Mutex,,,437500000.0,ns,33000
