group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
user,light contention,AmdSpinlock,,,1.0,ns,279
user,light contention,AmdSpinlock,,,1.0,ns,558
user,light contention,AmdSpinlock,,,31250000.0,ns,837
user,light contention,AmdSpinlock,,,1.0,ns,1116
user,light contention,AmdSpinlock,,,1.0,ns,1395
user,light contention,AmdSpinlock,,,1.0,ns,1674
user,light contention,AmdSpinlock,,,1.0,ns,1953
user,light contention,AmdSpinlock,,,1.0,ns,2232
user,light contention,AmdSpinlock,,,1.0,ns,2511
user,light contention,AmdSpinlock,,,234375000.0,ns,2790
user,light contention,AmdSpinlock,,,1.0,ns,3069
user,light contention,AmdSpinlock,,,1.0,ns,3348
user,light contention,AmdSpinlock,,,1.0,ns,3627
user,light contention,AmdSpinlock,,,1.0,ns,3906
user,light contention,AmdSpinlock,,,1.0,ns,4185
user,light contention,AmdSpinlock,,,250000000.0,ns,4464
user,light contention,AmdSpinlock,,,203125000.0,ns,4743
user,light contention,AmdSpinlock,,,1.0,ns,5022
user,light contention,AmdSpinlock,,,1.0,ns,5301
user,light contention,AmdSpinlock,,,1.0,ns,5580
user,light contention,AmdSpinlock,,,1.0,ns,5859
user,light contention,AmdSpinlock,,,1.0,ns,6138
user,light contention,AmdSpinlock,,,1.0,ns,6417
user,light contention,AmdSpinlock,,,1.0,ns,6696
user,light contention,AmdSpinlock,,,1.0,ns,6975
user,light contention,AmdSpinlock,,,1.0,ns,7254
user,light contention,AmdSpinlock,,,1.0,ns,7533
user,light contention,AmdSpinlock,,,1.0,ns,7812
user,light contention,AmdSpinlock,,,1.0,ns,8091
user,light contention,AmdSpinlock,,,1.0,ns,8370
user,light contention,AmdSpinlock,,,1.0,ns,8649
user,light contention,AmdSpinlock,,,1.0,ns,8928
user,light contention,AmdSpinlock,,,218750000.0,ns,9207
user,light contention,AmdSpinlock,,,250000000.0,ns,9486
user,light contention,AmdSpinlock,,,250000000.0,ns,9765
user,light contention,AmdSpinlock,,,1.0,ns,10044
user,light contention,AmdSpinlock,,,1.0,ns,10323
user,light contention,AmdSpinlock,,,62500000.0,ns,10602
user,light contention,AmdSpinlock,,,250000000.0,ns,10881
user,light contention,AmdSpinlock,,,234375000.0,ns,11160
user,light contention,AmdSpinlock,,,1.0,ns,11439
user,light contention,AmdSpinlock,,,93750000.0,ns,11718
user,light contention,AmdSpinlock,,,250000000.0,ns,11997
user,light contention,AmdSpinlock,,,1.0,ns,12276
user,light contention,AmdSpinlock,,,78125000.0,ns,12555
