group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
user,light contention,parking_lot::Mutex,,,1.0,ns,542
user,light contention,parking_lot::Mutex,,,1.0,ns,1084
user,light contention,parking_lot::Mutex,,,1.0,ns,1626
user,light contention,parking_lot::Mutex,,,1.0,ns,2168
user,light contention,parking_lot::Mutex,,,1.0,ns,2710
user,light contention,parking_lot::Mutex,,,203125000.0,ns,3252
user,light contention,parking_lot::Mutex,,,1.0,ns,3794
user,light contention,parking_lot::Mutex,,,1.0,ns,4336
user,light contention,parking_lot::Mutex,,,1.0,ns,4878
user,light contention,parking_lot::Mutex,,,1.0,ns,5420
user,light contention,parking_lot::Mutex,,,1.0,ns,5962
user,light contention,parking_lot::Mutex,,,1.0,ns,6504
user,light contention,parking_lot::Mutex,,,1.0,ns,7046
user,light contention,parking_lot::Mutex,,,1.0,ns,7588
user,light contention,parking_lot::Mutex,,,1.0,ns,8130
user,light contention,parking_lot::Mutex,,,1.0,ns,8672
user,light contention,parking_lot::Mutex,,,1.0,ns,9214
user,light contention,parking_lot::Mutex,,,1.0,ns,9756
user,light contention,parking_lot::Mutex,,,156250000.0,ns,10298
user,light contention,parking_lot::Mutex,,,218750000.0,ns,10840
user,light contention,parking_lot::Mutex,,,1.0,ns,11382
user,light contention,parking_lot::Mutex,,,1.0,ns,11924
user,light contention,parking_lot::Mutex,,,203125000.0,ns,12466
user,light contention,parking_lot::Mutex,,,1.0,ns,13008
user,light contention,parking_lot::Mutex,,,1.0,ns,13550
user,light contention,parking_lot::Mutex,,,234375000.0,ns,14092
user,light contention,parking_lot::Mutex,,,1.0,ns,14634
user,light contention,parking_lot::Mutex,,,187500000.0,ns,15176
user,light contention,parking_lot::Mutex,,,218750000.0,ns,15718
user,light contention,parking_lot::Mutex,,,234375000.0,ns,16260
user,light contention,parking_lot::Mutex,,,250000000.0,ns,16802
user,light contention,parking_lot::Mutex,,,203125000.0,ns,17344
user,light contention,parking_lot::Mutex,,,234375000.0,ns,17886
user,light contention,parking_lot::Mutex,,,187500000.0,ns,18428
user,light contention,parking_lot::Mutex,,,1.0,ns,18970
user,light contention,parking_lot::Mutex,,,218750000.0,ns,19512
user,light contention,parking_lot::Mutex,,,203125000.0,ns,20054
user,light contention,parking_lot::Mutex,,,78125000.0,ns,20596
user,light contention,parking_lot::Mutex,,,218750000.0,ns,21138
user,light contention,parking_lot::Mutex,,,234375000.0,ns,21680
user,light contention,parking_lot::Mutex,,,218750000.0,ns,22222
user,light contention,parking_lot::Mutex,,,140625000.0,ns,22764
user,light contention,parking_lot::Mutex,,,328125000.0,ns,23306
user,light contention,parking_lot::Mutex,,,281250000.0,ns,23848
user,light contention,parking_lot::Mutex,,,296875000.0,ns,24390
user,light contention,parking_lot::Mutex,,,265625000.0,ns,24932
user,light contention,parking_lot::Mutex,,,328125000.0,ns,25474
user,light contention,parking_lot::Mutex,,,250000000.0,ns,26016
user,light contention,parking_lot::Mutex,,,265625000.0,ns,26558
user,light contention,parking_lot::Mutex,,,281250000.0,ns,27100
user,light contention,parking_lot::Mutex,,,343750000.0,ns,27642
user,light contention,parking_lot::Mutex,,,468750000.0,ns,28184
user,light contention,parking_lot::Mutex,,,453125000.0,ns,28726
user,light contention,parking_lot::Mutex,,,234375000.0,ns,29268
user,light contention,parking_lot::Mutex,,,234375000.0,ns,29810
user,light contention,parking_lot::Mutex,,,250000000.0,ns,30352
user,light contention,parking_lot::Mutex,,,359375000.0,ns,30894
user,light contention,parking_lot::Mutex,,,453125000.0,ns,31436
user,light contention,parking_lot::Mutex,,,250000000.0,ns,31978
user,light contention,parking_lot::Mutex,,,250000000.0,ns,32520
user,light contention,parking_lot::Mutex,,,453125000.0,ns,33062
user,light contention,parking_lot::Mutex,,,234375000.0,ns,33604
user,light contention,parking_lot::Mutex,,,437500000.0,ns,34146
user,light contention,parking_lot::Mutex,,,484375000.0,ns,34688
user,light contention,parking_lot::Mutex,,,250000000.0,ns,35230
